cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,y,,,,f,c,,w,,c,,,,,,,o,,,,
,,n,f,,,,b,y,,,,s,,,p,n,,,o,,
,,,f,,f,,b,k,,,,,,,p,,,e,k,s,
,,w,,n,,,,,,,k,,,w,,w,t,p,,,
,,,,,,,,p,e,,,,,,,,,,,v,
,s,,,l,,,,,,,,,w,,,,,p,,,g
f,y,,,,f,,b,,,,k,,,b,,,o,,,,
,,e,,,f,c,,u,,,,,p,w,p,w,,,,,d
,s,,,,,c,,,t,?,k,s,,,,,o,e,,,p
,,,,n,,c,b,w,t,,,,p,,p,w,o,,k,,
x,f,,,,f,,,,,,,,,,,w,,,n,s,
,,,f,,,,b,,,,k,,,p,,w,o,,h,,
x,y,,,,f,c,,w,,b,,s,,g,,,o,,,v,d
,y,,,,,c,n,,,,,,w,,,w,,,,,
,,,,,,c,,b,,,,k,,,p,,,,,,l
,,,,l,,,,,e,,,s,w,,,w,,,n,,
x,,p,,,,c,b,,,,,,,e,p,,,e,,,
,,,,,a,,b,,e,,,,,c,,,n,n,w,c,d
,,,,,,,,,t,,,,,,,w,o,,w,,
x,,n,f,,,,,,,?,,,,,p,,,,,,
f,,,t,n,f,c,,,e,?,,,,,,,,e,,c,w
,y,,,,,c,,,,b,,,,,,w,o,l,h,,
,,,t,,,,n,,,,,,,w,,,o,,k,,
x,y,,,n,,,b,,,,,s,w,,,,o,,,,d
,,g,t,,f,c,b,,,,,,,,p,w,,,,v,
b,,,,l,,c,,,,c,s,,,,p,,o,,,,
,,,f,,,c,,,e,,k,,,,,,,,h,,p
,,,,,f,w,,w,t,,,s,,,,,,,,v,d
f,,,f,n,,,,,,,f,,,w,,,o,e,,,
,y,e,,n,,,,p,,,,,p,,,w,,,,,
,,,,,,,,u,,b,s,,p,,,w,o,,n,,
,,,,n,,,,,,b,s,s,,,,,o,p,,,d
,s,,,,,,n,,,,s,s,,,p,,,,,v,
,,n,f,,,,,b,t,,,,w,w,,w,,,,v,
,,e,,s,,c,,,t,,,k,,,,,,e,,,p
f,y,,f,n,f,,n,h,,,,,,w,,w,,,,,d
,,,,,f,,,,,,,,,,p,,,,,v,
x,,,,f,,,b,,,,k,k,p,,,,,,,v,d
,,,t,p,,,n,,,e,,,,,,,o,,,,u
,,,,f,f,c,,,,,,,p,,p,,,,w,,
x,,,,,,c,,,,b,s,,w,w,,,o,,,,d
f,,,,,f,,b,n,t,e,,,,,,,o,e,k,,
,,,,,,,b,,,,s,,,,p,w,,e,,,g
,y,e,,f,f,c,n,b,,,,,p,,p,,,e,w,v,
x,,,,f,,,b,p,,b,,,,b,,w,,l,h,,
,,,,s,,c,,,,?,,k,,,p,,o,e,,,
x,s,g,,,,,,,t,,,,,,,w,,,h,,
,,n,,,f,c,,b,t,,k,k,,,p,w,,e,w,,
x,,,f,,,,,,,,,,,b,,,,,h,,
,,n,,s,,c,,b,,,,,,w,,,o,,,,
k,,,,,,,,,t,,,k,w,p,,,,e,,,
b,y,p,,,,,,r,,,,,,,,,t,,,v,g
,s,,,,,w,,p,,,,,,w,,,,,w,s,g
,s,,f,,,,,,,,,,,,,,,e,,,
,,,f,,,,,,e,,,,,o,p,n,,p,n,c,
x,s,w,,,f,,,,,,,s,w,,p,,,,k,,
,,,f,y,,,,b,,?,,s,,,p,,,,,v,
,,y,,f,,,b,,,,,,b,,,,,,,,
,,,f,,,,b,p,e,,,k,,,p,w,,,,,
x,s,,,,,c,,,,,,,,,p,,,,,,m
,,,f,,f,w,,,,,s,,,w,,,,e,,,
,,,,,,,b,,,,,s,,,p,,,,w,,g
,,,,,,,,p,t,,,,,,p,,,p,n,,d
,,,,,,,,b,t,,,,,,,,,,,v,
f,y,,,,f,,n,,t,,,k,,,,,,,w,v,
f,f,g,t,,,,,,,b,,,,,p,,o,,,v,
x,,,,,,c,n,,,?,,,,p,,,,,,,
b,s,y,t,,,c,,k,,,,s,,w,,,,p,,,
,,,,,,,,,t,,,s,,,,,,p,,,
f,,y,,f,f,,,h,,,,k,,n,p,,,,h,v,
,s,n,f,,,,n,,,?,s,k,,p,,,,,w,,l
,,,,n,,,,,e,,,,,w,,,,,,,
,,,,,f,,,,,,,k,,,p,,o,,,,g
,,,f,,f,,,b,,?,,s,,p,p,,,,,,d
,,,f,,,,n,,,,,k,w,,p,,,,,,
,,,,,f,,,b,,,,k,,,p,w,,,w,,l
,,,,,f,,,n,,,,s,,p,p,,,p,,,d
,,g,,n,f,c,,,,,,s,p,,,w,o,,,,
x,y,,,,,,,,e,b,,k,n,,p,,,,,,
,,,,,,c,,w,t,b,s,,,,,,o,,,,
,f,g,f,,,,,,,,,k,,,,w,,,,,g
f,,,,y,f,,,b,t,,,,,,,,,,,,
,s,,,,f,,,,t,?,,,,,,,,,w,,
,,,f,s,,c,n,b,t,,s,k,,,,w,,,,,
x,f,g,,n,f,,b,,,,,,,,,,,,n,y,
,,,f,,f,c,,,,,,k,,p,,,,l,h,,
,,,,,,c,,,,?,,,p,p,,,,,,,
,,,t,,f,,b,,,,,,,w,,,,,h,,
b,,w,,,,c,,,,c,,,,,,,,,n,s,g
x,,,,,f,,,,e,,k,k,,,,,,l,h,,
,,,,,,,b,,t,,f,,,,,w,o,,,,
x,y,,t,,f,,b,,,b,,,p,,,w,,p,k,v,
,y,,,,f,c,,n,t,b,s,s,g,,,,,,,v,
,,,t,,,c,,k,,e,,,w,w,,w,,p,,s,
,,,t,a,,,,g,,,s,s,,,,,,p,,s,
,,,,,f,,,n,,,s,s,,,p,w,,p,,,m
,,,,,,c,n,,,,,,,,p,,o,,w,v,
,,,,,,,b,,,b,s,,,,,,,,,v,d
,,n,,n,,,,,e,b,,y,n,n,,,,,,,p
,,n,,s,f,,,,,,,s,w,,,w,,,w,v,p
k,,,,,,c,,b,t,?,,,,,,w,,,,v,
,y,,,y,,c,,b,t,,k,,,p,,,,,,,
,s,,f,n,,,,,,,,,w,,,,,,k,,
,,n,,,,c,n,,t,,,,,,,w,,,w,,
,s,n,,n,,c,,w,,,y,,,,,,,p,,,
b,,,,a,f,,,n,,c,,s,,,,,,p,,s,
,,e,,,,c,,,,,,y,,,p,,,,w,,
,y,g,,,,,,,e,,k,k,,,p,,o,,,y,
,y,,,n,,c,b,p,,,,,w,,,w,,,,,d
,,,,,,,,,,,,,,,p,,o,,,v,
,y,,,f,f,,,g,,,k,,,,,,o,,,y,d
,s,,,n,,,,,t,,,,w,,,w,o,e,k,,
,,,,,f,,,n,,,s,,,,,w,,,,s,u
,,g,,,,,,,,,,,b,b,p,,o,,,,
x,,,,,,,,,t,,k,s,,,,,,e,,,l
,,y,,,f,,,,,,,,w,,,,,,,,
,y,w,,,f,c,b,,,,s,,,w,,,,,,,
,,,,,,,b,,,b,s,s,,g,,,,,,,
k,,,,,,,n,w,,,,,,n,p,,,e,w,,
,,,,,,c,,,,?,,,,p,p,,,e,,,p
s,,,,,,c,,k,,,s,,,w,,,,p,,,
,,,,,,,,,,e,,,w,,p,,,,,s,
,,,,,f,,b,g,,,,,n,,,,,,,y,d
,y,g,,,f,,,,,,,,p,p,p,w,,,,y,d
,,,f,y,,,,,t,,k,,,,,,,,w,v,
,y,,,,f,c,,u,,b,,,g,g,,w,o,p,n,,
b,,,,a,f,c,b,,,,s,,,,p,w,,,k,n,
,y,,,l,,,,n,,,s,,,w,p,,,p,,,g
f,,e,t,,f,c,,,,,,,,,,w,o,p,,,
,s,,,,,c,,,,,s,s,,,,w,o,,w,,p
,,w,f,,,,,,t,,,,w,,,w,,e,,,g
x,,g,,,,,,,e,e,s,,,w,p,,,p,k,y,u
,,,,,f,,,,e,c,,,w,w,,w,,,n,,
,,,t,,,,,p,,b,,,p,,,,,,n,,d
,s,,t,,,c,,,,,s,,,,,,,,n,,
,,,,,,,,,,?,,,,,p,,t,,,,
,,,,,f,,,,t,,,,w,w,p,,,,,,
,,g,,n,f,,,,,,f,,,,p,,o,,,,
,s,,,,,c,,,,,k,,,w,,w,o,,w,,
,,,f,,f,,,,,?,,,,p,p,,,e,w,,p
,,y,,,,,b,,,,,s,w,,,,o,p,,,
,f,,f,,f,,,,,b,,k,b,,,w,,,h,,d
,,,f,,,,,,,?,,,o,,,o,o,,,,
,,n,f,,,,,,,,s,,,,p,w,,e,w,,p
f,,w,,,,,,,t,e,s,,,,,,,,,,g
,,,f,,f,,,,,,,,,,p,w,,,h,,
,y,,,,,c,b,,,b,,,b,,,,,,,,g
x,,,f,s,,,,,,,,,w,,,w,o,e,,,d
,,e,,,,,,,,,,k,,,,,o,,w,,
,y,,f,s,,c,,b,t,?,k,,,,,,,,,v,l
,,n,,,f,,b,,,,s,s,,w,,,,e,k,a,
x,,,,,,c,,b,t,,,,,,p,,,,,,d
,s,,t,,f,,,h,,,,,,,p,w,,,,s,u
k,,e,f,,f,c,,b,t,?,,,,,p,,,,w,,
,s,n,,,f,,b,k,,e,f,f,,,,,,,,,g
f,,g,,f,,,b,,,,,,p,n,,w,,,h,,
f,,,f,f,,,,,t,,,s,,,p,,,,,v,
x,f,n,,,,,,p,t,e,,,,,,,o,,n,,
,f,,,,f,c,,,,,,k,,,,,,l,,y,g
x,,,,,,,,,,,,,,p,,,,,,,p
x,,,,,,c,,,,,,s,,,,,,,,v,
,,,,,,c,n,,t,,,s,,,p,,,,,v,
x,,,,,,,,,,,s,,g,,,,o,,,,d
,,e,,,,,,,t,?,s,,,w,,,o,e,,v,
k,,,f,y,,c,,,,,,k,,,,w,,,,,
x,,,f,,f,,,,,?,k,,,,,,,,,,
,,y,,,,,,,e,,,,,w,p,,,,k,,m
,s,,,a,,,b,g,,c,,,,,,,o,,,,
f,f,,,,,,b,,,,,,,,p,,,,h,,
,,n,f,,,,,b,t,,,,,,p,,,,,v,
,y,,,,,,,,e,c,,,,w,,,o,p,,s,
x,,,t,,,,n,n,,e,,,w,,p,,,,,,
,,,,,,,,,,,,,,,,,,l,,,g
,,,,f,,,,,e,,,k,p,,p,,,l,h,y,
,f,g,,,,,,,,,k,,,,,,,,,,
,,,f,,,c,n,,,,,,,,,,o,,,s,
,,,,,,,,k,,e,,,,,,,o,,,,g
,,g,,,f,w,,,,,,s,,,,w,o,,,s,g
x,,,t,,,c,,n,,,,s,,,,,,,,,
f,,,,,f,,,,,,,,,,,,o,,,,
,,,,,,,,,e,,s,,,w,p,,t,,,,
x,,,,f,,,,,e,,,k,,,,,o,,,,
,,g,,,,,n,n,,b,,s,,,,,,,,,
,,,,,f,c,,b,t,?,,,,p,p,w,,,,,
,,e,t,,f,c,,,,,,,,,,w,,,,y,d
,,,,s,,c,,,,,,s,,,,,,e,,,p
,,,,n,,,b,,,,,s,e,,p,w,t,,,,
x,,,,,,w,,,e,,,,,,,,,,,s,
,y,,,,f,,,,,,,,,w,,,t,,w,,
,,,t,,f,,,p,,,,,w,,,,,,,,
,,,t,f,,c,,,,,f,,w,w,,,o,,h,,
,,,,,,,n,,,,s,,,,,,,,,c,l
,s,,,,,,,n,,,,,,,,,,p,n,n,m
,,g,f,,,,,p,e,,s,,,,,,,p,w,n,g
,,n,,,f,,n,,t,?,,,,,,w,,,,v,
,,,,,,,b,,,,,,,,p,w,,p,,,g
,,,,,,,b,,,b,,,b,n,,,,l,,v,p
,,,,,,,,,,,,,,,,w,,,,,
,,,,s,,c,,,,,,k,,w,,w,o,,,,
,,,,,,,,b,t,,,,,p,p,,,,,v,
,,,,,,,,p,,,,,g,w,p,w,o,,,,
,,,,,,,n,,,,,,,,,w,,,w,,
f,s,,,,f,,,,,?,,,p,,,w,,,,v,d
,f,g,,n,,w,,,e,,k,,w,,,,,,w,,
,,,,,,,,,,?,,,,,,,,,,v,
,f,,,,,,,,t,,s,,,,,,,,k,,d
,,w,t,,,,,,e,,,,,,p,,,,n,,
x,,,,,f,,,p,,,,,p,,,,,,,v,
,s,n,f,s,,,,b,t,?,k,k,,p,,,,,w,,d
f,,,,n,,c,b,,t,,,,,,,,o,,,y,
,f,g,,n,f,c,,,,,,,,,p,,o,,,,
,,e,,,,,,,,?,,,,p,p,w,,e,,,
,f,,,,,,b,,,,s,,w,g,p,,,,,,
f,,g,t,,f,,,,,b,,f,,,,,,p,,,
,f,y,,,,c,,,e,,,,,b,,,,,,v,
,s,,,f,,c,,b,,,,,w,,,,,e,w,,
,,e,,,,,,,t,,,,,,,,,,,v,d
k,s,w,,,f,w,,,e,,,,,,,,t,,w,n,g
x,,,,f,,,,,t,,,k,,w,,w,o,,,,
f,,e,,,f,,,,t,,,,,,,,,e,w,,
,y,,f,f,,c,,,,,,s,p,,p,,,e,,,
,,w,,,,,,,,c,,s,,,,,,p,,n,
,,,f,,,,,,,?,,,,,,,t,,,,
,,,,f,,,b,,,,,f,w,,,w,o,p,,,g
,s,g,,,,,,,e,,,,,,,w,,,,n,
,f,,,,,,b,,,b,k,k,,,,,o,,h,y,
,,g,,,,w,,,,,,,,w,,w,,p,w,s,
x,,n,,,,,,,,e,,,,,,,,,k,s,
f,,,,n,,,,u,,,,,g,,p,w,,p,,,
,y,,,n,,,b,,,,,,p,w,p,,o,,n,,
,y,,t,,,,,,t,b,s,,,p,,,,p,,,
,f,,,,,c,,,,,,s,,,,w,o,p,n,,
,s,,,,,,,n,e,e,s,s,w,,,,,,,,
,,,,,,,,,,,,s,p,,,w,,,,,d
,,w,,,,,,,,,,,w,,,,,,,,g
,,n,t,,,,,,,,s,,w,,,,,p,,s,
x,,,,,,,b,,,e,f,,,w,p,,,,,,g
,,,,,,c,,,,,,,,,,,,,n,v,
,y,,,,f,c,,,,,,s,p,,p,w,o,,w,v,l
,s,,,,,,,,,b,f,,,w,p,,,,,,u
f,s,,,,,,n,,,,,,,p,p,,o,e,,,
x,,n,,,f,,,n,,e,,s,,,,w,,,,,
x,,,,f,,,,,t,,k,,w,w,,w,o,,w,v,
,,b,,f,,,b,,,,,,w,w,p,,,p,h,v,
,y,n,,,,,b,,,,,s,g,,,,o,,,,
,y,,,n,,c,,,,?,,,,,,,,,,c,
x,,,,,,,,,,,,,,,,,o,,,,p
,y,,f,s,,,n,,,?,,k,,p,,,,e,w,,
,y,,,f,,c,,,,,k,,,,,w,,e,w,v,
,,,f,,,w,,p,,?,,,,w,p,,,,w,,
,,e,f,s,,,,,,,,,,,,w,,,,,p
,,e,,,f,,,,,,,,,g,,,o,,,,
x,s,,,,,,,,t,,,s,,,,,o,p,,,
,s,,,,f,c,b,,,,s,,,w,,w,,p,,,
,,,f,,,,,,,,,,,,,,t,,,,
f,,n,,,,,n,b,,,,k,,,,w,,,w,,p
,s,,f,c,f,,,,e,,,,,,p,,o,,n,s,
,,,f,,,,,h,,,,,n,,,,,l,,,
x,y,,t,,,,,,,b,s,,,,,,,,,y,
x,,,,f,,,,p,,,,,,,p,,o,,,,p
,,,,f,f,,n,b,t,?,,,,,,,,,w,,
f,,,t,,,,b,w,,,,,,,,w,o,p,n,,
,y,n,,f,f,c,n,,,,s,s,w,,,w,,,,v,
,,,,f,,,n,,,,k,,,p,p,,,,,,p
f,y,,,,,c,,,,,,,,,,,o,,,,
f,,,,n,,,b,,,,s,s,,,,,,,,,d
x,,,f,,f,,,,e,?,,,,,,,,,,n,g
x,,y,,,,,b,,,,,,,,p,,,p,,,p
,,,,a,f,,,,e,,,,w,,,w,o,p,,y,
,,,t,p,,,n,,,,s,,,,p,w,o,,,,
,,y,,,f,,,,e,,,y,,,,w,o,,,,
,y,,,n,f,,,w,,,,,e,e,p,w,,e,,,
,,,,,,c,b,w,,,s,,,,p,,,p,,s,m
,,,,,,,,,,,,,,,,,,,,v,
,,,,,,,,b,,?,k,,,p,,,,,w,,d
f,,,,f,,,,p,,b,,,n,,,,,,h,,g
,,,,,,c,,,t,,,,,,p,,o,,,y,
k,,,,,f,c,n,,,?,,k,,,,,,e,,,
,,,t,,,,b,w,e,c,,,w,,,,o,,,s,
x,s,,,,,,,,,,,,,,,,,,,,
x,s,,f,,,c,,,,,s,,,w,p,,o,,,s,
,,,t,n,,,,w,e,?,,,e,,p,,,e,,,w
,,,,n,,c,,w,,b,s,,w,,,,,,,v,
,,,,,,,,,,,,f,,,,,,,,,
,,,,,f,,,,t,,,,w,,,,,,,y,
,,,,,,,n,,t,,,,,,p,,,,,,
,s,,f,,a,,,,,,,,,,p,,,p,,v,l
,s,,t,,f,,,,,e,s,,,,,w,,p,,,u
x,f,,,n,,,,,,e,,,,w,p,,,e,,,
,s,,,n,,w,,,t,,f,,w,,,,,e,n,,g
f,,e,,,,,,w,,,,,,,,,,,,y,d
,,,,,,,,,,,,,,,,,,,,,
,,g,,,f,c,,,,b,s,s,w,w,p,w,,,n,v,
,s,,f,n,,,,,e,,,,,,,,,,,n,g
f,,,,,f,c,n,,,,s,,,,,w,,p,k,,
f,f,n,,,,w,,,,,,,,w,p,,o,,,,
b,,,f,n,f,w,,,,,,,,,,,,,w,,
x,,,,,,,,,,b,,,,,,w,,l,h,v,g
,,n,f,,,w,b,,t,,,,,,,,,,,,
,,n,,,f,,n,,,,,k,,w,,w,o,,,,
,,,,n,,,b,,,,f,s,w,,p,,,,,s,g
x,f,,,,,,,,,,s,,,,,w,,,,,
,,,t,,,c,,,t,b,s,s,p,g,p,,,p,k,,
f,,y,,,,,,,e,,s,,,w,,w,,,,,p
f,,w,,,f,w,,,t,,,,w,w,,,o,,,,
k,,e,,,f,,n,b,,,,,w,,p,,o,,,v,
,,g,,,f,,,,,,,s,w,,p,,,,k,y,
,,,t,,,,,,,,s,s,e,,,,,,,c,
k,,g,,,,,,p,,,,,,,,,,,,s,
f,,,,,,,,h,,,,,,,,,,,,y,
,y,,,,,c,n,,,,s,,,,,,,p,k,,
,,y,,,,,b,,e,,k,,,n,,,,,,,
x,,,,f,,c,b,,e,b,,,,,p,w,,,,,d
,,,t,n,,,,u,,,,,,g,,,,,,,
,,,,,,,,w,e,,,,,w,,w,,,,,
x,s,,,,,c,n,,t,?,,k,p,w,,,o,,,v,
,,,,,,,,,t,,,,,p,,,o,,,,
,y,,f,f,f,,,g,e,,,k,n,,,,,,h,,
,,,,n,,w,,,,,,,w,,,,,e,n,a,
,,,,,,w,,,,,,k,,,p,,t,p,,n,
f,,g,,,,,,,e,b,,,,,p,,o,,,,
,y,,,,,,b,,,c,s,s,,w,,w,,,,n,
,,,t,,f,,,w,,,,,,,,,t,,,,w
x,,,f,,,c,,h,,,k,,,n,p,,,,,,g
,,,t,n,,,,,,b,,s,,,p,,o,,n,,
,,,,f,,,,,,,s,,,w,,w,,,,,
,,,,,f,c,,,,,,k,,,,,,l,h,v,
,,,f,,,,,,e,b,k,k,,b,,,o,l,h,y,
f,,n,,,,,n,,t,?,,,p,p,,,,,,,
f,,y,f,,f,,,,,,,,,,,,,l,,,g
,,,,n,,,,,,,,,,,p,w,,,,v,d
