cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
f,,,t,p,f,c,,,,,s,,,w,p,w,o,,,,
x,,,t,l,,,,,e,,s,s,w,w,p,,,p,,,
x,y,,f,,,,b,h,,,k,,,p,,w,o,,,v,
,,,t,,f,c,b,,,,s,,,,,w,o,p,,s,
x,,,,n,f,,b,,,,,s,,,,w,o,p,,,
f,,g,,n,,,b,,,e,,s,w,w,p,,,e,,s,
k,y,e,,,f,,n,,t,,s,k,w,,,w,,e,,,p
,s,e,f,,f,c,,,t,?,,,w,,p,,o,,,,
,,,t,a,f,w,,p,t,b,,,,w,p,,,p,u,,
,s,n,f,y,f,,,,,?,s,,,,,,,,w,v,
f,,,t,,,c,b,p,,b,,s,,,,,,p,k,,d
f,f,,f,,f,w,b,n,,,s,,w,,,,o,e,,,g
,,g,,f,,,b,,e,,,,p,,,w,o,l,,,
f,y,y,f,f,,,b,,,,k,,,,p,w,o,,,y,
x,,,f,n,,w,,,e,?,,k,w,,p,w,t,,w,n,g
f,,n,f,,,,,,t,e,s,,,w,,,,e,,,
f,f,,,n,f,,b,,,,f,,w,w,p,w,o,e,,,g
,f,,f,,,c,,,,b,k,k,p,,,,,l,h,,p
x,f,,,n,,c,,n,,b,,s,,g,,w,o,p,k,,d
,,g,,,,c,b,p,,b,,k,p,,,,,l,h,v,
f,,y,f,f,,c,,,,b,,,p,,,w,o,,,y,d
x,,g,f,,f,,b,,e,b,k,k,,b,p,w,,,,v,
,,w,f,,,w,b,g,,,,,w,w,,,,,,s,g
x,y,y,f,f,,,,,,b,,k,b,p,,w,,,h,y,p
,y,e,t,n,,,,,,,s,s,w,w,,w,o,p,k,,
f,y,,t,,,,,w,,e,s,s,,w,,,,,,,u
x,s,n,,n,,w,,h,t,e,s,,,,p,,o,e,,s,g
,y,,,,f,,b,g,e,,,,p,b,p,w,,,,,
,y,,,,f,c,b,h,e,,,k,b,,p,w,,l,h,v,d
,,n,,n,a,,,,,,,s,o,,p,,o,,y,,l
x,s,,f,,,,b,,,,,s,w,,p,w,o,,k,s,g
,,n,t,n,,,,,t,,,,,,,w,,,,v,d
x,y,,f,f,f,c,,g,e,,,k,,b,,w,,l,,v,
,,,f,n,f,,,,e,?,,k,,,,w,,,,,g
,,,,,,,n,,,b,,,w,,,,o,p,,v,
,f,g,,n,,,n,,e,,,,,w,p,,o,p,k,v,
x,,n,t,,f,,,,,,s,,w,,,,,p,,,u
,s,,,p,,c,n,,e,,s,,w,,,w,,,n,,
,,,f,,,c,b,,e,,s,s,,,p,,o,p,b,,l
k,y,,,y,,c,,b,t,?,k,s,,w,p,w,,,,,
,,,f,y,f,,n,b,,?,s,,p,,,w,o,e,w,,
,,,f,c,f,,n,,e,,s,s,,w,,w,,,,s,
x,f,,f,f,f,,b,,,b,,,n,p,p,w,o,l,h,v,p
x,,y,t,,f,c,b,,e,c,,,,,,,o,,,,g
x,,n,f,n,,w,,n,,e,,,w,,p,w,o,e,,a,g
f,s,,,,f,c,b,,t,b,,,w,w,,,o,p,h,,
f,y,g,t,n,f,,b,,,b,s,,p,w,,,,,n,y,d
f,,,,f,f,,,b,,?,s,,w,,,w,o,,,v,l
,,e,,,f,,n,,t,,,s,p,,,w,,e,w,,
,y,w,t,p,,,n,,,,s,,w,w,p,w,,,,v,
,,e,,,,c,b,p,,,,,,w,p,,o,,n,,
,,g,,f,f,,b,h,e,,k,k,,,,w,,,h,,
,y,,,n,,,,p,,b,s,,w,w,p,w,,p,,v,d
x,,,t,p,f,,n,p,,e,,s,,,,,,p,,,
,s,n,,,,c,b,o,,?,s,,o,o,p,n,o,,b,,l
f,y,e,,,,,n,b,,?,s,,p,w,,w,o,,w,v,
f,y,,f,f,,,b,g,e,b,,k,n,,p,w,o,,,v,
f,f,,t,,,,b,,,b,,s,w,,p,,,,,,d
,f,y,,,f,,b,h,,b,k,,n,n,,w,o,,h,,
,,n,,n,a,c,b,o,,?,,s,o,,,,,,b,,l
,y,n,,,f,,b,,e,r,s,,,,p,w,,,k,,g
x,,w,t,a,,c,b,g,e,c,s,s,,w,,,o,p,,n,m
f,f,y,,,,,,p,e,b,,,b,,,w,,l,h,,g
x,,,f,n,f,,,w,e,?,k,y,,n,,,,,w,,
s,f,n,,n,,c,n,,,e,,,w,,,,o,,,,u
x,,,f,f,f,c,,,,b,k,,,,,,o,,,,d
x,f,w,f,,,,b,,,,,,,w,p,,o,e,k,,
x,s,e,,f,,,,b,,,,,w,p,,,o,e,w,v,p
x,f,n,t,n,,,b,n,,,s,s,w,g,p,w,o,,k,y,
x,f,w,,l,,w,n,n,t,,s,,w,,,,,p,,v,d
,,,,,f,,b,k,,e,f,s,,,p,,,e,,,
,,,f,,,,b,n,,e,s,s,w,,,w,o,,k,a,
x,,g,,n,f,c,,w,e,b,s,,w,,p,,,p,w,y,
,f,e,t,n,f,c,,,t,b,s,,,,,w,o,,n,v,d
,s,,,f,,,,,t,?,,s,,,p,w,,,w,v,d
x,,g,f,f,f,c,,g,e,,,,,,p,,o,l,,,
,,,t,,,,b,w,t,b,s,s,p,g,,w,,,k,,
x,,,t,,,,,p,t,b,s,,,,,w,,,,v,d
x,,,f,n,,w,,k,t,e,,,w,,p,w,o,e,,,
x,y,g,,,,,b,,,,s,s,w,p,p,w,o,p,,,d
,f,,t,n,f,,b,,t,,s,,w,g,p,,,,,y,
x,,,,,,c,,,,,s,s,w,,p,w,,,n,,
f,y,,t,,f,c,,,e,,,s,w,,,w,,p,,,
k,s,e,,f,,c,n,b,,,k,k,p,,,w,,,,,l
b,,,t,l,f,,b,,,,s,s,,,,w,,,,s,
,s,,,,,,,,,,k,,,w,,,,,w,,d
b,,,f,n,a,c,b,,e,?,s,s,,,,,o,p,n,c,l
,y,y,,f,,,b,,,b,,k,,,p,w,o,,h,,
b,s,y,t,a,,c,,,e,c,s,s,,w,,,,,,,
f,,g,f,,,,,p,e,,k,,,,p,w,,,,v,
,f,g,,f,f,c,,h,,b,,,p,b,,w,,,h,y,g
,,y,t,a,,c,b,w,,c,s,s,,,,,,,n,n,g
,s,,f,,a,,b,y,e,?,,s,o,o,,n,o,,,c,
,,,,n,f,,b,,,e,,,w,w,,w,o,,,s,
b,f,w,f,,f,,,p,,?,,k,w,,,,t,p,,,g
f,f,y,,,,,b,p,,b,k,k,n,b,,w,,,,v,
b,,y,t,,,c,,,e,c,,s,w,,,,o,,,s,
f,y,y,,f,,,b,g,e,,k,,p,b,,w,o,l,,v,d
f,,,t,,,c,,,,b,,,p,,p,w,o,,k,y,d
k,,,,f,f,,n,,,,,,w,,p,w,,,,v,p
,,e,,n,f,c,,w,,,,,p,,p,w,o,p,,,d
x,,,f,,,w,,,,b,,s,,,p,w,,p,n,s,
,,,,f,,,b,h,e,b,,k,n,p,,w,o,l,,,
,,n,t,n,f,,b,w,,,,,,g,p,w,o,p,n,v,
k,y,e,f,f,f,,n,b,t,?,,s,,,,,o,,,v,d
,,n,f,s,,c,,,,,,,,p,,w,o,e,,v,l
b,y,y,,l,,c,b,,e,,,s,w,w,p,,,p,n,n,g
,y,p,,n,f,,b,w,e,?,s,,,e,p,w,t,e,w,,w
,y,e,,,a,,,,e,c,,,,c,p,w,,n,,c,
k,s,,,f,f,c,n,,,,k,,p,p,,,o,,,v,
x,,,,y,f,,,b,t,,,,p,,p,w,o,,,,
f,,,,n,f,,b,e,,,s,,,e,p,w,t,e,,,
,,g,,,,c,b,g,,,k,,,,,,,l,h,v,
x,s,n,t,,,c,,k,,,,s,,w,,w,o,,,s,g
,,e,t,,f,c,,u,t,,,,,,p,w,o,,k,y,d
,,,t,n,,,,p,t,b,s,,,g,,,o,p,k,v,
b,,,t,,,c,b,w,,c,,,,,,w,o,p,k,s,
x,y,y,f,,f,,b,,,b,,k,n,,,,o,,h,v,p
f,,,,,f,w,,w,t,,,,w,,,,o,,n,,d
,,w,,,,w,,k,,,,,,w,p,,o,,,s,
,y,,,,,,,p,t,,s,,,,p,,o,,,,d
,y,g,t,,,c,b,u,,b,,s,p,g,p,w,,,,,d
,,,,n,f,c,,p,t,b,,,,,,w,,,n,,
x,,p,,c,,,,n,,,,s,,,p,w,,,,,
x,,n,,f,,c,n,b,t,,s,s,,,p,,o,e,,,
k,,e,f,,,,n,,t,?,s,,,w,p,w,o,,w,v,p
,,r,f,,,c,n,h,e,,s,,w,w,,w,,,,,
,f,,f,,,c,b,p,e,,k,,p,p,,w,,,h,,
x,f,y,,,f,c,,p,e,,,k,,n,p,w,,l,h,v,d
f,s,w,,,,c,,,e,,s,s,,,,w,,,,v,
k,y,,f,f,,c,n,b,t,,k,k,,,p,,,,w,,
,,,,,,,b,u,,b,,s,,w,,,,,k,v,d
,f,,f,,f,,,,,,s,,,w,,w,,,k,,
f,f,w,,,f,w,,n,t,,s,f,,,,w,o,e,,,g
f,y,,,f,,c,n,,t,,s,k,,w,,w,o,,w,,
x,y,g,f,f,f,,,,,,k,,,,p,,o,l,,y,
,s,e,f,,f,c,,,,,k,,,,p,,,e,w,v,p
,,g,t,f,,c,,,t,,f,,w,w,,w,,p,,v,
k,y,,,,f,c,n,,,,k,,,p,p,,,,,,p
x,,,,,f,c,,,e,b,,k,,,,,o,l,,,p
x,,,,s,,,n,b,,,k,s,w,,,w,o,e,w,,l
,s,,f,f,,c,,b,t,,k,,w,,,,,,w,v,
,y,,,,,,,,e,b,s,,w,,,,,,,,
,,,f,n,,w,,p,e,?,,,w,w,,w,t,,w,s,g
,,,,,f,,,b,,,k,,,,p,,o,,,,p
,,n,,n,,,,o,e,,s,,,,p,n,,,n,c,l
x,s,w,,n,f,,b,k,t,,,s,,w,,w,o,,,,
x,,n,f,y,,c,n,,t,?,k,,,p,,,,,w,v,
,,,,,f,c,,h,e,,k,k,,,p,,,l,h,y,
,,g,,f,,c,b,p,,,,k,,p,,w,,,h,,p
,,,t,l,,c,b,w,,c,,s,w,w,,,,p,n,n,
x,s,,f,,,,,,,,,f,w,w,p,,o,,k,,
b,,g,f,,,,b,,e,,s,s,w,w,p,w,t,p,,,
,,e,t,,,c,,,t,,,,,p,p,,,p,n,,d
,y,n,f,,,,n,b,,?,,,,p,,,o,e,,v,
f,,e,,,f,,,,t,,k,k,w,p,,w,,e,w,v,
f,f,,,,,,b,,t,,,s,p,,p,w,,p,,v,d
,s,,,y,,,,b,,,k,,,p,p,,o,,,,l
,s,y,t,,,,,k,e,,s,s,,,p,w,o,,n,,
,f,g,,n,,c,,n,,,,,g,w,p,,,p,n,v,
f,f,y,,f,,,,h,,b,,k,p,n,p,,o,,,v,d
,,,f,,,c,n,b,,?,,k,p,p,p,,,,,v,l
,,w,f,,f,,b,,,,s,,,w,p,w,,,w,,
,f,,,,f,,,,,,k,,p,p,,w,,l,,y,
k,,,f,,,c,n,,t,?,s,,,p,p,w,,,w,,
,,n,f,,,,,,,?,,,,,,w,,e,,v,
k,,n,,,f,,n,b,t,?,k,k,p,p,,w,o,,,,
x,,g,t,,f,,,n,,,s,s,g,,,w,o,,k,,
,,g,,n,,,b,,t,b,s,,,g,p,w,,p,k,v,
,,y,,,,,,,e,,k,k,,,p,,o,,h,,
,,g,,,,,b,,,,s,s,g,w,p,,o,,,,
x,,g,f,f,f,c,b,g,e,,k,,,,p,w,,,,,g
,,,f,,,,n,,t,?,,s,,,p,w,,,w,,d
x,,e,,,,,,,t,,,k,,,,,,e,,,
f,s,,,,f,,n,,,?,,,,,,w,,,,v,p
,f,g,,n,f,c,b,p,,b,,,,p,,,o,,n,,
,f,y,f,f,,c,b,p,,b,k,k,b,,p,,o,,,,g
x,y,,f,s,,,n,b,t,?,k,,,p,,,o,e,w,v,d
x,s,,t,f,f,c,,h,t,b,f,,,,p,w,,,h,v,u
b,,w,,,,,b,,e,,s,,w,w,,w,,p,,s,g
,,,f,f,f,c,,p,,,k,,n,n,,,,,,v,d
,,,f,,f,w,b,k,,,,s,,,,,o,,,a,g
,y,e,,,f,,b,,,,,s,p,,,w,,p,,v,
x,,,t,n,,,,n,t,,,,,g,p,,o,p,,v,
x,,,t,,f,,n,k,e,,,,,,p,w,,p,,,g
,y,,t,,,c,b,g,e,,s,s,,,p,,,p,n,s,m
b,y,,t,,f,,b,n,,c,s,,,w,p,w,,,,s,m
,,n,f,,,c,n,,t,?,k,s,w,p,p,,,,,v,
x,,e,t,n,,c,,,t,b,,,g,,p,,,p,n,v,d
f,,n,f,n,f,,b,w,e,,y,,,n,p,,,,,,
k,s,,f,s,f,,n,b,t,?,,s,,,,w,o,e,w,v,
,,,f,,f,,n,b,t,,k,,p,,p,,,e,w,v,
f,y,n,,,f,c,,b,,?,k,k,w,,p,,o,,w,v,
,s,,f,n,,,b,,,e,,s,,,,,o,e,k,,
f,,,,f,f,,n,b,t,?,k,,,,p,w,o,e,,v,
,,n,f,,f,c,b,w,,b,y,,n,n,p,w,t,p,,y,p
b,,w,t,a,f,,,,e,,s,s,,w,,,o,,,s,g
k,,e,f,m,,,b,w,,,,,,c,p,w,n,,,c,
f,y,g,f,f,,c,b,p,e,,,,,b,p,,,l,,y,g
x,y,e,t,n,f,c,,,t,b,,,,,p,w,o,,,v,
,,,,y,f,c,n,b,t,,k,k,,p,,w,o,e,,,d
x,y,,f,,f,,b,,,,,k,,b,,,o,l,,y,d
,,,,n,,,,p,,,,,,w,,,,e,k,,
f,,n,t,,,c,n,,,e,s,s,w,w,,w,,p,,,u
x,f,g,f,f,,c,b,p,,b,k,,,,p,w,o,l,h,y,p
,,n,f,,,c,n,b,,,k,s,w,w,,,,e,w,v,
,,,,,f,c,b,k,e,,,,,,p,,,,n,s,m
b,y,w,,,,,,g,,,s,s,w,,,w,o,,k,n,m
,f,,t,,,,,,,b,s,,,,p,w,,p,k,v,
k,y,,,n,f,c,,w,e,?,,y,,n,,w,,e,,v,d
,,,f,s,,c,,,t,?,,s,,p,p,w,,e,,v,p
s,,n,,,f,c,,k,e,e,s,s,,w,,w,,,,,u
x,s,,f,n,f,,b,,t,,s,s,,,,,,e,k,,g
f,,y,,f,f,,b,g,,b,k,k,,,p,w,,,,,d
f,y,,f,,,,,g,,,k,,p,p,,,,,,,d
,,e,,,f,,n,b,t,?,k,,,,,w,,,w,v,
,,g,t,,,c,b,,,b,s,s,g,g,,w,,p,,v,
,,y,,,,,,,e,c,s,,w,w,p,,o,p,,n,g
,,y,,,,,b,,,,s,s,,w,p,,,,,,g
,y,,,,,,,p,t,b,,s,w,,,w,,p,k,,d
x,s,,f,y,f,c,,,t,,s,,,,,w,,,w,,
x,f,w,f,n,f,,b,p,t,e,,,,,p,,o,e,n,s,
,f,,,,,,,,e,,,s,w,w,,,,p,,y,
,y,,t,l,f,,,,e,c,s,s,,,,w,,,,n,
x,y,,t,,f,,,p,t,,,,,p,p,,o,p,,y,
,,,,,,c,,g,e,,s,s,,w,,,o,p,,,
,,,,n,,,,w,e,,,s,w,w,,,,p,,s,
x,y,n,t,n,,,b,,,b,,,,,p,w,,p,n,v,d
,,,,n,f,,,,t,e,f,f,w,,,,,e,k,,g
x,s,,,s,f,c,,,,,,k,,,p,w,,e,w,v,l
,,n,f,,,c,n,b,t,?,,,p,p,,,,e,w,,p
b,y,y,t,a,f,c,,,e,c,s,,,w,p,w,,p,k,,
f,f,,,,,c,b,,,,,,b,,,w,o,l,,,d
k,,n,,n,a,,,y,e,,s,s,o,,,,,p,b,,
x,s,,,y,f,c,n,b,,?,s,k,w,,p,w,,e,,,
f,,,,n,f,w,b,,t,,,s,w,w,,w,,,,,
,y,,f,,,,,p,,b,,,b,,,w,,l,h,,
f,y,,f,,f,,b,,e,,k,k,,,p,w,o,l,h,,g
,,e,,s,f,c,n,,t,?,k,k,,w,p,,o,e,w,,
x,,e,,,,,,b,,,s,k,w,w,p,,,,,v,p
k,,e,,s,f,,n,b,,,,,p,w,,,o,e,w,v,l
,f,n,,n,f,,,,t,,,,w,w,p,w,,,k,,
x,s,,f,f,f,,n,,,?,,,p,p,,w,o,e,w,v,
f,s,,,,f,,,,t,b,s,s,w,,p,,,,h,s,u
,s,,,,,c,n,,t,?,k,,p,,p,,o,e,,,l
,,,,n,f,w,b,k,,e,,,w,w,p,,,,k,,g
f,f,,,f,f,c,b,,,,,,,n,p,,,l,h,v,d
f,y,e,f,,,c,n,,t,?,,s,p,w,,,,,,v,l
x,f,,f,n,,,b,,t,e,,,,w,,w,,,n,,g
f,f,g,,f,f,,,g,e,b,,k,n,,p,,o,,,y,g
x,,n,,,f,,n,,t,?,s,s,w,,p,,o,e,w,,p
x,,,t,,,c,b,p,,b,s,,,,,,,p,,v,d
x,y,n,,f,f,,n,,t,?,k,s,,,,w,,e,,v,
x,y,g,,,f,,b,,,,,,,g,p,w,o,,n,y,
k,,,f,y,,,n,b,,,,k,w,,p,,o,e,w,v,
k,y,,f,y,,,,,,?,,,p,,p,w,,,,,
x,,g,f,,,w,,p,e,?,,s,,w,,w,,p,w,n,g
,y,y,,a,,,b,,,,s,s,,w,,w,,p,k,,
x,,y,,,,c,,,e,,,,w,w,,w,o,,,s,
f,f,y,,f,f,,,g,e,,k,,,n,p,,o,,,v,
x,y,n,f,,f,c,,b,t,,,,,p,p,w,o,e,w,v,
,y,,t,,f,,,,,,s,,,w,p,,,p,,s,
x,s,n,,,,,n,,e,e,,,w,w,p,w,,p,,,g
,,y,,,,c,,h,,,k,k,n,,,w,o,,h,v,g
f,,,f,,f,,b,,,b,,,,n,p,,,l,h,y,d
f,f,g,,f,f,,b,,e,,,,,n,p,w,,l,,,p
,,,f,c,,,n,n,,b,,,,,p,,o,p,k,s,
,f,g,f,,,,b,k,,e,s,,w,,p,w,,,k,,g
,,g,f,n,,,,p,,,,s,,,,w,,e,n,s,
,y,,t,n,,,,,t,,,s,g,,,w,o,p,k,,d
,f,,f,,,c,,,e,,,k,,,,w,,l,,,
x,y,b,,,f,c,b,e,e,,,s,e,w,p,,t,,w,c,
,,g,f,f,,,,p,,b,,k,,p,,w,o,,h,v,g
x,f,g,f,c,f,c,n,,e,b,s,,,w,,w,,,n,,
,,e,,s,f,c,n,b,t,?,,k,,,p,,o,,w,v,
x,y,,t,,f,c,,,t,b,s,s,w,,,w,o,p,,y,
,,e,f,,,,,b,,?,,s,p,w,p,,,,,v,p
,,b,,n,,,b,,e,,,,,,p,w,,,w,c,
,f,p,,,f,w,n,u,e,b,s,,w,,p,w,o,,,s,d
x,,,,n,,c,,e,e,,,s,w,,p,,t,e,w,c,w
,,n,t,p,,c,,,,e,,,,,,,o,p,k,,g
,,,,,f,c,b,h,,,,,,w,p,,,,,s,
,g,,,,f,w,n,,,b,,s,,w,,,o,,w,,l
,s,y,,a,f,,,n,e,,s,,w,w,,,o,,n,n,m
k,s,,f,n,,,,,e,,s,k,w,,p,w,t,,w,,g
f,,,f,,,c,n,,,?,,k,w,w,,,o,,,v,p
b,,y,t,a,,c,b,,,,s,,w,,p,w,o,,,,
f,y,y,f,,,c,b,,e,b,,k,,,p,w,,,,,p
,s,,t,,f,c,,,e,?,s,,,w,p,,,,w,c,
f,y,,f,,,c,n,,t,,s,,,w,p,,o,,,,
,,,,,f,,n,,t,?,,k,p,p,,,,e,,v,d
,y,,t,,f,c,,,,b,,,g,,p,w,o,,,,
f,y,n,f,f,f,,,,,?,k,s,p,,,,,,w,,l
f,,,f,y,f,,,,t,?,,,,p,p,,o,e,w,v,d
,,,,n,f,,,,e,,,s,,w,p,w,,,w,n,
x,s,,f,f,f,,n,,t,?,s,,,w,p,w,o,e,,,p
f,f,n,,,,,b,,,,s,s,,,p,w,,p,,v,d
b,,w,t,,f,c,,,e,,,s,w,w,,w,o,,,s,
,,n,t,,f,,,p,,b,s,s,p,g,p,,,,,,
x,s,n,,,f,,n,b,,?,k,k,,,,,o,,,,
f,,,t,n,f,c,,,t,b,,s,w,g,,w,,,,y,
f,,,t,n,f,,b,n,,,s,s,p,p,,,o,,,,d
,s,e,,,,c,,,,?,,k,,p,,w,,,w,v,
f,,n,,n,f,c,,p,,b,s,s,,g,p,w,o,,,v,
f,,g,t,f,f,c,b,p,,,s,f,w,w,,,,,h,v,
,,y,f,,f,,,p,e,b,k,k,,b,p,w,o,,h,v,p
f,,,f,f,,c,n,,,,,k,w,w,p,,,e,w,,d
,y,e,f,,f,,n,,,,s,,,,p,w,o,,w,v,
,s,,f,n,f,,b,w,e,,,k,,,p,w,t,,w,n,
x,y,e,f,f,f,c,,,t,,s,,w,w,,,o,,w,v,
,,,f,s,f,,,b,t,?,s,k,,p,p,w,o,,,v,
x,y,,,f,f,c,,,,,,s,p,,,w,,e,w,,p
b,,,t,,f,c,b,,,,s,s,,w,p,w,,,n,n,
,f,w,,n,,,b,g,,,k,k,w,w,,,,,,,g
,,w,t,,f,c,,,,b,,f,w,w,p,,o,p,h,s,g
,,g,f,,f,w,,,,,k,,w,w,p,w,,p,,,
,f,y,f,f,,,b,g,,b,k,k,b,p,p,w,,,,,d
b,f,g,f,,,w,b,w,,?,,s,,w,p,w,t,p,,,g
x,y,n,,p,f,,n,p,,e,s,s,,,,,o,,,,
f,,g,t,n,,,,,t,b,s,,g,,,,o,p,,,d
,,e,,,,c,,p,,b,,s,p,,,w,o,,,v,
,y,e,t,n,,,,,,,,s,,,p,w,o,,k,v,d
,,,t,n,,c,,,t,b,,,,,p,,o,p,,,
x,s,,t,p,,c,,n,e,e,s,,w,,,,o,,k,,u
,y,e,t,n,f,,b,,t,b,,,,g,,,o,,k,v,
,,,,,,,,n,,,s,s,w,,,w,o,p,,n,
f,,n,,p,f,,,p,e,e,s,s,w,w,p,w,,p,,,u
,s,n,f,,,w,,,t,,f,f,w,w,,,o,,,,g
,f,n,t,,,c,,p,t,,,s,g,g,,,o,p,n,,
x,,,,f,f,,n,,,,,s,,w,p,w,o,e,w,v,l
f,s,b,,,f,c,,h,t,,,,w,w,,,o,,,,
,s,,f,,,c,n,b,,?,,,,,,,,,,,
x,f,,f,n,f,,,n,,,,s,w,,,w,o,,n,a,
x,,,,,f,,,,t,?,k,,,w,,,o,,,v,
f,,,,,f,,,,,b,f,f,w,w,p,,o,,h,,
,y,n,t,,,c,b,,,b,,,g,p,,w,,p,k,,
f,y,e,t,n,f,,,e,,,,s,,,,w,t,,w,,
x,,y,,f,,,,,e,,k,k,p,n,p,,,,h,,p
f,y,n,f,s,f,c,n,,t,?,,,,,p,w,,e,w,,
x,y,e,,,f,,n,b,,,k,,w,,p,w,,,,,
b,f,w,f,n,f,,b,p,e,,,,,w,,,,,,s,g
,y,e,f,,,c,,,t,?,k,k,w,p,,,,e,,,
,y,e,t,,,,,,,,,,,,p,w,,p,n,v,
,,,t,,,,,p,t,,s,s,w,,,,o,,h,,u
x,s,w,t,l,f,,,k,e,c,s,,w,,p,,o,,k,s,
b,f,,,n,,w,,w,e,,,s,,,,,,p,w,,g
f,s,n,f,y,,c,n,,t,,s,k,,w,p,w,,,w,,p
,,,,c,,c,n,n,e,b,s,s,,,,w,o,p,n,s,d
f,,,f,f,,c,,h,,,k,,,b,,w,o,l,,v,g
,y,g,t,,f,,b,,t,,s,,,g,,,,p,k,y,
x,,y,,,f,c,,,,b,,k,n,,p,w,o,l,,y,p
f,y,,f,f,,c,,,t,,s,k,w,,,,,e,w,v,
,f,e,t,n,,c,b,w,,b,s,s,p,,,,o,,n,v,
,,,f,f,f,c,n,b,t,?,,,w,p,p,,o,e,,,p
,s,n,f,f,f,,n,b,t,?,k,,,p,,,o,,,,p
