cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,,w,o,l,h,v,g
x,y,n,t,l,f,c,b,p,e,r,s,y,w,,p,w,,p,k,,p
,f,e,t,n,f,c,b,n,t,b,s,s,,w,p,,o,p,,v,
f,f,,f,n,f,w,b,p,t,e,s,s,w,w,,w,o,e,k,s,g
k,y,e,f,y,f,c,n,b,t,?,s,k,,w,p,w,o,e,w,v,p
x,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p
x,s,,,a,f,w,n,p,t,,s,s,,w,p,w,o,p,u,v,d
k,s,n,f,y,f,c,n,b,t,?,s,,w,w,p,,o,e,w,v,p
f,y,g,t,n,f,c,,p,t,b,s,s,,p,p,w,o,p,k,v,
f,f,g,f,n,f,,b,n,t,,s,f,w,w,,w,o,e,k,,g
x,,g,f,f,f,c,b,g,e,b,k,k,p,p,p,,o,l,h,,
f,y,y,f,f,,c,b,g,e,b,k,k,n,n,p,,o,l,h,,
x,s,g,f,n,f,,b,g,e,,s,k,w,w,p,w,t,p,w,n,g
,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,,a,g
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p
x,f,g,t,n,f,c,b,,,b,s,,w,,p,w,o,,k,y,d
x,f,g,f,f,,,b,p,e,b,,k,p,p,p,w,o,l,h,v,d
f,,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,,l,,y,d
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d
k,s,,f,n,f,w,,g,e,?,s,k,w,w,,w,t,p,w,s,g
x,y,y,f,f,f,c,b,h,e,b,k,,b,p,p,w,o,l,h,y,p
f,y,e,t,n,f,c,b,u,t,b,,s,w,w,p,w,o,p,k,v,d
f,y,w,t,,f,c,n,w,e,e,s,,w,w,p,w,o,p,n,s,u
x,s,n,f,n,f,,b,h,t,e,s,f,w,w,p,w,o,,,s,g
f,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,,h,y,p
f,y,g,f,f,f,c,b,h,e,b,k,k,,n,p,,o,l,h,v,d
b,s,n,,n,a,c,b,o,e,?,s,s,,,p,o,o,p,y,c,l
x,s,n,f,,f,w,b,,t,e,f,s,w,w,p,w,o,e,k,s,g
x,f,n,t,,f,c,b,p,t,b,,s,w,w,p,w,o,p,n,v,d
x,y,y,f,,f,c,b,,e,b,k,k,b,b,p,w,,l,h,v,d
k,f,g,f,n,,,b,g,e,?,k,k,w,w,p,w,,p,w,s,g
x,f,w,t,a,f,w,n,p,t,b,,s,w,w,p,w,o,p,u,v,d
f,f,g,f,n,f,c,n,g,e,e,s,s,,w,p,w,o,p,k,,
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,,k,s,u
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,
,s,n,f,n,a,c,b,y,,?,s,,o,o,p,n,o,p,b,c,l
k,y,n,f,y,f,c,n,,t,?,k,s,w,,p,,o,e,w,v,d
x,s,n,f,y,,,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l
x,s,p,f,c,f,w,n,u,,b,s,s,w,w,p,w,o,p,k,s,d
x,f,y,f,f,f,c,b,p,e,b,,k,n,p,p,w,o,l,h,v,
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,,o,p,k,s,g
x,,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,
f,,g,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,g
f,y,g,t,n,f,,b,u,t,b,s,s,,w,p,w,o,p,n,,d
f,s,e,f,f,f,c,n,,t,?,s,s,w,,p,w,o,e,w,v,l
k,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,,e,w,v,p
x,y,w,t,p,f,,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
x,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,,y,d
f,y,g,f,f,,c,,h,e,b,k,,,n,p,w,o,l,h,v,
x,y,e,t,,f,c,b,p,t,b,s,s,w,,,w,o,p,k,v,d
x,s,n,t,p,f,c,n,p,e,e,s,s,,w,p,w,o,p,k,s,u
x,s,n,f,n,a,c,b,o,e,?,,s,o,,p,n,o,p,b,c,l
f,y,e,f,y,,c,,b,t,?,s,k,p,w,p,w,o,e,w,v,l
f,y,y,,f,f,c,b,g,e,b,,k,n,b,,w,o,l,h,v,g
f,f,,t,,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d
x,f,,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,,h,v,
k,s,n,f,n,a,c,b,,e,?,s,s,o,,p,o,o,p,,c,l
x,y,n,t,,f,,b,n,e,r,s,,w,w,p,w,o,p,k,y,
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g
x,y,n,,n,,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u
x,f,g,f,f,f,c,b,g,e,b,k,k,,p,p,,o,l,h,y,d
x,f,w,f,n,f,w,b,h,t,e,s,,w,w,p,w,o,e,k,,g
x,s,e,f,f,f,c,n,,,,k,k,w,p,,w,o,e,w,v,p
x,f,n,t,n,f,c,b,n,t,b,s,,w,g,p,,o,,k,y,d
x,f,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,,d
f,s,w,f,n,f,w,b,k,t,,,s,w,w,p,w,o,e,k,a,
x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,,g
,y,,t,,f,c,b,w,e,b,s,s,w,w,p,w,t,p,,y,p
x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,,p,n,v,d
f,s,e,f,f,f,c,n,b,t,?,,s,p,p,p,w,o,e,w,v,d
,y,g,f,f,f,c,b,g,e,b,k,k,b,,p,w,o,l,h,y,p
x,y,,t,,f,,b,w,t,b,s,s,,g,p,w,o,p,k,y,d
x,f,e,t,n,f,c,b,p,,b,s,s,,p,p,w,o,p,,v,d
x,f,n,f,n,f,w,b,k,t,e,f,f,,w,p,w,o,e,k,,g
x,y,,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d
x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d
x,s,y,t,,f,c,b,g,e,c,s,s,w,w,p,,o,p,n,n,g
f,y,,,n,f,c,b,g,,b,s,,w,w,,w,t,p,r,v,m
k,s,e,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,,v,
b,y,w,t,l,f,c,b,k,e,c,,s,w,w,p,,o,p,k,s,m
,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,,,w,v,d
b,,n,f,n,,c,b,n,e,?,s,s,o,o,p,o,o,p,n,c,l
f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,,v,
b,s,y,t,a,f,,b,n,,,s,s,w,w,p,w,o,p,k,s,
f,f,g,,f,f,c,b,p,e,b,k,k,p,b,,w,o,l,h,v,
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g
,,y,t,,f,c,b,,e,c,s,s,w,w,p,w,o,,n,n,g
k,s,n,f,,a,c,b,y,e,?,s,s,o,o,p,n,o,p,o,c,
f,f,n,f,n,f,w,b,k,,e,f,f,w,w,p,w,o,e,k,s,g
b,f,w,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g
f,f,y,f,f,f,c,b,p,e,b,,k,n,b,p,w,,,,,
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g
,y,y,f,,f,c,b,g,e,b,k,,p,b,p,w,,l,h,v,d
f,f,e,t,,f,,b,u,t,b,s,s,p,w,p,w,o,p,k,y,
k,s,,,f,f,c,n,b,t,?,k,,,w,p,w,o,e,w,v,p
x,y,e,t,n,f,c,b,w,t,,s,s,p,g,p,,o,p,k,y,d
x,f,g,f,,f,w,n,n,e,b,s,s,w,w,p,w,,p,n,s,d
x,y,y,f,,f,c,b,h,e,b,k,k,n,p,p,w,,l,h,v,d
x,y,n,t,n,f,c,b,,t,b,s,s,w,g,,w,,p,n,,d
k,,e,,,f,c,n,,t,?,k,s,w,w,p,w,o,e,w,v,d
f,s,n,f,s,f,,n,,t,?,k,k,w,p,p,w,o,e,w,v,l
b,y,y,,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
x,y,,t,n,f,c,b,w,e,?,,s,w,e,p,w,t,e,w,c,w
k,y,e,f,m,a,c,,w,e,c,k,y,c,c,p,w,n,n,w,c,d
k,s,e,f,f,f,c,n,b,t,,k,s,p,p,,w,o,,w,v,d
x,s,n,f,,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p
f,s,p,,,f,c,b,e,e,?,s,s,w,,p,w,,e,w,c,w
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g
x,s,n,t,p,f,c,n,k,e,e,s,s,w,,,w,o,p,k,s,g
,,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d
x,y,g,,n,f,c,b,p,,b,s,s,,g,p,w,o,p,k,v,d
b,,w,t,l,f,c,b,,e,c,s,s,,w,p,w,o,p,k,s,m
,y,y,f,f,f,c,b,,e,b,k,k,n,b,p,w,o,l,h,v,p
f,f,,t,a,f,w,n,,t,b,,s,w,w,p,w,o,p,n,v,d
f,f,w,f,n,f,w,b,k,t,e,f,f,,w,p,w,o,e,n,s,g
x,y,e,t,n,f,c,b,p,t,b,s,s,p,,p,w,o,p,n,y,
f,,g,t,n,f,c,b,u,t,b,s,,p,g,p,w,o,p,n,v,d
f,,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d
,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,,v,d
x,y,n,f,f,,c,n,b,,?,,s,w,w,p,w,o,e,w,v,p
k,s,e,f,s,f,c,n,b,t,,s,k,p,w,p,,o,e,w,v,p
f,y,r,f,n,f,c,n,h,e,?,,f,w,w,p,w,o,f,h,y,d
x,,y,f,,f,c,b,,e,b,k,k,p,p,p,w,o,l,h,,g
,f,y,f,,f,c,b,p,e,b,k,k,p,n,p,w,o,,h,v,d
,s,w,t,p,f,c,,k,e,e,,s,w,w,p,w,o,p,n,v,u
k,y,e,f,f,f,c,,b,,?,k,k,p,p,p,w,o,e,w,v,l
x,f,,t,n,,c,b,,t,b,s,s,,w,p,w,o,p,k,,d
f,,w,f,n,f,,b,n,t,e,,f,w,w,p,w,,,k,s,
f,f,w,f,n,,w,b,n,t,e,s,f,,w,p,w,o,e,n,s,g
,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,,w,v,d
x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p
f,s,,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
x,s,g,t,,f,,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u
k,y,n,f,f,f,,n,b,t,?,k,k,p,p,p,w,,e,w,v,p
x,y,g,f,f,f,c,b,g,e,b,k,k,n,,,w,o,l,h,v,p
x,y,n,f,,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l
k,s,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d
b,y,p,t,n,f,c,b,r,e,b,s,,,w,p,w,t,p,r,v,g
x,s,g,f,n,f,w,b,p,e,?,s,k,w,,p,w,t,p,w,s,g
k,s,e,f,s,,c,,b,t,?,k,k,p,,p,,o,e,,v,p
f,s,n,f,n,a,c,b,o,,?,s,s,o,o,p,n,o,p,n,c,l
x,s,w,f,n,f,,,k,t,e,,s,w,w,p,w,o,e,k,a,g
x,y,n,f,y,f,c,n,,t,?,k,s,p,p,p,w,o,e,w,v,l
f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,,w,o,l,h,y,d
f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p
x,s,y,t,l,f,c,b,w,e,,s,s,,w,p,w,o,p,n,n,m
x,s,n,f,n,f,w,b,p,t,e,,f,w,,p,w,,,k,s,g
b,f,g,f,n,f,w,b,g,e,?,s,s,w,w,,w,t,p,w,n,g
x,f,e,,n,f,,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d
f,y,n,f,,f,c,n,,,?,s,,p,p,p,w,o,e,w,v,l
,y,e,f,y,f,c,n,b,t,,k,k,w,p,p,w,o,e,w,v,p
f,f,,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d
x,s,e,f,y,f,c,,b,t,?,k,k,p,,p,w,o,e,w,v,l
b,,y,t,a,f,c,b,k,e,c,s,,w,w,p,w,o,p,n,s,g
,f,g,t,n,f,c,b,n,t,b,s,,g,w,p,w,o,p,n,v,d
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d
k,s,n,f,,,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l
b,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,,p,w,n,
f,f,y,f,f,f,c,b,p,e,b,k,k,p,,p,w,o,l,h,y,g
k,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d
,s,n,f,s,f,c,n,b,,?,s,k,,w,,w,o,e,w,,d
k,y,n,,y,f,c,,b,t,?,k,k,p,,p,w,o,e,w,v,l
x,f,g,t,n,,c,b,n,,b,s,s,g,p,p,w,o,p,k,v,d
x,f,g,t,n,f,c,,u,t,b,s,s,p,g,p,w,o,p,k,v,d
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,
x,y,g,t,n,f,c,,w,,b,,,g,w,p,w,,p,k,y,d
x,f,g,f,f,,c,b,g,e,,k,k,p,n,p,w,o,l,h,y,g
f,s,e,f,y,f,c,,b,t,,k,s,w,w,p,w,o,,w,v,d
x,s,e,f,y,f,c,n,b,t,?,k,k,,w,p,w,o,e,w,v,l
f,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p
x,f,g,t,n,f,c,b,p,t,b,,s,p,p,p,w,o,p,n,y,d
x,f,y,,f,f,c,b,p,e,b,k,,b,p,p,,o,l,h,v,g
x,y,n,f,s,f,c,n,b,,?,,k,p,p,,w,o,,w,v,d
x,s,b,t,f,f,,b,h,t,b,f,s,,w,p,w,o,p,h,v,u
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g
,y,y,f,f,f,c,b,p,,b,k,k,n,,p,w,o,l,h,v,d
f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g
x,y,e,t,n,,c,b,w,t,b,s,s,p,p,p,w,,p,k,v,d
x,y,e,t,n,f,c,b,,t,,s,s,,g,p,,o,p,k,v,d
x,s,,t,p,f,,n,k,e,e,,s,w,w,p,w,,p,k,s,g
x,y,y,t,a,f,,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m
b,y,,t,l,f,c,b,n,e,c,s,s,w,,p,w,o,p,k,s,m
f,y,n,f,s,f,c,,b,t,?,k,s,w,p,,w,o,e,w,v,l
x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d
f,y,n,f,n,f,c,b,,e,b,y,y,n,n,p,w,t,p,w,y,p
k,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
k,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
f,y,n,f,y,f,,n,b,t,?,k,k,,p,p,w,o,e,,v,d
f,s,n,f,n,f,w,b,h,t,e,,s,w,w,p,w,o,,k,a,g
f,s,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d
x,s,n,f,n,,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p
b,y,w,t,a,f,,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g
k,y,,f,m,f,c,b,w,e,c,,y,c,c,p,w,n,n,w,c,d
f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,
x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,,v,d
k,s,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d
x,y,g,f,f,f,c,b,g,e,b,k,,b,b,p,w,o,l,,y,d
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,,w,o,e,k,,g
f,y,,t,p,f,c,n,n,e,e,s,s,,w,,w,o,p,k,,u
,f,g,f,f,f,c,,p,e,b,k,,b,b,p,w,o,l,h,y,p
x,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,,o,e,w,,l
x,s,y,t,a,f,c,b,k,e,c,s,s,w,,p,w,o,p,,s,m
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,,p,k,n,m
x,f,n,t,n,f,c,,w,t,,s,s,p,g,p,w,o,p,k,v,d
k,y,y,f,n,f,c,n,w,e,?,,y,w,n,p,w,,,w,v,d
x,y,n,f,s,f,c,,b,t,?,k,s,w,p,p,w,o,e,w,v,p
s,f,,f,n,,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u
x,s,w,,n,f,w,b,n,t,,s,s,w,w,p,,o,e,k,s,g
f,f,y,f,f,f,c,b,g,e,b,k,k,,b,,,,l,h,y,
f,y,g,f,f,f,c,b,g,e,b,k,k,p,,p,w,o,l,,,d
,s,e,f,y,f,c,,b,t,?,k,k,,p,p,w,o,e,w,v,l
f,,g,t,n,f,c,b,u,,b,s,s,g,g,p,w,o,p,n,v,
b,s,y,t,a,,c,b,n,e,c,s,,w,,p,w,o,p,k,,g
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,,p,k,s,g
f,y,e,t,n,f,c,,p,t,b,s,s,w,g,p,w,o,p,k,v,
x,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
x,,w,f,n,f,w,b,p,,e,f,f,w,w,p,w,o,e,n,s,g
x,f,g,f,n,f,c,,g,e,e,s,s,w,w,p,w,,p,k,y,
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,,y,d
x,s,y,t,a,f,c,b,g,e,,s,s,w,w,p,w,o,p,n,n,g
x,f,g,f,n,f,w,b,,,?,,,w,w,p,w,t,p,w,s,g
x,y,n,t,n,,c,b,u,t,b,s,s,w,w,p,w,,p,n,v,d
x,s,g,,n,f,w,b,p,t,e,f,f,w,w,p,w,o,,,a,g
x,s,e,f,s,f,c,n,b,t,?,,,w,w,p,w,o,e,w,v,l
f,s,,f,f,f,c,n,b,t,?,s,s,,p,p,w,o,e,w,v,p
b,y,y,t,a,f,c,b,g,e,c,,s,w,w,p,w,o,p,,n,g
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,,,h,y,d
k,,n,f,n,a,c,b,y,,?,s,s,o,o,p,o,o,p,,v,l
x,,n,f,y,f,c,n,b,,?,s,k,w,p,p,w,o,,w,v,p
,s,,,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g
,y,g,,,f,c,b,p,e,b,k,k,,p,p,w,o,l,h,y,d
f,y,,f,f,f,c,b,,e,b,k,k,b,p,p,,o,l,h,y,
x,s,e,f,s,f,,n,b,t,?,k,,w,,p,w,o,e,w,v,d
x,s,e,f,s,f,c,n,,t,?,s,k,w,w,p,w,o,e,w,v,p
k,y,e,,s,f,c,n,b,t,?,k,s,p,,,w,o,e,w,v,l
f,f,n,,n,f,w,b,p,t,e,s,s,w,w,p,w,o,,,a,g
x,s,n,f,f,f,c,n,b,,?,k,s,p,p,p,w,o,e,w,v,d
f,s,w,t,f,f,c,b,h,t,b,,s,w,w,p,w,o,p,h,s,u
k,s,,f,f,,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l
f,s,,f,n,f,w,b,k,t,e,f,f,w,w,p,w,,e,,a,g
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d
f,y,e,,,f,c,n,,t,,s,s,p,w,p,w,o,e,w,,l
x,f,n,f,n,f,w,b,,t,e,f,f,w,w,p,w,,e,n,s,g
,f,,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g
x,s,n,f,f,,c,n,b,t,?,s,s,w,p,p,w,,e,w,v,p
x,f,e,,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d
x,y,n,f,,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
x,y,g,t,n,f,c,b,p,t,b,s,s,g,g,p,w,o,p,n,y,d
k,s,e,f,y,f,c,n,,t,?,s,k,w,w,,,,e,w,v,p
k,y,,,y,f,c,n,b,t,?,s,k,p,p,p,w,o,,,,d
x,s,g,f,n,,w,b,p,e,?,k,s,w,w,p,w,t,p,w,n,g
x,y,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
,s,y,t,a,f,c,b,g,e,c,s,s,w,w,,w,o,p,k,s,g
f,f,,f,,f,c,b,g,e,b,k,k,b,n,p,,o,l,h,,
,y,n,,y,f,c,n,b,t,,s,k,p,p,p,w,,,,v,l
b,,w,t,,f,c,b,w,,c,,s,w,w,p,w,o,,n,s,m
x,s,n,t,p,f,,,n,e,e,s,,w,w,p,w,o,p,n,,g
x,f,y,f,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,,g
f,,g,f,,f,c,b,h,e,b,k,k,p,,p,w,o,l,h,y,d
f,f,g,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,,h,y,p
x,s,g,f,c,f,c,n,n,,b,s,s,w,w,p,w,,p,k,s,d
x,f,g,,n,f,w,b,k,t,e,s,f,w,w,,w,o,,k,s,g
