age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome
45.0,567.0,,,,,93.2,,,,,,no,,,,,divorced,nov,nonexistent
,,,,1.0,,,,,,,,,,yes,services,,,,failure
,,,999.0,,,,,4855.0,,,thu,,,,,,,,
,,,999.0,,,,-41.8,,5228.1,,,,university.degree,,admin.,,,,nonexistent
25.0,,4.0,,0.0,,,,4859.0,5191.0,telephone,,,,,,,single,may,
,,,999.0,1.0,-3.4,92649.0,,,,cellular,,no,,yes,,,,,
,,1.0,999.0,,,,,,,cellular,,,university.degree,,,,married,jul,
,296.0,,,,,93.2,,,5195.8,,,,,,,,single,,success
25.0,,,999.0,0.0,,92649.0,-30.1,0.714,,,,,,yes,,,,,
,113.0,,,0.0,,93444.0,,,5228.1,,,,,no,,,,aug,
,,,,,,,-36.4,,,telephone,thu,,high.school,,,,,,
,,8.0,,,1.4,,,4865.0,,,mon,no,,,services,no,married,,
89.0,,,,,-1.1,,,0.881,,,,,,,,,divorced,,
,,,,1.0,,,,,,,fri,no,university.degree,yes,,yes,married,,failure
,,,,,,,,4153.0,,,,,,no,admin.,,,,
,,,999.0,,,,-42.0,,,,,,,,,,,,nonexistent
,93.0,,,,1.4,,-36.1,4964.0,5228.1,cellular,,,unknown,yes,housemaid,,,,
,,2.0,999.0,,,,,,,telephone,,no,,,,,,,
,210.0,1.0,6.0,,-3.4,,,,5017.5,,,,,,student,,,oct,success
,,,,,-1.8,,,,,cellular,,,high.school,yes,,,single,may,
,60.0,,999.0,,,,,4191.0,,,mon,,,,self-employed,,,nov,
57.0,,3.0,,,,,,,5228.1,,wed,,,yes,services,,,,
58.0,,,,,,,,,5099.1,,,no,,,,no,,,
,,,999.0,0.0,1.4,93444.0,-36.1,4963.0,,cellular,,no,,yes,,,,,
,,,,,,93994.0,,,5191.0,,thu,,,,,no,married,,nonexistent
,227.0,,,,,,,,,cellular,,,high.school,,,,,may,
,,1.0,,,,,,4961.0,,,mon,,,no,,,,,
,,2.0,,,1.4,,,4961.0,,telephone,mon,,basic.9y,yes,,no,married,,
,72.0,,999.0,,,94465.0,-41.8,,,,,unknown,,no,blue-collar,,,jun,nonexistent
,,1.0,,,,,-46.2,,,,,no,basic.9y,no,,no,married,,nonexistent
85.0,,,,,,93749.0,-34.6,,,cellular,,,basic.4y,yes,,no,,apr,
,,2.0,999.0,,,92201.0,-31.4,0.881,,,fri,,,yes,,no,single,aug,
,158.0,,999.0,1.0,-0.1,,-42.0,,,cellular,fri,,,,,,,,failure
,,1.0,,0.0,,,,4962.0,,,,,,,,,married,jul,
,89.0,,,,-0.1,,-42.0,,5195.8,cellular,fri,,high.school,,,no,,,
30.0,,,999.0,,-0.1,,,4021.0,,,fri,,,,,,single,,
39.0,1007.0,,999.0,,,,,,,,,,university.degree,,,no,,may,
50.0,,2.0,999.0,,,93994.0,,,,,thu,,,,,,,may,
,,,,0.0,1.1,,,,,,fri,no,,no,,,,may,nonexistent
,,3.0,,,,,-40.3,0.827,,,,no,unknown,,technician,unknown,,jul,
56.0,129.0,3.0,999.0,,,94465.0,,,,,,,university.degree,,,,married,,nonexistent
,193.0,6.0,,,,93994.0,,,,telephone,,,,,admin.,,single,may,nonexistent
,613.0,,,,,,,4153.0,,,tue,no,,yes,technician,,married,nov,
,986.0,,,3.0,,,,,,telephone,,,,,,,,nov,
,434.0,,,,-1.8,92893.0,,,,,thu,,,,,,,,
,,,999.0,,,93918.0,-42.7,4962.0,,telephone,,,unknown,,,,married,jul,
50.0,,,,0.0,-0.1,,,4245.0,,telephone,,,,,,unknown,,nov,
,,,,,-1.8,,,1281.0,,,,,,,,no,,may,
,349.0,1.0,999.0,,,,,,5191.0,telephone,tue,,university.degree,,,,single,may,nonexistent
,,,999.0,,,93918.0,,4.96,,,,no,,,blue-collar,yes,,,nonexistent
40.0,,,,,-0.1,,,,5195.8,,,,,,,,,,nonexistent
,491.0,,,,,,,,,telephone,tue,,high.school,,,,,,
,,4.0,999.0,,,,,,,telephone,thu,,,,,no,married,,
,123.0,,999.0,,,,-42.0,,5195.8,,,,,yes,admin.,no,,,
36.0,,,,,,92893.0,,,,,,,,,,,,,
,104.0,,,,-0.1,,,4191.0,,,,,,no,admin.,no,divorced,nov,
,,,,,,,,,,,mon,unknown,basic.4y,no,housemaid,,,,
,,,999.0,0.0,1.4,93444.0,,4964.0,,cellular,,,,yes,,,married,aug,nonexistent
,14.0,20.0,999.0,,,,-42.7,4968.0,,,,,basic.4y,yes,,yes,married,,
,,6.0,999.0,,1.4,93918.0,,4963.0,,,,,university.degree,no,admin.,,,,nonexistent
,,,,0.0,1.1,,,,5191.0,,,,basic.9y,,,,married,,nonexistent
,,3.0,,,1.4,94465.0,,,,,tue,unknown,,,,no,,jun,nonexistent
32.0,,3.0,999.0,,,93918.0,-42.7,,,cellular,,,,,,no,married,jul,
44.0,254.0,,,,,93994.0,-36.4,4856.0,,,,,,,,,married,,
,,1.0,,0.0,,93994.0,,,5191.0,telephone,,,university.degree,,admin.,,single,may,
,,,,,-1.8,,-47.1,,,,thu,,,,,,married,,
,169.0,,,,,,-46.2,,5099.1,,,,university.degree,,,,,may,nonexistent
,14.0,8.0,,,,92893.0,,,5099.1,cellular,,no,,no,,no,single,,
39.0,,,,,1.4,,,4.96,,,,,basic.9y,,,,,jul,nonexistent
29.0,,,,,,,,,5099.1,cellular,,no,basic.6y,,,,married,,
36.0,,,,,-1.8,,,1281.0,,,,,,,,no,,,failure
,227.0,,999.0,,,,,,5099.1,cellular,fri,,,,services,,,may,failure
,587.0,,,,,,,4.86,,,,,university.degree,,management,,,,
,554.0,2.0,999.0,,,,,4.96,,,,no,,,,,,,
49.0,418.0,,,,1.1,,-36.4,,,,,,,yes,,,married,,
51.0,,,999.0,1.0,,92893.0,-46.2,,5099.1,,,,high.school,,,no,,,failure
,64.0,1.0,,,,93444.0,,4963.0,,,,,,,,,,,
33.0,114.0,5.0,,0.0,,,-46.2,,,telephone,,no,,no,,,,may,nonexistent
36.0,237.0,7.0,999.0,,1.4,93918.0,,,5228.1,,,no,professional.course,,technician,,,jul,
60.0,,,,,1.4,93444.0,,4966.0,,,,no,,no,,no,married,,nonexistent
31.0,,,999.0,0.0,,93918.0,-42.7,,5228.1,,,unknown,,,admin.,no,married,jul,nonexistent
,244.0,,,,,,-42.0,,,cellular,,,,,technician,,,nov,
47.0,,,999.0,0.0,,,,4957.0,,cellular,fri,,basic.9y,,,no,married,,
,,,,,,92963.0,,,,,mon,,university.degree,,,unknown,single,,
,,,999.0,0.0,1.4,,-42.7,,5228.1,,thu,,,yes,,no,,,
31.0,379.0,,999.0,0.0,-1.8,,,,,,mon,,high.school,,,,,,
34.0,,,999.0,0.0,,,,,,,fri,no,high.school,no,,no,,,
30.0,,,,,1.1,93994.0,,,,telephone,fri,,,yes,,,,may,
38.0,118.0,,,,,,-39.8,,4991.6,,,no,,,,,,jun,nonexistent
31.0,250.0,1.0,,,,93.2,,,,,,no,professional.course,,,,,,
,136.0,3.0,,,1.1,,,,,,fri,,basic.9y,,,,,may,
,165.0,,,0.0,,,,,5228.1,cellular,,,,,,,married,,nonexistent
,,,,,,,,1405.0,5099.1,,,,,,services,,,,
,,1.0,999.0,,-0.1,93.2,-42.0,,,,,,,,,,divorced,,
51.0,,,,,,,-36.4,,,,mon,,,,,no,,,nonexistent
30.0,,3.0,,,,,,4963.0,,,wed,,,,,yes,,,
27.0,93.0,,,,,,-31.4,,,,,,,,,,,,success
,,,999.0,,1.4,93918.0,,4963.0,,,,,,,,yes,,,
,,,,,,,,,5099.1,telephone,,,,,,,,,
,,,,,,93.2,,,,,,,,no,,,,,
,,5.0,,0.0,,,,,,cellular,,no,,,,,,,nonexistent
,,,,,,,-41.8,,5228.1,,,,high.school,,,no,,jun,
,,,,,1.1,,,,,,mon,,,,,,married,,
,,,,0.0,,93994.0,,,,,wed,,,,,,,,
48.0,,,999.0,,1.1,,,,,,,,high.school,,technician,no,,,nonexistent
,,5.0,,,1.4,,,4963.0,,,,no,,,services,,,jul,
43.0,,1.0,,,1.4,,,,5228.1,,thu,no,,,services,,,,nonexistent
28.0,,,,0.0,,,,,,,,no,,,,no,single,,
32.0,131.0,,,,,93444.0,,,5228.1,,,no,,,technician,yes,,,
43.0,,,,,,,-42.0,,,,,,university.degree,,,,,nov,nonexistent
,,,,0.0,1.1,,,,5191.0,telephone,,,,,,,,,
31.0,,3.0,999.0,,-1.8,,,,5099.1,,,,basic.9y,,,no,married,may,
,,,,1.0,,,,,,,wed,,university.degree,,technician,,,,
,85.0,2.0,999.0,,,,,,,telephone,wed,no,,no,blue-collar,,,,
,67.0,1.0,,,1.4,94465.0,-41.8,,,telephone,wed,,,,,no,,,
46.0,,,999.0,0.0,-3.0,,-33.0,,5023.5,cellular,,no,,,admin.,,,,
,,,,,-1.8,92843.0,,,,,,no,,,,,married,,nonexistent
,,1.0,999.0,,,,,,,cellular,,no,basic.9y,,technician,no,,,
,80.0,,,,1.4,,,4864.0,,,tue,,,,,,,jun,
,724.0,1.0,,0.0,,,,,5228.1,cellular,,,,,blue-collar,,,jul,
30.0,40.0,,,,1.4,,-42.7,4961.0,,cellular,tue,unknown,,,,,single,,
38.0,,3.0,999.0,0.0,,93444.0,-36.1,4963.0,,,thu,,professional.course,,,,,aug,nonexistent
,100.0,,,,,,-41.8,,,telephone,,,high.school,yes,,,divorced,jun,nonexistent
50.0,,,,,,93918.0,-42.7,,,cellular,,,,,,,,,
,,,999.0,0.0,,,,4963.0,,,,,professional.course,yes,,yes,,,
,,,,,,,,,,,wed,,professional.course,,,yes,single,,
,72.0,3.0,,,,,,,5191.0,,,,,,,no,married,may,
,,2.0,,,,,,,,,,unknown,,,entrepreneur,no,,,nonexistent
,587.0,,,,1.4,,-41.8,,5228.1,,,,,,,,,,nonexistent
,,,999.0,0.0,,,,4.96,,,,,,,,,single,jun,nonexistent
,,,,,,93994.0,-36.4,,,telephone,,,high.school,,,,,may,
50.0,,,999.0,0.0,,93.2,,,5195.8,,,,,,,,married,,nonexistent
52.0,,,,,,,,0.644,,cellular,,no,basic.9y,,technician,,married,,nonexistent
,,,,,,,-36.4,,5191.0,,thu,unknown,,,,,married,,
,,1.0,,0.0,1.4,,,,5228.1,,,,,,,,,,
37.0,,,,,1.4,93918.0,,,,,,no,,no,,,,jul,
,,4.0,999.0,0.0,,93918.0,-42.7,,5228.1,telephone,,,,,,,,,
,,,,,,,,,5191.0,telephone,,,university.degree,,,no,single,,nonexistent
30.0,,2.0,999.0,,,,,,,cellular,fri,,,yes,blue-collar,,,,nonexistent
,,1.0,,1.0,,,,,,,,,university.degree,,admin.,,,,
53.0,52.0,3.0,,,,93918.0,,4961.0,5228.1,,tue,,high.school,,admin.,,,jul,
,,,,0.0,,93994.0,,,5191.0,,,,,,technician,,,,
,,4.0,,0.0,,,,,5228.1,,,unknown,,,,no,married,aug,nonexistent
,,,,,-1.8,,,,,cellular,,no,university.degree,,,,,,
,172.0,1.0,,0.0,-1.8,,,1281.0,,,,,,,,no,married,,
,40.0,2.0,999.0,,-0.1,93.2,,,,,mon,,,no,services,no,married,,
,,,,,,92379.0,,0.803,,,,,basic.9y,,blue-collar,no,,,
,,1.0,999.0,0.0,,,,,5191.0,,,,high.school,,admin.,yes,,may,
37.0,,3.0,999.0,,,93075.0,,,5099.1,,mon,no,,,,,,,
,135.0,,,,1.4,,,,,,,unknown,,,management,no,,,
41.0,,,,,,,,,,,,,,,management,,divorced,,
,,2.0,999.0,0.0,,,-47.1,,,,,,,,,no,,apr,nonexistent
,,,,,,,,,,,,,,,,no,,,
56.0,,,,0.0,,92893.0,,,5099.1,,,,,,retired,,,,
,,4.0,,,,,-42.7,4957.0,,,,,,,blue-collar,no,,jul,nonexistent
26.0,,,,,,,,,,,mon,,high.school,yes,,,divorced,,nonexistent
,327.0,,,0.0,,,-36.1,,,cellular,,,university.degree,no,,,,aug,
,,,999.0,,,,,,5191.0,,,,,no,,,,may,
,326.0,,,,,92893.0,-46.2,,5099.1,cellular,mon,,,,admin.,,,,
,,,,,,92893.0,,1266.0,,cellular,,,,,blue-collar,,,may,
,413.0,,,,,,,,,cellular,,,,,,no,single,jul,
,,2.0,999.0,,,92893.0,,,5099.1,,,,,,,no,,may,
,,,,0.0,-0.1,,-40.4,,,,,,university.degree,no,,,divorced,,
,824.0,,,,1.1,,-36.4,4859.0,,,,unknown,,,,,,,nonexistent
,,,999.0,0.0,,94465.0,-41.8,,,,mon,,,,,no,,,
,,,,,,,,,5099.1,,,,,,,,,,
,243.0,,,0.0,,,,4859.0,5191.0,,,,,,,yes,single,,nonexistent
,342.0,,,0.0,,,-47.1,,,cellular,,no,,,,,,,
,270.0,,,,,,,4856.0,,telephone,,,,,technician,,divorced,,nonexistent
42.0,,,,,,,-42.7,,,,,no,professional.course,,,,,jul,
,,,999.0,,,,-42.7,,5228.1,cellular,,,,no,,no,,jul,
,,,,0.0,,,-46.2,1354.0,,cellular,,no,,,,,,,
,,,,,,,,,5228.1,,fri,,,,,,divorced,,
,369.0,,,0.0,,,,,5228.1,,,,,,,no,,,nonexistent
,144.0,,999.0,,,93444.0,,,,,,,,,,,,,
,,,,,,,,,,,,,university.degree,,entrepreneur,,,,
,,,,,,,,,5228.1,,,,,,admin.,,married,,nonexistent
,,,,,,,-36.4,,,telephone,,,,,,,divorced,may,
51.0,104.0,4.0,999.0,,,,,,5099.1,,,,basic.4y,,,,married,may,
,,,999.0,0.0,,,,0.879,,cellular,,,university.degree,no,,,,,
56.0,,,999.0,0.0,-0.1,,,,5195.8,,,,,yes,,,married,nov,
,,1.0,,0.0,,93994.0,-36.4,,,,thu,,,no,,,,,
31.0,242.0,,999.0,,1.4,93444.0,,,,,tue,,,,,,divorced,,
,586.0,,,,,,,,,,,,,yes,unknown,,,,
,,,,,,,,,,,,unknown,,yes,,,,,
,485.0,,,,,,,4959.0,5228.1,,,,,,,no,,,
35.0,,2.0,,,,93444.0,,,,cellular,,,university.degree,,,,,,nonexistent
54.0,,,,,,,-49.5,0.987,4963.6,,,,,,,,,,failure
,154.0,1.0,,0.0,,93918.0,-42.7,4962.0,,,,,university.degree,,,,,jul,
,,,,,,,,0.876,4963.6,cellular,wed,,,,,,,sep,
,,,999.0,,,,,1313.0,,cellular,fri,no,high.school,,,,,may,failure
,365.0,3.0,999.0,,,,,,,,fri,,,yes,,,,jun,
,,,,0.0,,,,,,cellular,,,,,unemployed,,,,nonexistent
,,,,0.0,,,,,,,thu,no,,,management,no,divorced,may,nonexistent
53.0,,,,,,,,,,telephone,tue,,professional.course,,,,,may,
,,,,,,92893.0,-46.2,1299.0,5099.1,cellular,,no,,yes,admin.,,,,failure
,,3.0,,0.0,,93918.0,,,,,mon,,,,admin.,no,,,nonexistent
28.0,,1.0,,,-1.7,,,,,cellular,,no,,,,,,jul,
,,,,,,92963.0,,,5076.2,,wed,,,no,,no,,,
,,,,,,,-36.1,,,,,,,,,,,aug,
,393.0,,,,,,,,5191.0,telephone,,no,,,,,,,
,,,999.0,,,92893.0,,,5099.1,cellular,,no,,no,,,,may,failure
,,,,0.0,,,-31.4,,5076.2,,,,,,,,married,aug,
42.0,,2.0,,,,,,,,,tue,no,,,,,,,
,,,,,,93075.0,,1466.0,,,,,basic.4y,,retired,,,apr,
,,1.0,,0.0,1.1,,-36.4,,5191.0,,,,basic.4y,,,,,,nonexistent
41.0,,1.0,,,,,,1281.0,5099.1,cellular,,,,yes,,,,,nonexistent
,109.0,,,,,,-47.1,,,cellular,thu,,basic.9y,,,,single,,
,,,999.0,,,,-46.2,,5099.1,,,,,,,,,,
28.0,,1.0,,,,93918.0,,,,,,,,yes,blue-collar,,single,jul,
,,3.0,,,,92893.0,,,,cellular,tue,,professional.course,,,,,,nonexistent
,,,999.0,,,,,,5191.0,telephone,tue,no,,,,no,,,
,,9.0,999.0,,,,-36.4,,,,,no,,,,,,,
22.0,48.0,,,,,,,,5099.1,cellular,,,high.school,yes,,,,,nonexistent
,,,,0.0,,93994.0,-36.4,4857.0,,,tue,unknown,,no,,,single,may,nonexistent
,,1.0,,,-1.8,93075.0,-47.1,,,,,,,no,blue-collar,,,,nonexistent
,,23.0,999.0,0.0,,,,,5191.0,,,no,,no,,no,,,
,,5.0,,,,,,,,,,unknown,,yes,,no,,,
,234.0,,,,-1.8,93876.0,,0.683,,cellular,thu,no,,,,,,may,
,,4.0,,,,93.2,,,,,thu,no,,,,,,nov,
,,5.0,,,,,,,,,,unknown,,,,,,,nonexistent
,401.0,,,,,,,,5195.8,cellular,wed,,,,,,,nov,
51.0,18.0,,,,,,,,,,fri,,,,,,,,
,,,,,,93994.0,,,,telephone,,no,,,,no,single,,nonexistent
,163.0,,,0.0,,93994.0,,,,,,,,yes,,,married,,
,58.0,,,,1.1,,,4858.0,5191.0,,,,,no,,,,,nonexistent
,128.0,,,1.0,,,-40.8,,5076.2,cellular,,,,yes,,,,,failure
,319.0,,999.0,0.0,1.1,93994.0,,4857.0,,,,no,,yes,technician,,,,
,,1.0,999.0,,,93994.0,,4858.0,,,,no,,,housemaid,,,may,nonexistent
,,1.0,,,,94215.0,-40.3,,,,wed,,,,retired,,married,jul,
29.0,,,999.0,0.0,,92893.0,,,,,,no,,,,,single,,nonexistent
,,,999.0,1.0,,,,,,cellular,,,,no,entrepreneur,,married,nov,
67.0,,,,,,92201.0,-31.4,,,,,,,yes,retired,no,,,
,,,,0.0,-0.1,,,,,telephone,,no,,yes,,no,,,
,,,,0.0,,93444.0,-36.1,,5228.1,cellular,,,,,,,married,,nonexistent
53.0,,1.0,999.0,0.0,,,,,5228.1,,,,,no,,,married,jul,nonexistent
36.0,,,,,-2.9,,,,,cellular,,,university.degree,,,no,single,,success
,,7.0,999.0,,,,-46.2,1266.0,,,thu,,,,,,,,
,,,999.0,0.0,,93444.0,-36.1,4964.0,,,,,,,admin.,,,,nonexistent
44.0,,2.0,,,,93994.0,,,5191.0,telephone,fri,unknown,,,,,married,,
32.0,138.0,,999.0,0.0,-0.1,,,4153.0,,,,no,,no,admin.,,married,,
,378.0,,999.0,0.0,-1.8,,,1354.0,,,mon,,,no,blue-collar,no,married,,
31.0,,,,,,,-36.4,,5191.0,telephone,,no,,,,no,single,,
44.0,,1.0,,,,,,,,,,no,,,,,married,,failure
,,,999.0,,1.4,94465.0,-41.8,,5228.1,telephone,tue,,basic.9y,yes,blue-collar,,married,,nonexistent
,,,,,,,,1281.0,,cellular,,,,no,,,married,may,
,,,999.0,0.0,1.4,,,,5228.1,,,unknown,basic.9y,yes,,,single,,
,,,,,1.1,,-36.4,,5191.0,,mon,,high.school,yes,,,,,
,272.0,,999.0,1.0,-1.8,,,,,,wed,,,,entrepreneur,,,,
,,,,,-1.8,,-50.0,1.51,5099.1,,tue,,,,,,,,
41.0,,,,,,,,,,,fri,,,yes,,,,jun,
29.0,,,,,,93918.0,-42.7,,,,,,,,,no,single,jul,
,,,,,,,-41.8,4.96,,,mon,no,basic.9y,,blue-collar,,married,,
,508.0,,,0.0,,,-36.1,,5228.1,,fri,,,,,,,aug,
34.0,,1.0,,,,93075.0,,,5099.1,,fri,,,,blue-collar,,,,failure
,128.0,,,,,,,1313.0,5099.1,telephone,,,high.school,,,no,,,
,,,,0.0,,,-36.4,,5191.0,,,no,,yes,,,,,
28.0,,,,0.0,,93994.0,,,5191.0,,,,,,,no,,,
51.0,,,,1.0,-0.1,,-42.0,,,cellular,,,basic.9y,,,,married,nov,failure
,,,,,,,,,5228.1,cellular,,,,,,,,,
,,3.0,,0.0,,,,,5191.0,telephone,,no,,,,,married,,
,560.0,,999.0,,1.1,93994.0,,,5191.0,,,no,,,,,,,nonexistent
,31.0,1.0,999.0,,,,,,5228.1,,wed,,,,,,married,,
,103.0,1.0,,0.0,-0.1,,,4076.0,,,,,,,admin.,,,,nonexistent
76.0,,1.0,,1.0,-1.7,94027.0,,,,,,no,,,retired,,,aug,failure
,,,,,,94465.0,,,5228.1,telephone,tue,,,no,blue-collar,yes,married,,nonexistent
,220.0,,,,,,,,,cellular,thu,unknown,,,,,married,,nonexistent
,,,999.0,,-0.1,,,,5195.8,,,,,,,no,,nov,failure
,,,4.0,,-2.9,,,,5076.2,cellular,mon,no,,,,,,aug,success
,,,999.0,0.0,-2.9,92201.0,-31.4,,,,,,,,,,single,,
,,2.0,,,,,,,,,tue,unknown,,,technician,,,,
,,,,,1.4,,,,,telephone,,,,no,,no,,,
,,,,,,92431.0,,,5017.5,,thu,,,,,,married,,
59.0,,,,,,,,,,cellular,,,,yes,,no,,,
,126.0,,,,,,-42.0,,5195.8,,,unknown,basic.9y,yes,,,married,nov,nonexistent
,438.0,,999.0,0.0,,,,,,,,,,yes,,,,,nonexistent
,,,,0.0,,,-46.2,,,,,,professional.course,yes,,no,,may,nonexistent
,,,,,,,-40.3,,4991.6,,,,,,,,,jul,
,,,999.0,,,,-46.2,1.25,5099.1,,fri,no,,,,yes,,may,nonexistent
,77.0,,,,,,,1.27,,,,,high.school,yes,student,no,,,
,,18.0,,,,,,,5191.0,,,,,,,no,,may,nonexistent
,,1.0,,0.0,-1.8,,,,,,,,,,,,,,
,,,,,,93444.0,,,,cellular,,,,,technician,,single,,
,1165.0,,,,,93918.0,,,,,,,,,,,,,nonexistent
,,,,0.0,,,,,5099.1,,,,,,,,,,nonexistent
,,,,,,93444.0,,,5228.1,,tue,,high.school,unknown,,,,,
,121.0,,999.0,0.0,1.4,,,,,,,,,yes,,,,,nonexistent
29.0,81.0,,,,1.4,,,4957.0,5228.1,cellular,,no,,yes,,no,,jul,
,1287.0,,,,,93918.0,,4961.0,,cellular,tue,,university.degree,,,,,,nonexistent
,,,999.0,,-1.8,,-47.1,,5099.1,,,no,,,,,married,apr,
,,,,,,,-46.2,,,,fri,,,,,,single,,
,,,999.0,,,,,4857.0,,,,unknown,,,,,married,,
54.0,,,,,,93876.0,,0.685,,,,,,,admin.,,,,
60.0,,2.0,,,,93994.0,,,,,mon,unknown,,,,,,,nonexistent
,123.0,,,0.0,,,,,5191.0,,mon,,,,retired,,,may,
51.0,241.0,,999.0,,,93444.0,,,,,fri,,,,services,,married,,
,,,,,,,,0.654,,,,,professional.course,,,,,,
,26.0,,,,,93994.0,,,5191.0,,,,,,,no,,,
43.0,,1.0,,,,,,,,cellular,wed,no,,,,yes,,,
,58.0,,,,,93444.0,,4965.0,5228.1,,wed,,high.school,,,,,,
,,,,,1.4,,,,,,,,high.school,yes,,,married,,nonexistent
39.0,,6.0,,,,,-41.8,,,telephone,,,,,unemployed,,,,
,,,,,,,,,,,mon,,basic.6y,yes,,no,,may,
,,2.0,,0.0,1.1,93994.0,,4856.0,5191.0,,,no,,yes,,no,married,,nonexistent
,,,,,,,,,5099.1,,,,,yes,,,,may,nonexistent
,,2.0,,,1.4,,,,5228.1,cellular,,no,basic.9y,,,,,,
39.0,,,,,,,,4021.0,5195.8,,,,professional.course,,self-employed,no,,nov,
,84.0,,,,1.4,93918.0,,,,,tue,unknown,high.school,,,,,,nonexistent
45.0,,,,0.0,-0.1,,,4076.0,,,,no,,yes,admin.,yes,married,,nonexistent
24.0,,1.0,,,,,,,,cellular,mon,,,yes,,no,,,
,,,,,,92893.0,,,,,thu,no,,,,,married,,
36.0,,,999.0,,1.1,93994.0,-36.4,4859.0,,,,,,,,,,may,
39.0,,,,,,93918.0,,4962.0,,,,,,,services,yes,divorced,,nonexistent
,,,999.0,,1.4,,-42.7,4962.0,,,,,university.degree,,,no,,,
,12.0,,,,,,,,4991.6,,,,,no,admin.,,,,
,,,,,1.4,,,,,cellular,thu,no,professional.course,,,,,aug,
64.0,,,999.0,0.0,,,,,,cellular,thu,,,yes,,,,dec,
,,,999.0,0.0,,,,,,telephone,mon,,,no,technician,no,single,,
,,,999.0,,,,,,,,,,high.school,,,no,,may,
,53.0,2.0,,,,,,,,,,,university.degree,yes,unemployed,no,,,
47.0,,,,,,94465.0,,,5228.1,telephone,,no,,yes,,,married,jun,nonexistent
,285.0,,,,,,-36.1,,,cellular,,,,,,,,aug,nonexistent
46.0,,1.0,,0.0,1.4,,,,,,,,high.school,,,,,,
,,,,0.0,1.4,93918.0,,,,,,,university.degree,yes,,,,,nonexistent
,,,,,-2.9,,,,,,tue,,university.degree,,management,,,aug,nonexistent
53.0,,,,,,93994.0,,,,telephone,,,professional.course,,,,,may,
,,,,,,93994.0,,4.86,,,,,high.school,no,,no,,,
,,2.0,999.0,,,,,,,cellular,,,,,,no,,,
,,,,0.0,,93994.0,-36.4,4857.0,5191.0,,mon,,,,blue-collar,no,,,nonexistent
,,,,0.0,,,-36.4,,,telephone,,no,,,blue-collar,no,,,
