age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
47.0,,,high.school,,no,,,jun,,,,999.0,0.0,,1.4,94465.0,-41.8,4865.0,5228.1,no
89.0,retired,,,,,no,,sep,tue,,1.0,,0.0,nonexistent,,,,,4963.6,yes
36.0,,,,,,,,aug,,96.0,1.0,999.0,1.0,failure,,,,,5076.2,no
,,,high.school,,,,,,tue,,,999.0,,nonexistent,-0.1,93.2,-42.0,,5195.8,no
41.0,,,basic.9y,,,,,nov,thu,,,,,nonexistent,-0.1,93.2,,,,no
45.0,housemaid,married,unknown,unknown,yes,,,aug,fri,,1.0,,,nonexistent,1.4,,,4964.0,,no
31.0,,married,university.degree,no,no,no,telephone,may,wed,108.0,,,0.0,nonexistent,1.1,93994.0,-36.4,4858.0,,no
,,single,,no,,no,,,,,1.0,,,success,,92431.0,,0.742,5017.5,yes
,,single,high.school,,yes,,cellular,,mon,201.0,,999.0,0.0,nonexistent,-1.8,,-46.2,,,no
,,,university.degree,no,yes,yes,,nov,mon,,1.0,,1.0,,,93.2,-42.0,4191.0,,no
,,married,professional.course,,yes,,,,wed,160.0,3.0,,,,,,-36.1,4964.0,5228.1,no
58.0,management,,university.degree,no,yes,no,cellular,,fri,685.0,2.0,999.0,,nonexistent,,92893.0,,,5099.1,yes
,,,professional.course,,yes,,,aug,,74.0,,,0.0,nonexistent,,93444.0,,,5228.1,no
,,married,,unknown,yes,no,telephone,,thu,,,,,,1.1,93994.0,-36.4,,,no
,services,,,no,,no,cellular,may,thu,227.0,2.0,,,,,92893.0,-46.2,1327.0,,no
,,,basic.9y,,no,,,,mon,324.0,,999.0,,nonexistent,,94465.0,,4961.0,,no
34.0,services,,,no,,no,telephone,,,274.0,2.0,999.0,0.0,,,,-41.8,4961.0,5228.1,no
41.0,blue-collar,,,,no,no,,jun,fri,72.0,,,0.0,,,94465.0,,4967.0,5228.1,no
29.0,services,,basic.9y,no,no,no,cellular,,tue,344.0,,,,,-1.8,92893.0,,,,no
,housemaid,married,basic.4y,unknown,,,,,tue,167.0,,,2.0,,,93749.0,-34.6,,,yes
,,single,professional.course,no,yes,,telephone,,fri,107.0,,999.0,,,-2.9,92201.0,,0.881,,no
,retired,married,,unknown,no,,,nov,,,3.0,,,failure,,,,4021.0,5195.8,no
43.0,housemaid,,,no,yes,no,cellular,jul,,,,999.0,,nonexistent,,,,,5228.1,no
31.0,admin.,,,no,,no,,,fri,,1.0,999.0,,,-0.1,,-42.0,,5195.8,no
30.0,,,,,yes,,,,,26.0,,,0.0,nonexistent,-0.1,,,4021.0,,no
,management,,university.degree,,no,no,,,thu,,,,0.0,,,,-36.4,,,no
50.0,,,,unknown,,,,,,,2.0,999.0,0.0,nonexistent,,,-36.4,4.86,,no
52.0,,married,university.degree,no,,no,telephone,,,244.0,5.0,999.0,,nonexistent,1.1,,-36.4,4855.0,,no
62.0,technician,,,no,,,cellular,,mon,220.0,,999.0,,failure,,94215.0,-40.3,0.827,,yes
,,married,,no,no,,telephone,,,129.0,,999.0,,nonexistent,,94465.0,-41.8,,5228.1,no
36.0,admin.,single,,no,,,telephone,may,thu,,,999.0,,nonexistent,,93994.0,,,,no
30.0,,,professional.course,,,,cellular,,tue,613.0,1.0,999.0,,nonexistent,-0.1,93.2,,,5195.8,no
35.0,,married,,no,no,no,,nov,,,,,3.0,failure,-3.4,92649.0,,,5017.5,no
41.0,,married,,,,no,cellular,,thu,434.0,3.0,999.0,1.0,failure,-1.8,92893.0,,,,no
53.0,blue-collar,,unknown,,unknown,,telephone,jul,,,1.0,999.0,0.0,nonexistent,1.4,,,,,no
50.0,admin.,,,no,,,,,thu,45.0,1.0,999.0,0.0,nonexistent,-0.1,,,,5195.8,no
34.0,services,,university.degree,no,yes,no,cellular,,,,2.0,999.0,1.0,,,92893.0,,1281.0,5099.1,no
42.0,,single,,no,no,no,,,,349.0,,999.0,,,1.1,,-36.4,4856.0,5191.0,no
47.0,blue-collar,single,,,yes,,,jul,,,,,0.0,nonexistent,1.4,,-42.7,,,no
,technician,married,professional.course,,,,cellular,nov,wed,291.0,2.0,,0.0,,,93.2,-42.0,4.12,5195.8,no
30.0,,,,,no,,,jun,tue,,,999.0,,nonexistent,1.4,94465.0,-41.8,,5228.1,no
65.0,,,,,yes,no,telephone,oct,,138.0,4.0,999.0,,nonexistent,-1.1,,,,,no
,admin.,single,,,yes,no,,nov,,,1.0,999.0,,failure,-0.1,93.2,,,5195.8,no
,,,,no,yes,,,may,mon,,,999.0,,failure,,92893.0,,,,no
,admin.,divorced,professional.course,no,no,no,cellular,,mon,,,999.0,,failure,-0.1,,,4191.0,,no
56.0,housemaid,,basic.4y,,,no,telephone,may,,86.0,1.0,999.0,,,,,,,5191.0,no
31.0,,married,professional.course,,yes,,cellular,aug,fri,,3.0,999.0,,nonexistent,,,-36.1,4964.0,5228.1,no
,entrepreneur,married,basic.4y,unknown,yes,yes,cellular,,,14.0,20.0,,,nonexistent,,93918.0,-42.7,,5228.1,no
,admin.,,,,no,no,,jul,,,6.0,,0.0,nonexistent,1.4,,-42.7,4963.0,,no
,blue-collar,married,,no,,yes,,,,951.0,2.0,999.0,,nonexistent,1.1,,-36.4,4858.0,5191.0,no
58.0,retired,married,basic.4y,,yes,no,,jun,tue,,3.0,999.0,,nonexistent,,94465.0,-41.8,,5228.1,no
32.0,,,university.degree,,,,cellular,,fri,172.0,,999.0,,nonexistent,1.4,93918.0,-42.7,,,no
,management,married,university.degree,,,,,,,254.0,1.0,,0.0,nonexistent,,93994.0,-36.4,,,no
,admin.,,,no,,no,,may,thu,,1.0,999.0,0.0,nonexistent,1.1,93994.0,,,5191.0,no
31.0,,married,,,yes,,cellular,apr,,,1.0,999.0,,,-1.8,93075.0,-47.1,,,no
,,single,,,,,,may,wed,,,,,,-1.8,92893.0,,,5099.1,no
,technician,,university.degree,,,,cellular,may,thu,14.0,,,,,-1.8,92893.0,,1266.0,,no
,,,basic.9y,no,no,,cellular,jul,mon,51.0,,,0.0,nonexistent,,,-42.7,,5228.1,no
29.0,blue-collar,,,no,,yes,cellular,,,,3.0,,0.0,nonexistent,-1.8,92893.0,-46.2,,,no
,blue-collar,,basic.9y,unknown,,,,,,,3.0,999.0,,failure,-1.8,92893.0,,1281.0,,yes
33.0,,married,high.school,no,,no,,,fri,,,,,failure,,,,,,no
50.0,,,university.degree,,,no,telephone,,thu,587.0,1.0,,0.0,nonexistent,,,-36.4,,,no
35.0,,married,professional.course,no,,yes,cellular,jul,mon,554.0,2.0,,,nonexistent,1.4,,-42.7,4.96,,no
49.0,,,,no,,,,,,,,999.0,0.0,,1.1,93994.0,,4856.0,,no
,blue-collar,married,,no,yes,,cellular,may,,,,,,,,92893.0,-46.2,1281.0,5099.1,yes
,,single,university.degree,,yes,no,,aug,,64.0,1.0,999.0,0.0,,1.4,93444.0,-36.1,4963.0,5228.1,no
,technician,single,high.school,,,,telephone,,tue,,5.0,999.0,,nonexistent,-1.8,92893.0,,,,no
36.0,technician,,,,,,,,thu,237.0,,999.0,,,,,-42.7,4968.0,,no
,admin.,married,,no,,,cellular,aug,,,2.0,999.0,,,,93444.0,-36.1,,5228.1,no
31.0,,,high.school,,yes,no,,,tue,,3.0,999.0,0.0,,,93918.0,-42.7,,5228.1,no
31.0,,,,,yes,yes,cellular,,fri,244.0,1.0,,0.0,nonexistent,,93.2,-42.0,4021.0,5195.8,no
,,married,basic.9y,unknown,,,cellular,,fri,67.0,1.0,,0.0,,1.4,93918.0,,,5228.1,no
42.0,management,single,university.degree,no,,unknown,cellular,,,83.0,,,0.0,,-2.9,,,,,no
,technician,,,,yes,,cellular,jul,,128.0,,999.0,0.0,,1.4,,-42.7,,5228.1,no
31.0,services,,high.school,no,,no,,apr,,379.0,2.0,,,,,,-47.1,,5099.1,no
,housemaid,divorced,high.school,no,no,no,,may,,,3.0,,,,,93994.0,,,,yes
,services,,professional.course,no,,no,,may,,,3.0,999.0,,,1.1,,,,,no
,technician,,high.school,no,no,,telephone,,wed,118.0,,,0.0,,,,-39.8,,,no
31.0,,,,no,,,,,thu,250.0,,999.0,1.0,,-0.1,,-42.0,,5195.8,no
37.0,housemaid,,,unknown,,yes,telephone,,,136.0,,,,nonexistent,1.1,93994.0,-36.4,4855.0,,no
45.0,blue-collar,married,,unknown,yes,yes,cellular,aug,,165.0,1.0,,0.0,nonexistent,,93444.0,,4967.0,,no
,services,,,,,no,,apr,mon,,,999.0,,nonexistent,-1.8,93075.0,,1405.0,,no
54.0,,,university.degree,,,,cellular,,,,,999.0,,,-0.1,,-42.0,4076.0,,yes
,services,divorced,,no,,no,,,mon,150.0,7.0,999.0,0.0,,1.1,93994.0,,4857.0,5191.0,no
30.0,,,,,,yes,cellular,jul,,,3.0,999.0,0.0,nonexistent,1.4,,-42.7,4963.0,5228.1,no
,unemployed,,high.school,,,no,cellular,aug,,93.0,1.0,,,,,,-31.4,,5076.2,no
38.0,technician,,professional.course,no,yes,yes,,,,50.0,2.0,999.0,0.0,,1.4,,-42.7,,,no
,,single,basic.9y,no,,unknown,,,mon,116.0,1.0,,0.0,,,93075.0,-47.1,1405.0,,no
29.0,technician,,,,,no,,,,,3.0,,0.0,,-0.1,,-42.0,,,yes
,,single,,,yes,,,may,tue,157.0,5.0,999.0,,nonexistent,-1.8,92893.0,-46.2,,5099.1,no
,,single,,,no,no,telephone,jun,,250.0,,,,,,,-41.8,4967.0,,no
33.0,,married,professional.course,no,yes,no,telephone,,,307.0,4.0,999.0,0.0,,1.1,93994.0,-36.4,,5191.0,no
,,married,basic.9y,unknown,yes,,,,,489.0,,999.0,,nonexistent,1.1,93994.0,-36.4,4856.0,,no
,,,high.school,,yes,no,telephone,may,,360.0,1.0,,0.0,nonexistent,,93994.0,,,,no
48.0,services,,,no,yes,,cellular,,,,,999.0,,nonexistent,,,,,,no
,,,,no,,,telephone,jun,thu,268.0,1.0,,,nonexistent,,94465.0,-41.8,4961.0,5228.1,no
28.0,technician,,,no,no,no,cellular,,,453.0,,999.0,,nonexistent,1.4,93918.0,,,,no
,,married,university.degree,no,no,,,,thu,131.0,,,,,1.4,93444.0,-36.1,4968.0,,no
,,,university.degree,,yes,,,nov,,43.0,1.0,,,nonexistent,,93.2,-42.0,,5195.8,no
43.0,,married,,no,,,telephone,may,,68.0,1.0,,,nonexistent,,93994.0,,4858.0,,no
,blue-collar,married,basic.9y,,no,,cellular,,tue,97.0,3.0,,,,-1.8,92893.0,-46.2,,5099.1,no
,,married,,no,yes,,,,,110.0,1.0,999.0,1.0,failure,,94199.0,,,4963.6,no
30.0,blue-collar,,unknown,,,,telephone,,,,,999.0,,nonexistent,,93994.0,-36.4,,,no
36.0,admin.,married,university.degree,,,,telephone,,,,1.0,999.0,0.0,,,,-41.8,4958.0,5228.1,no
46.0,admin.,married,university.degree,no,,unknown,,,,,10.0,,,nonexistent,-3.0,,,,5023.5,yes
,admin.,married,university.degree,no,,,,mar,mon,47.0,2.0,999.0,0.0,,,92843.0,,,,no
35.0,,,,,yes,no,,,,448.0,1.0,999.0,0.0,nonexistent,1.4,,-42.7,4.96,5228.1,no
,,divorced,basic.4y,,,no,,jun,tue,80.0,4.0,999.0,,,,,-41.8,,5228.1,no
,blue-collar,,basic.4y,unknown,,no,,jul,,724.0,1.0,,0.0,,1.4,,,,,yes
,services,single,,unknown,,,cellular,,tue,,,999.0,0.0,,,,,,5228.1,no
38.0,,married,professional.course,unknown,,,cellular,,,318.0,,999.0,,,1.4,93444.0,-36.1,4963.0,,no
44.0,,divorced,,,,yes,,jun,fri,100.0,4.0,999.0,0.0,nonexistent,,94465.0,-41.8,,5228.1,no
50.0,retired,,professional.course,no,,no,,,,695.0,,,0.0,,1.4,,-42.7,,,yes
,technician,,professional.course,no,,yes,,,,870.0,2.0,,,,,,-36.1,4963.0,,no
,blue-collar,,professional.course,no,yes,,,,wed,161.0,1.0,999.0,,nonexistent,-1.8,,-46.2,1334.0,5099.1,no
,technician,,,unknown,,,telephone,,,,,999.0,0.0,,,93994.0,,,5191.0,no
,entrepreneur,married,basic.4y,,yes,,,may,wed,,,999.0,0.0,,,,-46.2,1281.0,5099.1,no
30.0,,single,,,no,no,,jun,,,1.0,,0.0,,1.4,,-41.8,,,yes
,technician,single,university.degree,unknown,,no,,,mon,405.0,,,0.0,,,94465.0,-41.8,,,no
,services,,high.school,,yes,no,telephone,,tue,95.0,,999.0,0.0,nonexistent,1.1,93994.0,,,5191.0,no
,self-employed,,university.degree,,no,,,nov,,,,,,,-0.1,93.2,-42.0,,5195.8,no
52.0,,,basic.9y,,,,,mar,wed,272.0,3.0,,0.0,nonexistent,-1.8,93369.0,-34.8,,,yes
46.0,,,,unknown,no,,telephone,,,35.0,,999.0,,nonexistent,,93994.0,-36.4,,5191.0,no
,,married,,no,no,no,,jun,,220.0,,999.0,0.0,,,,-41.8,4.96,,no
37.0,,,,,,,,,,188.0,2.0,999.0,0.0,nonexistent,,93918.0,-42.7,,,no
34.0,blue-collar,married,,,no,,telephone,jul,mon,,,999.0,0.0,nonexistent,,93918.0,-42.7,,,no
,,,,no,no,,telephone,may,,290.0,,999.0,,,,,,,5191.0,no
,,married,,,yes,no,cellular,,fri,,2.0,999.0,,,,93918.0,,4963.0,,yes
28.0,,single,university.degree,no,,no,cellular,,thu,,,9.0,1.0,,-1.8,93369.0,,,,no
,,divorced,,,,,cellular,jul,tue,,3.0,999.0,,,1.4,93918.0,-42.7,,5228.1,no
,,married,,no,,no,telephone,,,,,,,,1.1,93994.0,,,,no
58.0,blue-collar,married,basic.9y,unknown,,,,,wed,,4.0,999.0,0.0,,1.4,,-36.1,,,no
25.0,,single,,no,no,yes,,may,,304.0,,,2.0,,-1.8,,-46.2,,5099.1,no
,,,basic.6y,,,no,,may,,172.0,1.0,,0.0,nonexistent,,92893.0,,,,no
52.0,services,married,,no,,no,cellular,nov,,,2.0,,,nonexistent,-0.1,93.2,,,,no
39.0,,,,no,yes,,,sep,,,1.0,,,success,-3.4,92379.0,,0.803,,yes
,,married,,,yes,,,may,,,,999.0,,nonexistent,,,,,,no
37.0,services,,professional.course,,,,cellular,apr,,93.0,,999.0,1.0,failure,-1.8,93075.0,-47.1,,,no
,management,,high.school,,yes,no,,,tue,,,999.0,0.0,,,94465.0,-41.8,,5228.1,no
41.0,management,,,no,no,,,sep,,,,,3.0,success,-1.1,,-37.5,0.879,4963.6,yes
46.0,services,married,high.school,no,no,,cellular,,wed,,2.0,,0.0,,-1.8,,,1445.0,,no
22.0,,single,,no,,,telephone,may,,195.0,,999.0,,nonexistent,1.1,,-36.4,4857.0,,no
,,married,high.school,no,,,,may,mon,,1.0,,0.0,,,,,1244.0,5099.1,no
35.0,blue-collar,,,,yes,,cellular,jul,fri,1373.0,,999.0,0.0,nonexistent,1.4,93918.0,,,,yes
26.0,admin.,divorced,,,,,,jun,mon,,,999.0,,nonexistent,1.4,94465.0,-41.8,4.96,5228.1,no
57.0,,divorced,university.degree,,,,cellular,,thu,,5.0,,0.0,,,,,,5228.1,no
,,single,university.degree,,,no,telephone,may,,22.0,3.0,999.0,,,,,-36.4,,5191.0,no
34.0,,married,,,,yes,cellular,,mon,,1.0,,0.0,,-1.8,92893.0,-46.2,,,no
,,,basic.4y,,,yes,,may,thu,208.0,1.0,999.0,,nonexistent,,92893.0,-46.2,1266.0,5099.1,no
,,single,,,,no,,,,,5.0,,0.0,nonexistent,,,,,5076.2,no
,technician,single,high.school,,,no,cellular,may,,361.0,2.0,,,,-1.8,92893.0,,,,no
39.0,technician,,,no,,yes,telephone,oct,mon,,1.0,,,nonexistent,,93798.0,-40.4,,,yes
40.0,,single,basic.9y,unknown,yes,no,telephone,may,wed,,2.0,999.0,0.0,nonexistent,,,,4859.0,,no
,,single,university.degree,,yes,,,jun,mon,68.0,,,0.0,,1.4,94465.0,-41.8,,,no
54.0,technician,married,professional.course,unknown,yes,no,,apr,,,,,0.0,nonexistent,,,,1405.0,5099.1,no
39.0,unemployed,single,,,no,yes,telephone,may,wed,243.0,,999.0,,,1.1,,,4859.0,,no
32.0,blue-collar,,,,,no,cellular,apr,fri,342.0,3.0,,0.0,nonexistent,-1.8,,-47.1,,,no
41.0,,,,no,yes,,,,tue,,1.0,,0.0,,1.1,93994.0,,4856.0,,no
42.0,,married,professional.course,,yes,,cellular,jul,fri,,,999.0,,,,93918.0,-42.7,,,no
,,,,,no,,cellular,jul,mon,510.0,6.0,,0.0,nonexistent,1.4,,,4.96,,no
,,,university.degree,,yes,,,,,,1.0,,,,-1.8,,,,5099.1,yes
,blue-collar,,basic.6y,no,yes,,,,fri,,,999.0,0.0,,1.4,94465.0,,4959.0,5228.1,no
26.0,,,university.degree,,yes,no,cellular,,tue,,2.0,999.0,0.0,,1.4,,,4961.0,,no
48.0,management,,university.degree,no,yes,,,,tue,,1.0,,,nonexistent,,93444.0,,4963.0,5228.1,no
40.0,entrepreneur,,university.degree,,,,,,,,1.0,999.0,,nonexistent,,,,4191.0,5195.8,no
31.0,,,,no,yes,no,cellular,aug,wed,,,,,nonexistent,,93444.0,-36.1,,,no
44.0,,divorced,university.degree,,,,telephone,,fri,55.0,,,,,1.1,93994.0,-36.4,4864.0,,no
51.0,blue-collar,,basic.4y,,no,,,may,wed,104.0,4.0,999.0,,,-1.8,92893.0,,,,no
,blue-collar,,university.degree,,no,no,cellular,aug,wed,,,,0.0,nonexistent,-2.9,,,0.879,,no
,services,,high.school,,,no,cellular,,mon,,1.0,999.0,,nonexistent,,93.2,-42.0,4191.0,5195.8,no
26.0,blue-collar,,basic.6y,no,no,,telephone,,thu,,1.0,999.0,0.0,nonexistent,,93994.0,-36.4,4.86,5191.0,no
,services,divorced,high.school,,,yes,cellular,,tue,242.0,3.0,,0.0,nonexistent,,93444.0,,,,no
45.0,,,,,yes,no,,jul,wed,586.0,1.0,,,,1.4,93918.0,,,,yes
,housemaid,,high.school,,,,,jul,mon,1200.0,,999.0,0.0,,,,,,5228.1,no
,,,high.school,no,no,,telephone,,fri,485.0,3.0,999.0,,nonexistent,,,-41.8,4959.0,5228.1,no
,technician,,university.degree,no,,,cellular,aug,,142.0,,999.0,0.0,,1.4,93444.0,,4.97,5228.1,no
,self-employed,,university.degree,,,,,,,72.0,,,1.0,failure,-1.1,,,,,no
26.0,,single,,no,yes,,,jul,tue,154.0,1.0,999.0,0.0,,,,-42.7,,5228.1,no
36.0,,married,university.degree,,,unknown,cellular,,wed,331.0,,6.0,,,-1.1,,,0.876,,yes
44.0,services,single,high.school,no,,,cellular,may,,318.0,,999.0,,failure,-1.8,,,,5099.1,no
46.0,,divorced,professional.course,,,,,jun,fri,,,,,nonexistent,,94465.0,-41.8,,5228.1,no
32.0,,married,,,,,,,tue,33.0,,999.0,0.0,,1.4,,,,,no
57.0,management,divorced,,no,yes,no,telephone,may,,81.0,1.0,999.0,,,,93994.0,-36.4,,5191.0,no
53.0,technician,married,,,yes,,,may,tue,,1.0,,0.0,nonexistent,,93994.0,-36.4,,,no
34.0,,,,,yes,yes,,,mon,,1.0,,,failure,-1.8,,,,5099.1,no
,,divorced,,no,,,,jul,,,,,,nonexistent,1.4,,-42.7,,,no
28.0,,single,high.school,,yes,no,,,tue,192.0,,,0.0,nonexistent,-1.7,94215.0,,,4991.6,no
,services,married,professional.course,,no,,cellular,,wed,,6.0,,0.0,nonexistent,,,,1244.0,5076.2,no
,admin.,,high.school,,no,no,cellular,aug,thu,96.0,,999.0,0.0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,no
,,single,,no,,no,telephone,,,,2.0,999.0,0.0,nonexistent,1.1,,-36.4,4855.0,,no
52.0,,divorced,,no,,,cellular,,wed,,2.0,999.0,,,,92893.0,,1281.0,5099.1,no
63.0,,,,,no,no,cellular,aug,tue,479.0,,,,,,92201.0,-31.4,,,yes
,admin.,married,university.degree,no,,no,cellular,aug,,,,,0.0,nonexistent,,,,4968.0,5228.1,no
55.0,retired,married,,,yes,,cellular,,mon,158.0,1.0,999.0,,,-1.8,,-47.1,,,yes
47.0,,married,,,,no,,may,,302.0,,,,nonexistent,,93994.0,-36.4,4857.0,,no
41.0,,married,high.school,no,yes,no,,may,wed,,,999.0,,,,,-46.2,,,no
25.0,blue-collar,,,,,no,cellular,apr,,,1.0,,,nonexistent,,,,1365.0,5099.1,no
29.0,admin.,married,,no,yes,no,,may,mon,,4.0,,1.0,,,92893.0,-46.2,,,no
,blue-collar,single,,unknown,yes,no,,jul,wed,,1.0,999.0,,,,,,,5228.1,no
,technician,single,,no,,,cellular,,tue,170.0,,999.0,0.0,nonexistent,,,,,5099.1,no
,,,,no,yes,no,,may,tue,379.0,2.0,,0.0,,,,-36.4,4857.0,5191.0,no
59.0,,married,,no,yes,,telephone,,,,,999.0,,nonexistent,1.1,,,4856.0,,no
,services,married,,,yes,,cellular,,,,7.0,,,nonexistent,-1.8,92893.0,-46.2,,5099.1,no
44.0,admin.,single,basic.9y,,no,no,,,tue,134.0,,999.0,,nonexistent,,93994.0,-36.4,4857.0,5191.0,no
33.0,,,high.school,no,no,,,,mon,,1.0,999.0,0.0,,,,,,5099.1,no
53.0,retired,,,,no,no,,,,101.0,,999.0,0.0,,,93994.0,,,5191.0,no
,admin.,married,university.degree,,,,cellular,aug,,,5.0,999.0,,nonexistent,,,,,5228.1,no
,,,,no,yes,,cellular,,thu,,1.0,3.0,3.0,,,,-40.0,,5008.7,yes
50.0,,divorced,,no,no,,cellular,,thu,,4.0,999.0,,,,,-42.0,,5195.8,no
,blue-collar,,basic.9y,unknown,,,telephone,,fri,17.0,5.0,,,nonexistent,,,-41.8,,,no
,technician,,professional.course,,,,,,,401.0,,,,,-0.1,93.2,-42.0,4.12,,no
51.0,,married,,,yes,,,,,,,,0.0,nonexistent,1.4,94465.0,,4967.0,,no
,,,,,no,,telephone,,tue,,,999.0,0.0,nonexistent,,93994.0,,,,no
,blue-collar,married,basic.9y,unknown,,,,may,,163.0,2.0,,0.0,,,93994.0,-36.4,,5191.0,no
,self-employed,single,basic.9y,no,no,,telephone,may,,58.0,,999.0,,nonexistent,,,-36.4,4858.0,,no
,,married,university.degree,,yes,no,,,mon,128.0,,,1.0,,,92963.0,,,,no
,,married,unknown,no,,,telephone,may,fri,319.0,2.0,,0.0,,,,,4857.0,,no
46.0,,married,basic.4y,no,no,,,,wed,,,,,,1.1,,-36.4,,5191.0,no
78.0,retired,married,,,,no,cellular,jul,,,,,1.0,,-1.7,,,0.84,,no
,blue-collar,,basic.4y,no,yes,,cellular,,,,1.0,999.0,,,,92893.0,-46.2,,5099.1,no
