age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contact,day_of_week,default,education,housing,job,loan,marital,month,poutcome,y
,,,,,,,,,,,wed,,professional.course,,,yes,single,,,no
,72.0,3.0,,,,,,,5191.0,,,,,,,no,married,may,,no
,,2.0,,,,,,,,,,unknown,,,entrepreneur,no,,,nonexistent,no
,587.0,,,,1.4,,-41.8,,5228.1,,,,,,,,,,nonexistent,yes
,,,999.0,0.0,,,,4.96,,,,,,,,,single,jun,nonexistent,no
,,,,,,93994.0,-36.4,,,telephone,,,high.school,,,,,may,,no
50.0,,,999.0,0.0,,93.2,,,5195.8,,,,,,,,married,,nonexistent,no
52.0,,,,,,,,0.644,,cellular,,no,basic.9y,,technician,,married,,nonexistent,yes
,,,,,,,-36.4,,5191.0,,thu,unknown,,,,,married,,,no
,,1.0,,0.0,1.4,,,,5228.1,,,,,,,,,,,no
37.0,,,,,1.4,93918.0,,,,,,no,,no,,,,jul,,no
,,4.0,999.0,0.0,,93918.0,-42.7,,5228.1,telephone,,,,,,,,,,no
,,,,,,,,,5191.0,telephone,,,university.degree,,,no,single,,nonexistent,no
30.0,,2.0,999.0,,,,,,,cellular,fri,,,yes,blue-collar,,,,nonexistent,yes
,,1.0,,1.0,,,,,,,,,university.degree,,admin.,,,,,no
53.0,52.0,3.0,,,,93918.0,,4961.0,5228.1,,tue,,high.school,,admin.,,,jul,,no
,,,,0.0,,93994.0,,,5191.0,,,,,,technician,,,,,no
,,4.0,,0.0,,,,,5228.1,,,unknown,,,,no,married,aug,nonexistent,no
,,,,,-1.8,,,,,cellular,,no,university.degree,,,,,,,no
,172.0,1.0,,0.0,-1.8,,,1281.0,,,,,,,,no,married,,,no
,40.0,2.0,999.0,,-0.1,93.2,,,,,mon,,,no,services,no,married,,,no
,,,,,,92379.0,,0.803,,,,,basic.9y,,blue-collar,no,,,,yes
,,1.0,999.0,0.0,,,,,5191.0,,,,high.school,,admin.,yes,,may,,no
37.0,,3.0,999.0,,,93075.0,,,5099.1,,mon,no,,,,,,,,no
,135.0,,,,1.4,,,,,,,unknown,,,management,no,,,,no
41.0,,,,,,,,,,,,,,,management,,divorced,,,yes
,,2.0,999.0,0.0,,,-47.1,,,,,,,,,no,,apr,nonexistent,no
,,,,,,,,,,,,,,,,no,,,,no
56.0,,,,0.0,,92893.0,,,5099.1,,,,,,retired,,,,,no
,,4.0,,,,,-42.7,4957.0,,,,,,,blue-collar,no,,jul,nonexistent,yes
26.0,,,,,,,,,,,mon,,high.school,yes,,,divorced,,nonexistent,no
,327.0,,,0.0,,,-36.1,,,cellular,,,university.degree,no,,,,aug,,no
,,,999.0,,,,,,5191.0,,,,,no,,,,may,,no
,326.0,,,,,92893.0,-46.2,,5099.1,cellular,mon,,,,admin.,,,,,no
,,,,,,92893.0,,1266.0,,cellular,,,,,blue-collar,,,may,,no
,413.0,,,,,,,,,cellular,,,,,,no,single,jul,,no
,,2.0,999.0,,,92893.0,,,5099.1,,,,,,,no,,may,,no
,,,,0.0,-0.1,,-40.4,,,,,,university.degree,no,,,divorced,,,yes
,824.0,,,,1.1,,-36.4,4859.0,,,,unknown,,,,,,,nonexistent,no
,,,999.0,0.0,,94465.0,-41.8,,,,mon,,,,,no,,,,no
,,,,,,,,,5099.1,,,,,,,,,,,no
,243.0,,,0.0,,,,4859.0,5191.0,,,,,,,yes,single,,nonexistent,no
,342.0,,,0.0,,,-47.1,,,cellular,,no,,,,,,,,no
,270.0,,,,,,,4856.0,,telephone,,,,,technician,,divorced,,nonexistent,no
42.0,,,,,,,-42.7,,,,,no,professional.course,,,,,jul,,no
,,,999.0,,,,-42.7,,5228.1,cellular,,,,no,,no,,jul,,no
,,,,0.0,,,-46.2,1354.0,,cellular,,no,,,,,,,,yes
,,,,,,,,,5228.1,,fri,,,,,,divorced,,,no
,369.0,,,0.0,,,,,5228.1,,,,,,,no,,,nonexistent,no
,144.0,,999.0,,,93444.0,,,,,,,,,,,,,,no
,,,,,,,,,,,,,university.degree,,entrepreneur,,,,,no
,,,,,,,,,5228.1,,,,,,admin.,,married,,nonexistent,no
,,,,,,,-36.4,,,telephone,,,,,,,divorced,may,,no
51.0,104.0,4.0,999.0,,,,,,5099.1,,,,basic.4y,,,,married,may,,no
,,,999.0,0.0,,,,0.879,,cellular,,,university.degree,no,,,,,,no
56.0,,,999.0,0.0,-0.1,,,,5195.8,,,,,yes,,,married,nov,,no
,,1.0,,0.0,,93994.0,-36.4,,,,thu,,,no,,,,,,no
31.0,242.0,,999.0,,1.4,93444.0,,,,,tue,,,,,,divorced,,,no
,586.0,,,,,,,,,,,,,yes,unknown,,,,,yes
,,,,,,,,,,,,unknown,,yes,,,,,,no
,485.0,,,,,,,4959.0,5228.1,,,,,,,no,,,,no
35.0,,2.0,,,,93444.0,,,,cellular,,,university.degree,,,,,,nonexistent,no
54.0,,,,,,,-49.5,0.987,4963.6,,,,,,,,,,failure,no
,154.0,1.0,,0.0,,93918.0,-42.7,4962.0,,,,,university.degree,,,,,jul,,no
,,,,,,,,0.876,4963.6,cellular,wed,,,,,,,sep,,yes
,,,999.0,,,,,1313.0,,cellular,fri,no,high.school,,,,,may,failure,no
,365.0,3.0,999.0,,,,,,,,fri,,,yes,,,,jun,,no
,,,,0.0,,,,,,cellular,,,,,unemployed,,,,nonexistent,no
,,,,0.0,,,,,,,thu,no,,,management,no,divorced,may,nonexistent,no
53.0,,,,,,,,,,telephone,tue,,professional.course,,,,,may,,no
,,,,,,92893.0,-46.2,1299.0,5099.1,cellular,,no,,yes,admin.,,,,failure,no
,,3.0,,0.0,,93918.0,,,,,mon,,,,admin.,no,,,nonexistent,no
28.0,,1.0,,,-1.7,,,,,cellular,,no,,,,,,jul,,no
,,,,,,92963.0,,,5076.2,,wed,,,no,,no,,,,no
,,,,,,,-36.1,,,,,,,,,,,aug,,no
,393.0,,,,,,,,5191.0,telephone,,no,,,,,,,,no
,,,999.0,,,92893.0,,,5099.1,cellular,,no,,no,,,,may,failure,no
,,,,0.0,,,-31.4,,5076.2,,,,,,,,married,aug,,yes
42.0,,2.0,,,,,,,,,tue,no,,,,,,,,no
,,,,,,93075.0,,1466.0,,,,,basic.4y,,retired,,,apr,,yes
,,1.0,,0.0,1.1,,-36.4,,5191.0,,,,basic.4y,,,,,,nonexistent,no
41.0,,1.0,,,,,,1281.0,5099.1,cellular,,,,yes,,,,,nonexistent,no
,109.0,,,,,,-47.1,,,cellular,thu,,basic.9y,,,,single,,,no
,,,999.0,,,,-46.2,,5099.1,,,,,,,,,,,no
28.0,,1.0,,,,93918.0,,,,,,,,yes,blue-collar,,single,jul,,no
,,3.0,,,,92893.0,,,,cellular,tue,,professional.course,,,,,,nonexistent,no
,,,999.0,,,,,,5191.0,telephone,tue,no,,,,no,,,,no
,,9.0,999.0,,,,-36.4,,,,,no,,,,,,,,no
22.0,48.0,,,,,,,,5099.1,cellular,,,high.school,yes,,,,,nonexistent,no
,,,,0.0,,93994.0,-36.4,4857.0,,,tue,unknown,,no,,,single,may,nonexistent,no
,,1.0,,,-1.8,93075.0,-47.1,,,,,,,no,blue-collar,,,,nonexistent,no
,,23.0,999.0,0.0,,,,,5191.0,,,no,,no,,no,,,,no
,,5.0,,,,,,,,,,unknown,,yes,,no,,,,no
,234.0,,,,-1.8,93876.0,,0.683,,cellular,thu,no,,,,,,may,,yes
,,4.0,,,,93.2,,,,,thu,no,,,,,,nov,,no
,,5.0,,,,,,,,,,unknown,,,,,,,nonexistent,no
,401.0,,,,,,,,5195.8,cellular,wed,,,,,,,nov,,no
51.0,18.0,,,,,,,,,,fri,,,,,,,,,no
,,,,,,93994.0,,,,telephone,,no,,,,no,single,,nonexistent,no
,163.0,,,0.0,,93994.0,,,,,,,,yes,,,married,,,no
,58.0,,,,1.1,,,4858.0,5191.0,,,,,no,,,,,nonexistent,no
,128.0,,,1.0,,,-40.8,,5076.2,cellular,,,,yes,,,,,failure,no
,319.0,,999.0,0.0,1.1,93994.0,,4857.0,,,,no,,yes,technician,,,,,no
,,1.0,999.0,,,93994.0,,4858.0,,,,no,,,housemaid,,,may,nonexistent,no
,,1.0,,,,94215.0,-40.3,,,,wed,,,,retired,,married,jul,,no
29.0,,,999.0,0.0,,92893.0,,,,,,no,,,,,single,,nonexistent,no
,,,999.0,1.0,,,,,,cellular,,,,no,entrepreneur,,married,nov,,no
67.0,,,,,,92201.0,-31.4,,,,,,,yes,retired,no,,,,no
,,,,0.0,-0.1,,,,,telephone,,no,,yes,,no,,,,no
,,,,0.0,,93444.0,-36.1,,5228.1,cellular,,,,,,,married,,nonexistent,no
53.0,,1.0,999.0,0.0,,,,,5228.1,,,,,no,,,married,jul,nonexistent,no
36.0,,,,,-2.9,,,,,cellular,,,university.degree,,,no,single,,success,yes
,,7.0,999.0,,,,-46.2,1266.0,,,thu,,,,,,,,,no
,,,999.0,0.0,,93444.0,-36.1,4964.0,,,,,,,admin.,,,,nonexistent,no
44.0,,2.0,,,,93994.0,,,5191.0,telephone,fri,unknown,,,,,married,,,no
32.0,138.0,,999.0,0.0,-0.1,,,4153.0,,,,no,,no,admin.,,married,,,no
,378.0,,999.0,0.0,-1.8,,,1354.0,,,mon,,,no,blue-collar,no,married,,,no
31.0,,,,,,,-36.4,,5191.0,telephone,,no,,,,no,single,,,no
44.0,,1.0,,,,,,,,,,no,,,,,married,,failure,no
,,,999.0,,1.4,94465.0,-41.8,,5228.1,telephone,tue,,basic.9y,yes,blue-collar,,married,,nonexistent,no
,,,,,,,,1281.0,,cellular,,,,no,,,married,may,,no
,,,999.0,0.0,1.4,,,,5228.1,,,unknown,basic.9y,yes,,,single,,,no
,,,,,1.1,,-36.4,,5191.0,,mon,,high.school,yes,,,,,,no
,272.0,,999.0,1.0,-1.8,,,,,,wed,,,,entrepreneur,,,,,no
,,,,,-1.8,,-50.0,1.51,5099.1,,tue,,,,,,,,,no
41.0,,,,,,,,,,,fri,,,yes,,,,jun,,no
29.0,,,,,,93918.0,-42.7,,,,,,,,,no,single,jul,,no
,,,,,,,-41.8,4.96,,,mon,no,basic.9y,,blue-collar,,married,,,no
,508.0,,,0.0,,,-36.1,,5228.1,,fri,,,,,,,aug,,no
34.0,,1.0,,,,93075.0,,,5099.1,,fri,,,,blue-collar,,,,failure,no
,128.0,,,,,,,1313.0,5099.1,telephone,,,high.school,,,no,,,,no
,,,,0.0,,,-36.4,,5191.0,,,no,,yes,,,,,,no
28.0,,,,0.0,,93994.0,,,5191.0,,,,,,,no,,,,no
51.0,,,,1.0,-0.1,,-42.0,,,cellular,,,basic.9y,,,,married,nov,failure,no
,,,,,,,,,5228.1,cellular,,,,,,,,,,no
,,3.0,,0.0,,,,,5191.0,telephone,,no,,,,,married,,,no
,560.0,,999.0,,1.1,93994.0,,,5191.0,,,no,,,,,,,nonexistent,no
,31.0,1.0,999.0,,,,,,5228.1,,wed,,,,,,married,,,no
,103.0,1.0,,0.0,-0.1,,,4076.0,,,,,,,admin.,,,,nonexistent,no
76.0,,1.0,,1.0,-1.7,94027.0,,,,,,no,,,retired,,,aug,failure,yes
,,,,,,94465.0,,,5228.1,telephone,tue,,,no,blue-collar,yes,married,,nonexistent,no
,220.0,,,,,,,,,cellular,thu,unknown,,,,,married,,nonexistent,no
,,,999.0,,-0.1,,,,5195.8,,,,,,,no,,nov,failure,no
,,,4.0,,-2.9,,,,5076.2,cellular,mon,no,,,,,,aug,success,yes
,,,999.0,0.0,-2.9,92201.0,-31.4,,,,,,,,,,single,,,no
,,2.0,,,,,,,,,tue,unknown,,,technician,,,,,no
,,,,,1.4,,,,,telephone,,,,no,,no,,,,no
,,,,,,92431.0,,,5017.5,,thu,,,,,,married,,,yes
59.0,,,,,,,,,,cellular,,,,yes,,no,,,,no
,126.0,,,,,,-42.0,,5195.8,,,unknown,basic.9y,yes,,,married,nov,nonexistent,no
,438.0,,999.0,0.0,,,,,,,,,,yes,,,,,nonexistent,no
,,,,0.0,,,-46.2,,,,,,professional.course,yes,,no,,may,nonexistent,no
,,,,,,,-40.3,,4991.6,,,,,,,,,jul,,no
,,,999.0,,,,-46.2,1.25,5099.1,,fri,no,,,,yes,,may,nonexistent,no
,77.0,,,,,,,1.27,,,,,high.school,yes,student,no,,,,no
,,18.0,,,,,,,5191.0,,,,,,,no,,may,nonexistent,no
,,1.0,,0.0,-1.8,,,,,,,,,,,,,,,no
,,,,,,93444.0,,,,cellular,,,,,technician,,single,,,no
,1165.0,,,,,93918.0,,,,,,,,,,,,,nonexistent,no
,,,,0.0,,,,,5099.1,,,,,,,,,,nonexistent,no
,,,,,,93444.0,,,5228.1,,tue,,high.school,unknown,,,,,,no
,121.0,,999.0,0.0,1.4,,,,,,,,,yes,,,,,nonexistent,no
29.0,81.0,,,,1.4,,,4957.0,5228.1,cellular,,no,,yes,,no,,jul,,no
,1287.0,,,,,93918.0,,4961.0,,cellular,tue,,university.degree,,,,,,nonexistent,no
,,,999.0,,-1.8,,-47.1,,5099.1,,,no,,,,,married,apr,,no
,,,,,,,-46.2,,,,fri,,,,,,single,,,no
,,,999.0,,,,,4857.0,,,,unknown,,,,,married,,,no
54.0,,,,,,93876.0,,0.685,,,,,,,admin.,,,,,no
60.0,,2.0,,,,93994.0,,,,,mon,unknown,,,,,,,nonexistent,no
,123.0,,,0.0,,,,,5191.0,,mon,,,,retired,,,may,,no
51.0,241.0,,999.0,,,93444.0,,,,,fri,,,,services,,married,,,no
,,,,,,,,0.654,,,,,professional.course,,,,,,,no
,26.0,,,,,93994.0,,,5191.0,,,,,,,no,,,,no
43.0,,1.0,,,,,,,,cellular,wed,no,,,,yes,,,,no
,58.0,,,,,93444.0,,4965.0,5228.1,,wed,,high.school,,,,,,,no
,,,,,1.4,,,,,,,,high.school,yes,,,married,,nonexistent,yes
39.0,,6.0,,,,,-41.8,,,telephone,,,,,unemployed,,,,,no
,,,,,,,,,,,mon,,basic.6y,yes,,no,,may,,no
,,2.0,,0.0,1.1,93994.0,,4856.0,5191.0,,,no,,yes,,no,married,,nonexistent,no
,,,,,,,,,5099.1,,,,,yes,,,,may,nonexistent,no
,,2.0,,,1.4,,,,5228.1,cellular,,no,basic.9y,,,,,,,no
39.0,,,,,,,,4021.0,5195.8,,,,professional.course,,self-employed,no,,nov,,no
,84.0,,,,1.4,93918.0,,,,,tue,unknown,high.school,,,,,,nonexistent,no
45.0,,,,0.0,-0.1,,,4076.0,,,,no,,yes,admin.,yes,married,,nonexistent,no
24.0,,1.0,,,,,,,,cellular,mon,,,yes,,no,,,,no
