class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
e,,s,n,f,n,,c,b,o,e,,s,s,o,o,p,,o,p,y,v,l
e,x,,,t,n,f,c,,w,t,b,s,,p,,p,,,p,n,y,d
p,f,,y,f,f,f,c,b,g,e,,k,,,b,,,o,l,h,,
e,x,s,,,,f,w,b,,,e,f,,w,,p,w,o,,k,s,
p,x,y,w,,p,,c,n,,e,e,s,,,,p,,o,p,k,,u
e,f,f,e,,n,f,c,,,,b,s,s,p,g,p,w,o,p,n,y,d
e,x,y,,t,a,,,b,g,e,c,s,s,w,,p,w,o,p,k,n,
p,,,n,,s,,c,n,,t,?,k,k,p,p,,,o,e,w,v,l
p,x,,n,f,f,,c,n,,,?,,,w,,p,,o,e,w,,d
e,x,f,,,n,f,c,b,,t,b,,s,g,w,p,w,o,p,k,v,d
e,x,,w,f,n,,,b,h,,e,,,,,p,w,o,e,n,,g
e,f,y,p,,,f,c,b,,e,?,,s,e,e,,w,t,,w,c,w
e,x,,e,,n,f,c,b,w,t,,s,s,g,p,,w,o,p,k,y,d
e,f,y,g,,,f,c,b,w,t,b,s,s,p,,p,w,o,,k,y,d
e,x,y,g,t,n,f,c,b,,,,s,s,,,p,w,o,p,,v,
p,f,y,y,,f,f,c,,g,,b,k,k,n,p,,w,,l,h,v,d
p,x,,,t,f,f,c,,,t,b,f,f,w,,,w,o,p,h,s,u
e,,f,n,f,n,,w,,h,t,,,s,w,w,,,,e,k,s,g
e,f,f,,f,n,f,c,,p,e,,,,w,w,p,w,o,p,k,,u
e,x,s,n,f,n,,w,b,p,,e,f,f,w,w,p,,o,e,,a,g
e,x,s,w,t,a,f,c,b,w,,c,s,s,w,w,p,w,o,p,k,s,g
e,f,y,e,t,n,f,,b,u,t,b,s,,p,g,,w,o,p,n,y,d
e,f,s,e,t,n,f,c,b,,e,?,s,s,,e,p,w,t,,,c,w
e,b,s,w,f,n,,w,b,p,e,?,k,k,w,w,p,,,p,,,g
p,,y,,f,s,,c,n,b,,,s,s,,w,p,w,o,e,w,,d
p,x,,,f,y,f,c,,b,t,,k,k,,w,p,,o,e,w,v,
p,x,s,e,f,y,f,c,n,b,t,?,,s,,,p,,o,,,v,l
e,x,y,g,t,n,f,c,,,t,b,s,s,g,w,p,w,o,p,k,,d
p,,,,t,f,f,c,b,w,,b,,f,,w,,w,o,p,h,v,g
p,x,y,w,,p,f,,,,e,,s,s,w,,p,w,o,p,k,s,u
p,f,,w,,,f,,n,p,,e,s,,w,w,,,o,p,n,v,
e,x,,y,,l,,c,,w,,c,,s,w,,,,o,,,n,g
p,x,y,g,f,f,f,c,b,h,e,,,k,b,p,,w,o,l,h,,
e,x,,n,t,l,f,,b,p,e,r,,,,w,p,w,o,p,k,s,p
e,x,f,e,t,n,,c,,n,,b,s,s,,w,,w,o,,n,,
e,f,f,g,f,n,f,,b,,t,e,s,s,w,,,,o,,k,s,g
p,k,,e,f,y,f,,,,t,?,s,,w,w,p,w,o,e,,v,p
p,x,s,e,,,,c,n,,t,?,k,,w,w,,w,o,,w,,p
e,x,s,,t,a,f,w,n,p,,,s,s,,,p,,o,p,u,v,
p,k,s,n,,,f,c,,b,t,,s,k,,w,,,o,e,w,v,p
e,,y,g,t,n,f,c,,,t,b,,s,,p,p,,o,p,k,v,d
e,,,,,n,f,w,b,n,t,e,s,f,w,,p,w,o,,k,a,g
p,x,f,g,,,f,c,,,e,b,k,,p,,p,w,o,l,,,g
p,,y,y,f,,,c,,g,e,,k,k,n,n,,w,o,l,h,y,
e,x,,g,f,n,,w,b,g,e,?,s,,,w,p,w,t,p,w,,g
e,f,,n,,n,f,w,,,t,e,s,s,w,w,,w,,e,n,s,
e,f,,n,,n,f,w,,,t,,f,s,w,w,p,w,o,,k,a,g
p,f,,y,f,f,f,,,h,e,b,k,k,,,,,,l,h,,
e,,f,,t,n,f,c,b,n,t,b,,s,w,g,,w,o,p,k,y,
p,x,f,g,f,f,,c,b,,,b,k,,p,p,p,w,,l,,v,
p,f,y,y,f,,f,c,,h,,b,,k,p,b,p,,o,,h,y,
p,x,,g,f,,f,c,,h,e,b,k,k,n,b,p,w,o,l,h,v,
e,,s,w,,n,f,,,g,,?,,,w,w,,w,t,p,w,,g
p,x,,,f,,f,c,,h,e,,k,k,b,p,p,,o,,,y,
e,f,y,e,,n,f,,b,u,t,b,s,s,,,p,,,p,k,,d
p,f,y,,t,p,f,c,,w,e,,s,s,,w,p,w,o,p,n,s,
e,,,n,f,n,f,w,b,,,,s,,w,w,p,w,o,,n,s,
p,,y,y,f,f,,,b,,e,b,k,,p,b,,w,o,l,h,,p
p,f,y,,f,f,f,,b,h,e,b,k,k,b,n,p,w,o,l,h,v,d
e,,s,,,n,,,,o,,,,s,o,,p,o,o,p,,c,l
e,,s,n,f,,f,w,b,k,,e,,s,w,w,,w,o,,,s,
e,x,f,n,t,,,c,,p,t,,s,s,,,p,w,,p,,,d
p,x,,y,f,f,f,c,b,,,b,k,k,b,b,p,,o,l,h,,
e,k,f,g,f,,f,,b,,e,?,k,k,w,,p,w,,p,,s,
e,x,f,w,t,,f,,n,,t,,,s,,,p,w,o,p,u,v,
e,f,f,g,,n,f,c,,g,e,e,s,s,w,w,p,w,o,p,,v,u
p,x,s,n,t,,f,,n,k,,e,s,s,,w,p,w,o,,k,s,u
p,f,s,n,t,,f,c,,,,e,s,,,w,p,w,o,p,n,v,
e,f,s,n,,n,,c,b,y,e,,s,s,,o,,,o,p,b,,l
p,k,y,n,f,y,f,c,n,b,t,,,s,w,w,,w,,,w,v,
p,x,s,n,,y,f,c,,,t,?,s,s,,p,p,w,o,,w,v,
p,x,,,f,c,f,w,n,u,,b,s,,,w,p,,,p,k,,d
p,x,f,y,f,f,,,b,,e,b,,k,n,,p,,o,,h,,p
e,,y,y,t,a,,,b,w,,,s,s,,,p,,,,k,s,g
e,x,f,n,f,n,f,w,b,n,,,s,f,w,w,p,w,o,e,,a,
p,f,s,g,,,,,,w,t,b,,,w,w,p,w,o,,,s,g
e,f,,g,,,f,,b,u,t,b,s,s,p,w,,,o,p,n,,d
p,f,s,e,f,,f,c,n,b,t,?,s,s,w,w,p,,o,,w,v,l
p,k,s,e,f,y,,c,,b,,?,k,s,p,p,p,w,o,e,w,v,p
p,x,y,w,,p,,c,n,p,e,e,,s,,w,p,w,o,p,k,v,g
e,x,,,,,f,,b,p,,b,,s,g,w,,w,o,p,n,y,d
p,f,y,,f,f,,c,b,,e,b,k,,n,n,,w,o,,h,v,g
e,x,y,e,t,n,,c,b,,t,,s,,,,p,,o,p,,v,d
p,,s,n,,p,f,,,,e,e,,s,,w,,,,,k,s,u
e,,,n,,n,a,,b,o,e,?,s,,,o,p,n,o,p,,c,l
p,f,y,e,,,,c,,b,,,,k,p,,p,w,o,e,w,v,l
p,f,y,,,f,f,c,b,g,e,b,k,,n,b,p,w,o,l,h,v,
e,f,,e,,n,,c,,,,,s,s,w,g,p,w,o,,k,,
p,,,y,,f,,c,,h,,b,k,k,n,n,p,w,,l,h,v,p
e,k,s,n,,n,a,,b,o,e,?,s,s,o,,,,,,b,c,
e,x,y,n,t,l,f,,,n,,r,s,y,,,p,,o,p,k,y,g
e,x,y,w,t,,f,,,,e,c,s,,w,w,p,,o,p,n,n,m
p,f,,,f,f,f,,b,p,e,b,k,k,,p,p,w,o,l,h,v,g
p,,,,f,n,f,c,,,e,?,k,y,,n,p,,o,e,w,v,d
e,,,n,,n,,c,,n,,e,s,s,w,w,p,,o,p,k,,u
p,x,f,g,,f,f,c,b,g,e,b,,,b,p,,w,o,,h,y,d
e,x,,,f,n,f,w,b,h,,e,,f,,,,,o,,k,s,g
p,x,s,,,f,,c,n,b,t,?,k,k,w,p,p,w,,e,,v,p
e,x,f,n,t,n,,c,b,n,t,b,s,s,,g,p,,o,p,,y,d
e,x,f,w,t,,f,w,n,,t,b,s,s,w,,,w,o,,u,v,d
e,f,s,w,,,f,w,,,t,,f,,w,w,p,,o,,k,,g
e,x,f,w,,n,,,b,n,t,e,s,s,w,,p,w,o,e,k,a,g
e,x,y,g,t,n,,c,b,w,e,b,s,,,w,,w,t,p,,,p
e,x,f,e,,n,f,c,b,p,t,,,s,,p,p,,o,p,,v,d
p,f,,e,f,f,f,c,n,b,t,,,s,p,p,p,w,,e,,v,d
p,x,,g,f,f,f,c,b,g,,b,k,,,p,p,w,o,,,,p
e,x,y,,t,,,c,,w,t,,,,p,g,p,w,,p,k,y,
e,x,,e,,,f,c,b,p,t,,,s,,p,p,w,o,p,k,v,d
e,,f,,f,,f,w,b,k,t,,f,f,w,w,,,o,e,k,s,g
e,x,,g,,n,,c,b,,t,b,s,s,,,p,w,o,p,,v,d
e,x,f,e,t,n,,,b,u,t,b,,s,,,p,w,o,p,,y,d
e,x,s,y,t,l,f,c,b,,e,,s,,w,,,,o,p,n,,
p,f,y,b,t,,f,,,g,e,,,s,w,w,,w,t,p,r,,m
p,,s,,f,,f,c,n,b,,,,k,,,p,w,o,e,w,v,
e,b,,w,t,l,f,c,b,,e,,s,s,,,,,o,p,,s,
p,k,s,n,f,f,f,c,n,b,,,,s,,w,,,o,,,,
e,b,s,n,f,n,,c,b,,,?,s,,o,,,o,,p,,,l
p,,y,y,f,f,f,c,b,g,,b,,k,b,,,w,o,l,,,
e,b,s,,t,,f,c,b,n,,c,s,s,,,p,w,o,p,,,g
p,f,,g,,,,c,b,,,b,,k,p,b,p,w,o,,h,v,p
p,,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,,h,y,g
e,b,,y,t,a,f,c,b,w,,c,s,s,,,,w,o,,,,g
e,k,s,,f,n,a,c,b,,e,,,s,o,,p,n,o,p,o,c,
e,f,,,,n,f,w,b,k,t,e,f,f,,w,p,w,o,,k,s,
e,b,,w,f,n,,w,,,e,?,,k,w,,p,w,,,w,n,g
p,f,f,,,f,f,c,b,p,,b,,k,,b,p,w,o,l,h,v,d
e,b,,,t,l,f,c,b,g,,c,,s,w,w,,w,o,p,,,g
p,f,y,y,f,f,f,,b,,e,b,k,k,p,b,p,w,o,l,,v,d
e,f,f,e,t,,f,,b,,t,,s,s,p,,p,w,o,p,k,y,
p,,s,n,f,,f,c,,b,,,,s,w,,p,w,o,e,w,,p
e,x,y,e,t,,,c,b,w,t,b,s,s,,,,w,o,p,k,y,d
p,x,,,,,f,w,n,n,,b,,,w,w,p,,,,n,s,d
p,x,y,y,f,f,f,,b,h,,b,,,n,p,p,w,o,,h,v,d
e,x,y,n,,n,f,c,b,w,,,,s,w,g,p,w,,p,n,v,
p,k,y,,f,f,f,c,,b,t,?,k,s,w,w,p,w,,e,,v,d
p,,s,n,f,,,c,,b,t,,k,k,w,,p,w,o,,w,v,l
e,,,y,,l,f,,b,,e,c,,,w,w,p,,o,p,n,n,
e,,y,p,t,,f,c,,w,,?,,,w,,p,w,t,,w,c,w
p,k,y,e,f,m,a,,b,w,e,c,k,y,,c,p,,n,,,c,d
p,,s,e,f,f,f,c,,,,?,k,,p,,p,,,e,w,v,d
p,x,,,,y,f,,n,b,t,,k,s,p,,p,,o,e,w,v,p
e,,s,p,t,n,f,c,,,,?,s,s,,e,p,w,t,e,w,,
p,,y,,,f,,c,b,g,,,,,b,,p,,o,l,h,v,
p,,s,n,t,p,f,,n,k,e,e,,s,w,,p,w,o,p,,s,
e,x,y,,t,,,c,b,u,,,s,s,w,,,w,o,p,k,y,
e,x,y,g,t,n,,c,b,p,,b,,,,,,w,o,p,k,v,
e,b,,w,t,l,,,b,w,e,,s,,w,,p,w,o,p,k,s,m
p,,y,y,,f,f,c,b,,e,,k,,n,,p,,,l,h,,p
e,f,f,,t,a,,w,n,w,t,,s,s,,w,,w,,p,,,d
e,f,f,w,f,n,f,w,,k,,e,f,f,w,w,p,w,o,e,n,s,
e,x,y,e,t,n,f,,b,p,,,s,s,p,,p,w,o,p,n,y,d
e,f,y,g,,n,f,,b,u,t,b,s,s,p,,,w,o,,n,v,d
e,f,y,e,,n,f,,b,p,t,b,s,s,w,g,p,w,o,p,n,,d
p,x,,,f,c,,w,n,n,,,s,s,w,w,p,w,,,,v,d
p,x,y,n,f,,f,,n,,,?,s,,,w,p,w,,,,v,p
p,k,s,e,f,,,,n,b,t,,s,k,,w,p,,o,,,,p
e,,y,,f,n,,,n,h,e,?,s,,w,w,p,w,o,,,,
p,x,f,,f,f,,,,p,e,,k,k,p,,p,w,o,l,h,v,
p,x,f,y,f,f,,c,b,p,,b,k,k,,n,p,w,o,l,,v,d
p,f,s,w,t,p,f,c,,k,,,s,s,,w,,w,o,,n,,
p,k,,e,f,,f,,n,b,t,?,k,,p,p,,,o,e,w,,
e,x,f,n,t,n,f,c,,u,t,,,,w,w,p,w,,p,k,,d
e,f,f,w,f,n,f,w,b,n,t,e,s,,w,w,p,,o,e,k,s,g
e,,f,w,f,n,f,w,b,,t,e,,,,,p,w,,,n,s,g
p,f,,,f,f,,c,n,b,,,,k,p,,,w,o,,,v,d
p,x,,g,f,f,f,,b,p,,,k,k,p,b,p,w,,l,h,,p
p,f,,,,s,,,n,,t,?,k,k,p,,p,w,,,,v,
p,x,s,,t,,f,c,b,,t,b,f,s,w,w,p,,,p,h,,u
p,,y,n,f,,f,c,n,,t,?,k,k,p,,p,w,,e,,v,
p,x,y,,f,,f,c,b,,e,b,k,k,n,b,p,w,o,,h,v,
p,x,,,f,,f,c,n,b,t,?,k,s,w,,p,w,o,,,v,l
p,k,s,n,,,,c,n,b,t,?,k,k,,p,p,,o,,,v,
p,b,,p,t,,f,c,b,r,e,b,s,s,w,w,p,,t,p,r,v,g
e,x,s,g,f,,f,w,b,p,e,?,s,,w,w,p,,t,p,w,s,g
p,k,,,f,s,f,c,n,,t,?,k,k,,,p,w,,,w,v,p
e,f,s,n,,n,a,c,,o,,,s,s,,,p,n,o,p,,,l
e,x,s,,f,n,f,,b,k,t,e,,,,,p,w,,,,a,
p,,y,n,,,f,c,n,b,t,?,,,p,,p,w,o,e,w,v,
p,f,f,y,,f,f,c,,,e,b,k,k,,n,,,o,l,h,y,d
p,f,y,g,f,,f,c,b,,e,,k,,b,p,p,w,o,l,,y,
e,x,,y,,,f,,b,w,,c,s,s,,w,p,w,o,p,,n,
e,x,s,n,,n,f,w,b,p,,,,f,,w,p,w,o,,k,s,g
e,b,,g,f,,f,w,,g,e,,,s,w,w,,w,t,p,,n,
e,x,f,e,,n,f,c,b,p,t,b,s,s,w,p,,,o,,,y,d
p,,,n,f,,f,c,,b,t,?,s,s,p,p,,,o,e,w,v,l
p,f,y,,f,y,f,c,n,b,t,?,k,k,,p,p,w,,e,,,
e,f,f,g,t,n,f,,b,w,t,b,s,,p,p,p,w,o,p,k,,d
p,x,,e,,,,,n,,t,?,k,,p,,p,,,,w,v,
e,b,,y,t,a,,c,,k,e,,,s,w,,p,w,o,p,n,,g
e,,f,g,,n,f,,b,,,b,s,s,g,,p,w,o,p,n,,
p,f,,,f,f,,c,,h,,b,k,k,p,n,,w,,l,h,v,d
p,k,s,,f,f,,c,n,,,?,,k,p,,p,w,o,,w,,
e,b,f,w,f,n,f,w,b,p,e,,s,s,w,,p,,,p,w,,g
p,f,,y,f,f,,,b,p,,b,k,k,,p,p,w,o,,h,,
p,k,s,e,f,,,,n,b,,?,s,s,p,p,p,w,o,,w,v,d
p,x,,,,s,f,c,,b,t,?,s,,w,,p,,,e,w,,d
p,,y,,f,y,f,,n,,t,?,k,k,,p,p,w,,e,,,l
e,x,f,g,,n,,c,b,n,t,,s,s,,,p,w,o,p,k,v,
e,,f,g,,n,f,c,b,u,t,,s,s,p,,p,,o,,k,v,d
p,,,y,f,,f,,b,h,,,,k,,n,,,,l,,v,d
e,x,y,g,t,n,f,c,b,,,b,,s,g,,,w,o,,k,y,
p,x,f,g,f,f,,c,b,g,e,,k,k,,n,p,w,o,l,,y,g
p,f,s,e,f,y,,c,n,b,,,k,,w,,,w,o,e,,v,d
p,,,e,f,y,f,c,,b,t,?,k,k,,,,w,o,e,,v,
p,,s,,f,s,f,c,n,b,t,?,s,k,p,w,p,,o,,w,v,p
e,x,f,g,t,,,c,b,p,,b,s,s,p,p,p,,,,n,y,d
p,,,,f,,f,c,b,,e,b,k,k,b,p,,w,o,l,h,,g
p,x,,,,,,c,n,b,,?,,,,,p,w,o,e,w,v,d
p,,s,b,t,,f,c,b,h,,b,,,w,,p,w,o,p,h,v,u
e,b,s,w,t,,,,b,n,e,,s,s,w,w,p,w,o,p,n,s,
p,x,y,y,f,,f,c,b,p,e,,k,k,n,,p,w,o,l,,v,d
e,f,f,,f,n,f,w,b,k,t,,,s,w,,p,w,o,,k,a,g
e,x,y,e,t,,f,,b,w,,,s,s,p,p,p,w,o,,,v,d
e,x,y,e,t,n,,c,b,,t,,s,s,g,g,p,,o,,,v,
p,x,,w,t,,,c,,k,e,e,,s,,w,,w,o,p,k,s,
e,,y,y,t,a,,c,b,g,e,c,s,s,w,w,p,,o,p,n,s,m
e,b,y,,t,l,f,c,,,e,,,s,w,w,,,o,p,k,s,m
p,f,y,,f,s,f,c,n,b,t,?,k,s,w,p,p,w,,e,,v,l
e,x,y,,t,n,f,c,b,w,t,,s,,g,p,p,,o,p,n,v,d
e,f,y,n,f,n,,,,,e,b,y,,n,n,,w,t,p,w,y,p
p,k,s,,f,s,f,c,,,,,k,s,,,p,w,o,e,,v,p
p,,s,e,,f,,c,,,,?,k,,p,p,p,w,,,w,v,d
p,f,,n,f,y,f,c,n,b,,?,k,k,w,p,p,w,o,,w,v,d
e,f,s,n,,n,,w,b,h,t,e,s,,w,w,,w,o,,k,a,
p,f,s,n,f,,f,c,n,b,t,?,,s,w,,p,,,,w,v,d
e,,,n,f,,,c,b,,e,b,y,y,n,n,p,,,p,,,p
e,,y,,t,,,c,,n,,c,s,s,w,,p,,o,p,k,s,g
p,k,y,,f,m,f,c,,w,e,c,k,y,c,,p,w,n,n,w,c,
p,f,y,g,f,f,f,c,b,p,e,b,,k,,b,p,,o,l,h,y,g
e,,,e,t,,f,c,b,p,,,,,w,w,,,o,,n,,d
p,k,s,n,,y,f,c,n,b,t,?,k,,p,,p,,,e,w,v,d
p,,,g,f,f,f,c,b,g,,,k,k,,b,,w,o,l,,y,d
e,x,s,n,f,,f,,b,p,t,e,s,,w,w,,w,,e,k,a,g
p,,y,n,t,p,f,,n,n,e,,,s,w,w,p,w,o,p,k,,u
p,x,f,g,,f,f,c,b,p,,b,,k,b,,,w,o,l,h,,p
p,,s,n,,y,f,c,,,,?,k,s,w,w,p,,o,e,w,v,
e,,s,y,,a,f,,b,k,,c,,,w,w,,w,o,,n,s,
e,b,y,,t,l,f,c,b,,e,c,,s,,w,,,,p,k,n,m
e,x,f,,t,n,f,c,b,,,b,s,s,p,g,p,,o,p,,,
p,k,y,,,n,,c,n,w,e,,k,,,,p,,,,w,,d
p,x,y,n,f,s,f,,n,,t,?,,s,,,p,w,o,e,w,v,p
e,s,f,,f,,f,c,n,k,,e,s,s,w,w,,w,,p,,,u
e,x,s,,f,n,f,w,b,n,t,e,s,s,w,w,p,,o,,k,,g
p,f,f,,f,f,,c,,g,e,b,,,n,,,,o,,,y,d
p,f,y,g,,f,f,c,,g,e,b,k,,p,,p,w,o,l,,y,d
p,,,,,y,f,c,,b,,?,,k,,p,p,w,,e,w,v,l
e,f,y,,t,n,f,,,u,,,,s,g,g,p,w,,p,n,v,d
e,b,,,t,,,c,,n,,c,s,,w,,,,o,p,k,n,g
e,,y,y,t,l,,c,b,n,e,c,s,s,,w,,,o,,,s,g
e,f,,e,,n,,c,b,p,t,b,s,s,w,g,,w,,p,,v,
p,x,s,e,f,,f,c,n,,,,,s,w,,p,w,o,e,,v,p
e,x,f,w,f,n,f,w,b,,t,e,f,f,w,,p,,o,e,n,s,g
e,,f,g,,,f,,n,g,e,e,,s,,w,p,,o,p,,y,u
e,,y,y,t,,f,c,b,g,e,c,,,w,,p,w,,p,n,,g
e,x,y,,,,f,c,b,,,b,s,,p,p,p,w,,p,,,d
e,x,s,y,t,a,,,,g,e,c,,s,w,w,p,w,o,p,n,n,g
e,x,f,g,f,n,f,w,,w,e,?,,s,,w,,w,,,w,s,g
e,x,,n,t,n,f,c,,u,,,s,,w,w,p,,,,n,,d
e,x,s,g,f,n,,,b,,,e,,f,,w,,w,,,k,a,
p,x,s,e,f,,,c,n,b,,?,,,,,p,w,o,e,,v,l
p,f,,,,,f,c,n,b,t,?,,s,p,p,p,,o,,w,v,p
e,,y,y,t,a,f,,b,g,e,c,,s,,,p,w,o,p,k,n,g
p,f,f,g,f,f,f,c,b,h,,b,k,k,b,n,,w,,l,h,y,d
e,k,s,,f,,a,c,,,e,?,,s,,,p,o,o,,b,,
p,,,n,,y,f,c,n,,t,?,s,,w,,,w,,e,w,,
e,,s,w,f,n,f,w,b,p,,e,s,s,w,w,p,,,e,k,s,g
p,f,y,g,,,f,,b,p,e,,,,b,p,p,,,,h,,d
p,,,y,f,,f,,,p,e,b,k,,b,p,p,w,o,l,h,y,
p,,s,e,f,s,,,,b,,?,k,k,,w,,,o,e,w,v,d
p,x,,e,,s,,c,n,,t,?,s,,w,,p,,o,,w,v,p
p,k,,e,,s,f,,,b,t,,k,s,p,,p,,,,,v,
e,f,f,n,,,f,,b,p,t,,s,s,w,w,p,w,,e,k,a,g
p,x,s,n,f,f,f,,n,b,t,,,,p,,p,w,o,e,,v,
p,f,s,w,t,f,f,c,b,h,t,b,,s,,w,p,,,,h,s,u
p,,s,,f,f,,c,n,b,t,?,k,k,p,p,,w,o,e,w,v,l
e,,s,,f,n,f,,,k,t,e,,f,,,p,w,o,e,,a,g
p,f,,g,f,f,f,,b,p,,b,k,,p,n,p,w,o,l,h,v,d
p,f,y,,f,f,f,,n,,t,?,s,s,p,w,,w,o,,w,v,l
e,x,f,,,,f,w,b,p,t,,f,f,w,,p,w,o,e,n,s,g
p,f,f,g,f,f,f,c,b,g,e,,k,,n,p,p,w,o,,h,y,g
p,x,,n,f,,,,,b,t,,s,,w,p,,w,,e,w,v,p
e,,f,e,t,,f,c,b,p,t,b,s,,g,p,p,w,,p,n,,d
p,x,,n,f,f,f,c,n,b,t,?,,s,p,p,p,,o,e,w,v,
e,x,y,g,t,n,,c,b,p,t,b,s,s,g,,p,w,o,p,n,y,d
p,k,s,e,,y,f,,,b,t,?,s,k,w,,p,w,,e,w,,p
p,k,,e,f,y,f,,n,,t,?,s,k,p,p,p,w,,e,w,,d
e,x,s,g,f,,,w,b,p,,?,k,s,w,,p,,,p,w,n,
e,x,y,y,t,a,,,,g,e,c,s,,w,,,w,,p,k,s,m
e,,s,y,,a,f,c,b,g,,c,s,s,,w,,,o,,k,s,
p,,f,y,f,f,,c,,g,e,b,k,k,,n,p,w,o,l,h,v,g
p,x,,n,f,y,f,c,n,b,t,?,,k,p,p,p,,o,e,,v,l
e,,y,w,,,f,,,w,,c,s,,,w,p,w,o,p,n,s,
p,,s,n,t,p,f,c,,n,,e,s,,w,w,,w,o,p,,,
p,x,,y,f,f,f,,b,h,e,b,k,,,,p,w,o,,,,g
p,f,f,,f,f,f,,b,h,,b,k,,,n,p,w,o,l,h,y,d
p,f,f,,f,,f,c,b,h,,b,k,k,,n,p,w,,,h,y,p
p,,s,g,f,,,,n,,e,b,s,,,w,p,w,o,p,,,d
e,x,f,,,n,f,,b,k,,e,s,,,w,p,w,o,e,k,,g
e,,,g,f,n,,,b,,t,e,s,s,w,,p,w,o,e,n,s,
e,,y,n,t,,f,c,,,t,,s,s,g,,p,w,o,p,,y,d
p,f,f,g,,f,f,,,g,e,b,k,k,,n,,w,o,l,,v,p
e,x,y,,t,n,f,c,b,,,,,s,e,w,,w,,e,w,c,w
p,x,f,g,f,f,,,b,p,e,b,k,,n,,p,,,l,h,v,g
p,x,f,,f,,f,,,,,b,s,s,,,p,w,,p,n,s,d
p,k,,e,f,s,,c,n,b,t,,,k,p,,,,,e,w,v,l
e,x,y,e,t,n,f,,b,u,t,,s,s,w,g,p,w,o,p,n,,d
p,f,y,e,f,s,f,c,n,,,?,k,s,,w,p,w,o,e,,v,p
e,,y,,t,,f,,,w,e,,s,,e,w,p,w,t,e,w,,w
p,,,p,f,c,f,w,n,u,e,b,s,,,w,p,w,o,p,n,s,d
e,,y,,,,f,c,b,,,,s,,w,,p,w,t,e,w,,w
p,f,s,n,t,p,,c,,p,,,s,s,,w,,w,o,p,,s,
p,x,s,g,,,,c,b,h,t,b,f,,w,w,p,,o,p,h,s,u
p,f,,w,t,n,f,w,n,,e,,,,w,w,,w,o,p,w,c,l
e,x,s,,,,,,,n,e,c,s,s,w,w,p,,o,p,n,n,m
e,k,,g,f,n,,,b,,e,?,s,k,w,,p,,,p,w,n,g
p,,,n,f,s,,,n,,,?,k,k,w,w,,w,,e,w,,p
e,b,y,y,t,a,f,c,b,,e,c,,,w,w,p,w,,p,k,,
p,f,y,y,f,f,,c,b,,,,k,k,b,,,w,o,l,h,v,p
e,f,,n,t,n,f,,b,,,,s,,,w,p,w,t,,w,c,w
