LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
30000.0,,2.0,,,,-1.0,,,,-1.0,3118.0,2411.0,,,,890.0,,1260.0,1181.0,,,579.0,0
460000.0,1.0,4.0,2.0,,-1.0,-1.0,,-1.0,,-1.0,1358.0,,50394.0,,,22231.0,55071.0,1263.0,,,22238.0,,0
,1.0,3.0,1.0,65.0,,,,-1.0,,,,,,,2326.0,,1525.0,3470.0,1771.0,,390.0,2361.0,0
50000.0,,,,55.0,,0.0,0.0,,0.0,,45555.0,41372.0,41544.0,,16233.0,,1968.0,1843.0,434.0,,,679.0,1
160000.0,1.0,3.0,1.0,,,,-1.0,0.0,,,780.0,390.0,,,780.0,,0.0,,,,0.0,390.0,1
210000.0,1.0,,,30.0,0.0,0.0,,0.0,,,99342.0,99506.0,100117.0,,101197.0,103175.0,4900.0,,3600.0,,,,0
,2.0,2.0,,,,,,-1.0,,0.0,,,0.0,,25147.0,,,0.0,24756.0,899.0,942.0,927.0,0
,1.0,2.0,,,-1.0,-1.0,,,-2.0,,8951.0,6595.0,0.0,,0.0,0.0,9117.0,,0.0,,0.0,0.0,1
,1.0,1.0,2.0,,0.0,0.0,-1.0,-1.0,,0.0,,13041.0,9681.0,3284.0,732.0,2732.0,,,3284.0,732.0,2000.0,,0
,1.0,,,,-1.0,-1.0,,-1.0,-1.0,-1.0,,11634.0,12952.0,39274.0,5474.0,14837.0,,,,,,931.0,0
70000.0,1.0,,1.0,42.0,,0.0,0.0,0.0,0.0,0.0,,58103.0,,50756.0,50843.0,,,,3000.0,,1840.0,1798.0,0
,2.0,3.0,2.0,,,0.0,0.0,0.0,0.0,0.0,30244.0,29640.0,30451.0,29391.0,,,1701.0,,,1095.0,,2000.0,0
,,,,,,,0.0,-1.0,,,,,5275.0,198.0,,,,,198.0,,,40000.0,0
50000.0,1.0,,,27.0,1.0,2.0,0.0,,0.0,2.0,35905.0,35028.0,36373.0,37165.0,,,0.0,,1700.0,3000.0,1700.0,1700.0,0
240000.0,,,,27.0,,,,,,,4400.0,0.0,1129.0,,1971.0,,,,0.0,,496.0,1000.0,1
,2.0,1.0,,,,,-2.0,,-2.0,-2.0,,299.0,8994.0,1796.0,3970.0,7214.0,299.0,8997.0,,3970.0,7214.0,3684.0,0
80000.0,2.0,,,,,,2.0,-1.0,-1.0,-1.0,,3908.0,0.0,3521.0,,,,0.0,3521.0,0.0,,,0
260000.0,1.0,2.0,,31.0,,,0.0,,,,3113.0,3117.0,2924.0,2784.0,,902.0,1300.0,,1000.0,300.0,0.0,,0
,,1.0,2.0,,-1.0,-1.0,,-1.0,-1.0,,1088.0,,,1085.0,947.0,495.0,,,,,495.0,0.0,0
260000.0,,,1.0,,0.0,0.0,0.0,,0.0,,204017.0,,63074.0,,,191829.0,8000.0,7100.0,200140.0,6500.0,,,0
,,,,,0.0,0.0,0.0,,0.0,0.0,106468.0,108955.0,112374.0,,58189.0,57170.0,8000.0,,5000.0,5000.0,,,0
110000.0,2.0,,2.0,,0.0,0.0,,0.0,,0.0,45028.0,,47527.0,48735.0,49925.0,,,2000.0,2000.0,,,,0
500000.0,2.0,,1.0,49.0,,,-1.0,,,,,396.0,,396.0,,,,5792.0,0.0,,0.0,,1
300000.0,,,,,-1.0,,-1.0,,,,514.0,,148.0,148.0,,,2392.0,,,,,747.0,1
,2.0,,,53.0,0.0,,,0.0,,0.0,,,14362.0,,,,,,1000.0,,,1000.0,0
80000.0,,2.0,2.0,26.0,,,-2.0,,,-2.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0
,,,,31.0,,,0.0,,,0.0,157544.0,160437.0,,,120318.0,,,7072.0,,8000.0,,12000.0,0
,1.0,3.0,,,,0.0,0.0,0.0,0.0,2.0,,264126.0,,248831.0,263528.0,,9166.0,9001.0,9061.0,,1.0,,0
20000.0,,,1.0,,0.0,,0.0,,0.0,0.0,18958.0,,,19449.0,,0.0,,2000.0,1200.0,,0.0,0.0,1
,1.0,,1.0,41.0,,,,,0.0,,,10399.0,,9700.0,,,,,0.0,302.0,0.0,0.0,0
180000.0,2.0,,2.0,25.0,0.0,0.0,,0.0,0.0,,120583.0,,87773.0,89547.0,91639.0,93991.0,,,,3500.0,,3704.0,0
,,,,32.0,,-1.0,-1.0,,-2.0,-2.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,1
,2.0,,1.0,,-1.0,,-1.0,,,,,1417.0,3588.0,2589.0,,,1417.0,,0.0,,,1998.0,0
,,2.0,1.0,,,0.0,0.0,0.0,,,,,28089.0,27864.0,,27457.0,1754.0,1500.0,,,1100.0,,0
,,2.0,,,,,-2.0,-2.0,,,,,0.0,0.0,109.0,945.0,135.0,0.0,0.0,109.0,945.0,9300.0,0
,2.0,,1.0,36.0,0.0,,,,,0.0,70016.0,70837.0,,32050.0,46393.0,35207.0,,2000.0,,15000.0,,6994.0,0
,2.0,,2.0,,-1.0,,0.0,-1.0,-1.0,,3091.0,3853.0,,821.0,821.0,,,,,821.0,,,0
,,2.0,2.0,,-2.0,-2.0,,-2.0,,,,,0.0,,,,,0.0,0.0,0.0,,,0
20000.0,,,,,1.0,,2.0,,2.0,,6216.0,,7009.0,,,,,,1400.0,0.0,,,0
50000.0,,2.0,,43.0,,0.0,,0.0,0.0,,50562.0,55032.0,,,18888.0,,,2112.0,1400.0,,700.0,,0
140000.0,2.0,,,31.0,,,0.0,0.0,,0.0,3886.0,,,,7140.0,,,1500.0,1100.0,1000.0,1100.0,,0
210000.0,,2.0,,,0.0,,0.0,0.0,,,197324.0,,205800.0,,98572.0,90521.0,,,,,,3000.0,0
440000.0,1.0,,,79.0,,0.0,0.0,0.0,,,,,447326.0,447112.0,,447543.0,,,,15800.0,,15677.0,0
50000.0,2.0,2.0,,26.0,,0.0,0.0,0.0,0.0,,49378.0,,40859.0,20706.0,,19133.0,2500.0,1500.0,,,20689.0,697.0,0
,1.0,2.0,,,,,0.0,,0.0,,,38099.0,38600.0,29400.0,,0.0,1899.0,1400.0,,600.0,0.0,0.0,0
,2.0,,2.0,,0.0,,,0.0,0.0,,,101593.0,,101441.0,100829.0,101913.0,4700.0,4000.0,4032.0,,4000.0,,0
290000.0,2.0,,2.0,,,2.0,2.0,,,0.0,170422.0,,,,161057.0,163338.0,7594.0,0.0,,0.0,6818.0,5182.0,1
70000.0,,2.0,,26.0,0.0,,,0.0,,-1.0,50680.0,,,,,27545.0,2000.0,,0.0,0.0,30000.0,656.0,0
310000.0,1.0,,,32.0,,,,0.0,0.0,-1.0,,23782.0,,26201.0,,,,,,500.0,,40200.0,0
400000.0,2.0,,,28.0,,,2.0,0.0,,,6500.0,405016.0,,,394410.0,410127.0,,,14000.0,13560.0,28000.0,0.0,0
520000.0,2.0,1.0,1.0,46.0,,2.0,,0.0,,,,,,36293.0,55826.0,,5022.0,0.0,20000.0,,,5000.0,0
20000.0,,,2.0,23.0,0.0,0.0,,0.0,,,,8310.0,10015.0,,,9574.0,,2000.0,,,,,1
,1.0,2.0,,,0.0,0.0,,,,,,,,,8442.0,8610.0,,,,,308.0,,1
300000.0,2.0,1.0,,,-1.0,,,,,,42189.0,83754.0,120927.0,,,33262.0,83754.0,120927.0,0.0,716.0,,,0
,,1.0,,,,-1.0,-1.0,,,,6376.0,4925.0,4382.0,1240.0,167621.0,3284.0,,,,,,,0
340000.0,2.0,1.0,1.0,,,-1.0,,,-2.0,-1.0,,1722.0,,,-15.0,,1730.0,1692.0,,,3031.0,0.0,1
,2.0,,2.0,,0.0,0.0,0.0,,,,10051.0,,21514.0,,,,5000.0,10000.0,5000.0,5780.0,10000.0,,0
,2.0,1.0,,,0.0,0.0,,0.0,0.0,,246101.0,261430.0,237267.0,,,159683.0,38172.0,9000.0,7800.0,6650.0,5496.0,5145.0,0
,,,,,0.0,,0.0,0.0,,,,,35625.0,36754.0,16943.0,16234.0,1550.0,,2270.0,,,1000.0,1
50000.0,,,,,,,2.0,2.0,,0.0,,,50319.0,42805.0,39207.0,50155.0,,21220.0,13.0,,,21.0,0
80000.0,1.0,1.0,2.0,,,0.0,,0.0,,0.0,75923.0,57259.0,50845.0,36207.0,32515.0,15128.0,,2548.0,,1100.0,1000.0,1000.0,0
20000.0,2.0,2.0,,,,,,0.0,,0.0,191.0,20391.0,19292.0,19545.0,18945.0,19494.0,20200.0,,1310.0,678.0,854.0,,0
100000.0,,,,,,,,,-2.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0
70000.0,1.0,2.0,,26.0,,0.0,0.0,0.0,0.0,2.0,65329.0,64584.0,,60540.0,,18923.0,3000.0,4000.0,,4030.0,,1000.0,0
50000.0,2.0,2.0,1.0,22.0,0.0,,2.0,,,,25561.0,,,28085.0,,,,1000.0,2001.0,,1510.0,500.0,0
50000.0,2.0,2.0,2.0,47.0,,0.0,,0.0,0.0,0.0,50883.0,51117.0,,,,50555.0,2200.0,,,,2000.0,2000.0,1
80000.0,2.0,1.0,2.0,25.0,0.0,0.0,,,,0.0,,15291.0,,,30510.0,,3291.0,,,,6101.0,,0
,,,,44.0,1.0,,-2.0,,-2.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0
,,1.0,,39.0,,-1.0,,,,,,0.0,,0.0,,,,,,906.0,,4341.0,1
,1.0,,1.0,,3.0,2.0,,,4.0,3.0,,600.0,600.0,,,,0.0,,,,0.0,0.0,1
,1.0,,,,,0.0,,0.0,0.0,,,,155976.0,,,,7000.0,,6008.0,5516.0,6011.0,,0
,1.0,,1.0,,0.0,0.0,,,,,94166.0,,62511.0,36996.0,30311.0,26414.0,,,5000.0,,,10000.0,0
,1.0,1.0,1.0,49.0,0.0,,,,,,20604.0,,24535.0,,,24630.0,1359.0,,0.0,1000.0,,681.0,0
,,,2.0,27.0,1.0,,,,0.0,,5150.0,,,6984.0,,7267.0,0.0,1257.0,1300.0,400.0,,,0
210000.0,,,,,,,-1.0,-1.0,,,,,21445.0,0.0,,0.0,,,0.0,,0.0,0.0,0
,2.0,,,,,0.0,,0.0,,0.0,304867.0,,,292869.0,292885.0,,,10612.0,,11000.0,10512.0,,1
,2.0,,,26.0,-1.0,,,,-1.0,,3900.0,,,,4574.0,0.0,,,,4574.0,0.0,0.0,0
,,2.0,,,0.0,,,-2.0,,-2.0,34110.0,,0.0,,,,,0.0,0.0,0.0,,,0
,2.0,,,23.0,0.0,0.0,,,0.0,0.0,109592.0,,115633.0,,46425.0,0.0,5733.0,5659.0,4680.0,2325.0,0.0,,0
,2.0,,,,,,2.0,-2.0,,,,655.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0
500000.0,2.0,,,28.0,0.0,,0.0,,,0.0,182416.0,,,58009.0,,,,,3248.0,,14256.0,,0
290000.0,1.0,,2.0,34.0,,,-1.0,0.0,0.0,,,,4524.0,8440.0,,0.0,0.0,,4000.0,2000.0,,0.0,1
,2.0,,2.0,,,-2.0,-2.0,-2.0,-2.0,,,-4.0,-4.0,-4.0,,-4.0,,,0.0,0.0,,,0
,1.0,,,32.0,,,,2.0,0.0,0.0,,,,19362.0,19402.0,,,,0.0,850.0,920.0,,1
280000.0,,,,29.0,-2.0,-2.0,,,,-2.0,0.0,,320.0,2139.0,0.0,,0.0,,,0.0,0.0,0.0,0
,,1.0,2.0,,-1.0,,-1.0,-1.0,,-1.0,,,,,,,,5487.0,5397.0,70137.0,11820.0,,0
,,,1.0,45.0,0.0,,,,,0.0,79277.0,,62599.0,,44189.0,38034.0,3500.0,,2000.0,,2000.0,2000.0,0
,,,,27.0,0.0,,,,,,19115.0,,,,,,,1130.0,,861.0,,,0
600000.0,1.0,1.0,,,,,,,0.0,0.0,,,469703.0,,,,0.0,,,16000.0,,,1
,2.0,1.0,,,-1.0,,,,-1.0,,21720.0,,3682.0,,,,1240.0,,,,1248.0,9600.0,0
,,,,,2.0,,,0.0,0.0,0.0,79244.0,77441.0,,,,,,,,4000.0,,4000.0,1
50000.0,2.0,2.0,,,,,,,0.0,0.0,,36912.0,32616.0,29788.0,,,,1500.0,1500.0,1200.0,,,0
,2.0,1.0,2.0,,,,,,0.0,,4582.0,1359.0,,3072.0,,2440.0,,,3072.0,0.0,0.0,,1
500000.0,2.0,,1.0,,-2.0,-2.0,,,-2.0,,,,67515.0,68639.0,,,,,72049.0,70430.0,40721.0,,0
,,2.0,1.0,,-1.0,0.0,0.0,,,,,65918.0,,71604.0,75500.0,,,3000.0,6000.0,6000.0,10000.0,5000.0,0
10000.0,,2.0,,,,0.0,,0.0,,,7521.0,8519.0,,8235.0,0.0,,,1148.0,1021.0,0.0,0.0,0.0,0
10000.0,2.0,,,,,0.0,,,0.0,,8509.0,9228.0,,,9469.0,,,1300.0,,,,0.0,0
420000.0,1.0,1.0,,34.0,,0.0,0.0,,,,,,,,,,,,,5500.0,,5000.0,0
,,,,,,,,,0.0,,,9920.0,,8136.0,8449.0,,0.0,1281.0,,448.0,,,0
20000.0,,2.0,,44.0,,,,5.0,,,,,,16445.0,,15096.0,,,780.0,0.0,0.0,,1
,1.0,,2.0,40.0,1.0,,3.0,2.0,,,,16803.0,,,16832.0,16420.0,,0.0,,,,603.0,0
250000.0,,1.0,,42.0,-1.0,-1.0,,-2.0,-2.0,-2.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0
,,2.0,1.0,,,0.0,0.0,,0.0,,8348.0,9678.0,12702.0,12206.0,12701.0,13839.0,1476.0,3500.0,,,1500.0,0.0,1
80000.0,,3.0,1.0,,-2.0,-2.0,-1.0,-1.0,,,,,,3377.0,3377.0,5062.0,3377.0,3476.0,3377.0,3377.0,5062.0,,0
,2.0,,2.0,26.0,0.0,,,0.0,,-1.0,,29717.0,,28762.0,10404.0,8578.0,,,1020.0,10404.0,51000.0,0.0,0
,2.0,,,,-1.0,-1.0,0.0,,,,7479.0,31280.0,120000.0,,0.0,0.0,31280.0,,,0.0,,,0
30000.0,,1.0,2.0,27.0,0.0,0.0,,,0.0,0.0,,27407.0,29002.0,26806.0,,22162.0,2000.0,2500.0,,,2000.0,3000.0,0
50000.0,,,,,,,-1.0,,,-1.0,390.0,2078.0,,390.0,,,,,,0.0,,,0
,,2.0,2.0,,,0.0,0.0,,,,,16533.0,,16956.0,17532.0,19078.0,,,,1000.0,,1000.0,0
180000.0,2.0,,2.0,,,,0.0,,,,31689.0,30210.0,39634.0,,,48436.0,10000.0,,5000.0,,10000.0,30000.0,0
,,1.0,,35.0,,,-1.0,,,,3290.0,10881.0,2517.0,2957.0,889.0,40855.0,,,,,41000.0,170.0,1
,2.0,2.0,1.0,,,2.0,,2.0,3.0,,,,14663.0,,19525.0,18646.0,,,2000.0,4000.0,0.0,1000.0,1
80000.0,,,2.0,40.0,-1.0,-1.0,0.0,,,0.0,,,38112.0,40079.0,41040.0,42994.0,,2000.0,3000.0,,,,0
,1.0,1.0,1.0,,-1.0,,,-1.0,-1.0,-1.0,1319.0,770.0,3465.0,0.0,,634.0,,,,486.0,634.0,0.0,1
,2.0,1.0,,,-1.0,,,-1.0,,0.0,,7165.0,1849.0,,,0.0,8000.0,,,0.0,,,0
,,,,29.0,-1.0,0.0,,0.0,,,,30310.0,29312.0,,,,15000.0,2000.0,,0.0,0.0,4280.0,0
,1.0,1.0,2.0,,-2.0,,-2.0,,-2.0,,2807.0,894.0,5939.0,,-5.0,,,,1396.0,,0.0,0.0,0
300000.0,,1.0,1.0,39.0,,-2.0,,-2.0,,-2.0,2973.0,,,,2359.0,,,,,,10011.0,,0
50000.0,,2.0,2.0,24.0,,0.0,0.0,,0.0,,,,,51786.0,,33571.0,,,,1050.0,1010.0,,0
,2.0,,2.0,27.0,0.0,0.0,,0.0,0.0,,28392.0,,30394.0,29994.0,,15960.0,,,,,,0.0,0
270000.0,1.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,27598.0,26344.0,24641.0,,,,4000.0,,2000.0,0
,,2.0,,,,0.0,0.0,0.0,0.0,0.0,40623.0,,38706.0,38034.0,23675.0,22888.0,,2180.0,2004.0,1000.0,1002.0,,0
220000.0,2.0,,,,,3.0,2.0,,0.0,0.0,,1257.0,1090.0,1090.0,1090.0,0.0,,0.0,,0.0,,,1
,1.0,,2.0,,1.0,-2.0,,,,,,,-781.0,,389.0,609.0,,,,0.0,,0.0,0
250000.0,,1.0,1.0,,,-1.0,2.0,0.0,-1.0,,744.0,,1372.0,686.0,,,,0.0,0.0,,,,0
,,,2.0,26.0,2.0,,,2.0,0.0,0.0,30028.0,26208.0,,22335.0,,,,3400.0,,0.0,0.0,,1
,1.0,,1.0,,,0.0,0.0,0.0,,,,179645.0,,,166755.0,167416.0,8218.0,7912.0,6284.0,6313.0,,6419.0,0
50000.0,1.0,,1.0,39.0,0.0,,,-2.0,-2.0,,51400.0,0.0,,,,0.0,,,,0.0,,0.0,1
,,2.0,1.0,33.0,,2.0,2.0,,,0.0,203218.0,208414.0,203466.0,,119512.0,,10000.0,,8000.0,,5000.0,,0
50000.0,2.0,,2.0,24.0,2.0,2.0,7.0,7.0,7.0,7.0,2400.0,,,2400.0,,2400.0,0.0,,,,0.0,,1
,,1.0,2.0,32.0,,0.0,0.0,,,,208603.0,211340.0,,,,170299.0,,,5301.0,5220.0,5419.0,5313.0,0
,2.0,,,,,,0.0,,0.0,,,76921.0,65452.0,61129.0,55199.0,55380.0,3000.0,,3000.0,3000.0,,,0
,,,2.0,,,,,,0.0,0.0,,13462.0,15231.0,,17878.0,,,,2000.0,1500.0,,,0
,2.0,3.0,,30.0,-1.0,,0.0,-1.0,-1.0,-1.0,,,3300.0,10770.0,,,8977.0,,10770.0,,10043.0,5325.0,0
110000.0,1.0,2.0,,,,,,,,,,40359.0,34533.0,,,,,,3000.0,,4000.0,,0
230000.0,2.0,2.0,,39.0,2.0,0.0,,,,0.0,183718.0,,176457.0,125552.0,127993.0,,7236.0,5603.0,4187.0,4327.0,,,1
150000.0,,3.0,1.0,,0.0,0.0,0.0,0.0,,,20934.0,,,,0.0,0.0,1500.0,,1000.0,,0.0,0.0,0
,2.0,2.0,,,,,-2.0,-1.0,,0.0,,,,,2381.0,2381.0,174.0,,1581.0,,0.0,,0
420000.0,,,1.0,,-1.0,,,,-2.0,-2.0,3717.0,-2953.0,-2953.0,,-2953.0,-2953.0,,0.0,0.0,0.0,,,0
30000.0,2.0,2.0,,25.0,,0.0,0.0,0.0,,,10343.0,11069.0,,12473.0,,27460.0,1200.0,1201.0,592.0,500.0,,0.0,1
20000.0,,,,21.0,,0.0,,0.0,,0.0,10109.0,11153.0,,,9135.0,18355.0,,2000.0,,,,,0
,,1.0,,,0.0,0.0,,-1.0,-1.0,,,15114.0,,,961.0,,,5831.0,,,0.0,15735.0,0
50000.0,,2.0,2.0,27.0,2.0,,2.0,2.0,,,47760.0,45064.0,,43123.0,,43020.0,0.0,,0.0,1528.0,,,1
,1.0,1.0,,,-2.0,-2.0,-2.0,,,,2785.0,3943.0,3126.0,,,500.0,,1000.0,0.0,0.0,0.0,,0
30000.0,,1.0,2.0,,,,,,-2.0,,13568.0,,821.0,0.0,,,3166.0,,,,0.0,0.0,0
,1.0,2.0,1.0,48.0,,,,,0.0,0.0,49913.0,50588.0,,19424.0,,20386.0,,,689.0,,,799.0,0
50000.0,1.0,,2.0,,0.0,,2.0,2.0,,2.0,,31798.0,,,34668.0,,,,,,0.0,,1
,2.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,91812.0,96599.0,93389.0,,27283.0,13000.0,,,5012.0,,18000.0,0
,2.0,,,42.0,,0.0,,,,,,,116900.0,,121805.0,,4097.0,,4308.0,11540.0,5685.0,4390.0,0
