cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
,,,,c,,,n,u,,,,,w,,p,,,p,,,,p
,,,f,,f,c,,,,b,k,k,n,,,w,,,,,,p
,y,,,,,,b,,,,,,w,w,p,w,o,p,,,g,e
,,n,f,,,,,n,,,s,,,,,w,o,,,,,e
f,,g,t,f,,,,w,,,,,w,,,w,,,,,,p
,y,g,t,,,c,,,t,,,,,,,,o,p,,,,e
,,,,,,,,b,t,,,,,,,,o,e,w,,l,p
,,,f,,,c,,,t,,k,s,,,,,,,w,,,p
,y,,,,f,,,,e,,s,,,,,,,,,,,p
x,,,,,,c,b,,,b,,,,,,,,p,,y,d,e
f,y,g,,,,,,,,,k,,n,n,p,w,,,,,g,p
,,,,,f,c,,p,,,s,,,,p,,,,,v,,e
,,,,p,,c,n,,e,,,s,,,,,,,k,,u,p
x,s,n,,n,a,,b,,e,,s,,o,,,,,,,,,e
,,,,,,c,,b,t,,,,p,,,,o,e,,v,,p
f,,,f,,,,b,,e,,,k,,b,,,,l,,,,p
,,e,t,,,,b,u,,,s,,,,,,,,,v,,e
,,,f,,,,,h,,,,,n,n,p,w,o,,,,,p
,s,n,f,,,,,,,,,,,,,,,,,,,e
x,,,,,f,,,n,,r,,y,w,w,,,o,,,,,e
,,,,,f,,,,e,c,,,,,,w,,p,,,,e
,,,,,,,b,p,,,,k,,,,,o,,h,v,g,p
x,,,f,,f,,,,e,,,,,,,w,,e,,,,p
,f,,,,f,c,,n,,,,,w,,,,o,,,,,e
,,,f,,,c,,,,b,k,k,,p,,w,,,,,,p
,f,w,f,n,,,,,t,,,,w,,,w,o,,,,,e
,,e,f,,,,n,,t,,,k,,,p,w,,e,,v,p,p
,,n,,,,,,n,,,,,,,,w,o,,k,,d,e
,f,w,,,f,w,,,t,,s,,,,,,,p,u,,,e
,s,,,,,w,b,,,,f,,w,,p,,,,,a,g,e
,,,f,n,,w,b,,t,,,s,,,p,w,o,e,k,,,e
x,,,,n,f,c,b,,,,,,,,,,,,,,p,e
,,e,t,,,c,,,,,s,,,,p,,,,n,,,e
f,,e,,,,,n,,,,,,,,p,w,,e,,,,p
,,,f,,,,,,,,,,,,,,,l,,,,p
x,y,,t,n,,c,b,w,t,,,,,,p,,,p,,,,e
,,e,,,,c,,,t,,,,w,p,,,o,,,v,,e
,f,,f,n,,,,k,,,,,w,,,,o,e,k,,,e
,y,,,,f,,,,,b,,,w,,p,,,,k,v,,e
,,,t,n,,,b,,,,,s,w,,p,,o,,,,d,e
,s,,t,,,,,g,,c,,,,,p,w,o,p,,,,e
,,,,n,,c,b,,,,s,,,w,,,,p,,,,p
,,e,,,,,n,,,,,,,w,,,,,,,,p
,,w,,l,,c,b,,e,,s,,w,,,,,,,,,e
k,,,,,,,n,b,t,?,,,,,,,,,w,,,p
,,,,n,a,,,,,,s,s,o,o,,o,,,n,,,e
,,,,,f,,,,e,,k,,b,,,,o,,,,,p
b,,y,,,f,,,,,,,,w,,p,w,,,,,,e
,,,,,,,,,,b,,,,b,,,,,h,v,,p
,,,f,f,f,c,,h,e,,k,,p,,,,,l,,,,p
,y,,,,f,c,,w,,c,,,,,,,o,,,,,e
,,n,f,,,,b,y,,,,s,,,p,n,,,o,,,e
,,,f,,f,,b,k,,,,,,,p,,,e,k,s,,e
,,w,,n,,,,,,,k,,,w,,w,t,p,,,,e
,,,,,,,,p,e,,,,,,,,,,,v,,p
,s,,,l,,,,,,,,,w,,,,,p,,,g,e
f,y,,,,f,,b,,,,k,,,b,,,o,,,,,p
,,e,,,f,c,,u,,,,,p,w,p,w,,,,,d,e
,s,,,,,c,,,t,?,k,s,,,,,o,e,,,p,p
,,,,n,,c,b,w,t,,,,p,,p,w,o,,k,,,e
x,f,,,,f,,,,,,,,,,,w,,,n,s,,p
,,,f,,,,b,,,,k,,,p,,w,o,,h,,,p
x,y,,,,f,c,,w,,b,,s,,g,,,o,,,v,d,e
,y,,,,,c,n,,,,,,w,,,w,,,,,,p
,,,,,,c,,b,,,,k,,,p,,,,,,l,p
,,,,l,,,,,e,,,s,w,,,w,,,n,,,e
x,,p,,,,c,b,,,,,,,e,p,,,e,,,,e
,,,,,a,,b,,e,,,,,c,,,n,n,w,c,d,p
,,,,,,,,,t,,,,,,,w,o,,w,,,p
x,,n,f,,,,,,,?,,,,,p,,,,,,,p
f,,,t,n,f,c,,,e,?,,,,,,,,e,,c,w,e
,y,,,,,c,,,,b,,,,,,w,o,l,h,,,p
,,,t,,,,n,,,,,,,w,,,o,,k,,,p
x,y,,,n,,,b,,,,,s,w,,,,o,,,,d,e
,,g,t,,f,c,b,,,,,,,,p,w,,,,v,,e
b,,,,l,,c,,,,c,s,,,,p,,o,,,,,e
,,,f,,,c,,,e,,k,,,,,,,,h,,p,p
,,,,,f,w,,w,t,,,s,,,,,,,,v,d,e
f,,,f,n,,,,,,,f,,,w,,,o,e,,,,e
,y,e,,n,,,,p,,,,,p,,,w,,,,,,e
,,,,,,,,u,,b,s,,p,,,w,o,,n,,,e
,,,,n,,,,,,b,s,s,,,,,o,p,,,d,e
,s,,,,,,n,,,,s,s,,,p,,,,,v,,p
,,n,f,,,,,b,t,,,,w,w,,w,,,,v,,p
,,e,,s,,c,,,t,,,k,,,,,,e,,,p,p
f,y,,f,n,f,,n,h,,,,,,w,,w,,,,,d,e
,,,,,f,,,,,,,,,,p,,,,,v,,p
x,,,,f,,,b,,,,k,k,p,,,,,,,v,d,p
,,,t,p,,,n,,,e,,,,,,,o,,,,u,p
,,,,f,f,c,,,,,,,p,,p,,,,w,,,p
x,,,,,,c,,,,b,s,,w,w,,,o,,,,d,e
f,,,,,f,,b,n,t,e,,,,,,,o,e,k,,,e
,,,,,,,b,,,,s,,,,p,w,,e,,,g,e
,y,e,,f,f,c,n,b,,,,,p,,p,,,e,w,v,,p
x,,,,f,,,b,p,,b,,,,b,,w,,l,h,,,p
,,,,s,,c,,,,?,,k,,,p,,o,e,,,,p
x,s,g,,,,,,,t,,,,,,,w,,,h,,,p
,,n,,,f,c,,b,t,,k,k,,,p,w,,e,w,,,p
x,,,f,,,,,,,,,,,b,,,,,h,,,p
,,n,,s,,c,,b,,,,,,w,,,o,,,,,p
k,,,,,,,,,t,,,k,w,p,,,,e,,,,p
b,y,p,,,,,,r,,,,,,,,,t,,,v,g,p
,s,,,,,w,,p,,,,,,w,,,,,w,s,g,e
,s,,f,,,,,,,,,,,,,,,e,,,,p
,,,f,,,,,,e,,,,,o,p,n,,p,n,c,,e
x,s,w,,,f,,,,,,,s,w,,p,,,,k,,,e
,,,f,y,,,,b,,?,,s,,,p,,,,,v,,p
,,y,,f,,,b,,,,,,b,,,,,,,,,p
,,,f,,,,b,p,e,,,k,,,p,w,,,,,,p
x,s,,,,,c,,,,,,,,,p,,,,,,m,e
,,,f,,f,w,,,,,s,,,w,,,,e,,,,e
,,,,,,,b,,,,,s,,,p,,,,w,,g,e
,,,,,,,,p,t,,,,,,p,,,p,n,,d,e
,,,,,,,,b,t,,,,,,,,,,,v,,p
f,y,,,,f,,n,,t,,,k,,,,,,,w,v,,p
f,f,g,t,,,,,,,b,,,,,p,,o,,,v,,e
x,,,,,,c,n,,,?,,,,p,,,,,,,,p
b,s,y,t,,,c,,k,,,,s,,w,,,,p,,,,e
,,,,,,,,,t,,,s,,,,,,p,,,,e
f,,y,,f,f,,,h,,,,k,,n,p,,,,h,v,,p
,s,n,f,,,,n,,,?,s,k,,p,,,,,w,,l,p
,,,,n,,,,,e,,,,,w,,,,,,,,e
,,,,,f,,,,,,,k,,,p,,o,,,,g,p
,,,f,,f,,,b,,?,,s,,p,p,,,,,,d,p
,,,f,,,,n,,,,,k,w,,p,,,,,,,p
,,,,,f,,,b,,,,k,,,p,w,,,w,,l,p
,,,,,f,,,n,,,,s,,p,p,,,p,,,d,e
,,g,,n,f,c,,,,,,s,p,,,w,o,,,,,e
x,y,,,,,,,,e,b,,k,n,,p,,,,,,,p
,,,,,,c,,w,t,b,s,,,,,,o,,,,,e
,f,g,f,,,,,,,,,k,,,,w,,,,,g,p
f,,,,y,f,,,b,t,,,,,,,,,,,,,p
,s,,,,f,,,,t,?,,,,,,,,,w,,,p
,,,f,s,,c,n,b,t,,s,k,,,,w,,,,,,p
x,f,g,,n,f,,b,,,,,,,,,,,,n,y,,e
,,,f,,f,c,,,,,,k,,p,,,,l,h,,,p
,,,,,,c,,,,?,,,p,p,,,,,,,,p
,,,t,,f,,b,,,,,,,w,,,,,h,,,p
b,,w,,,,c,,,,c,,,,,,,,,n,s,g,e
x,,,,,f,,,,e,,k,k,,,,,,l,h,,,p
,,,,,,,b,,t,,f,,,,,w,o,,,,,e
x,y,,t,,f,,b,,,b,,,p,,,w,,p,k,v,,e
,y,,,,f,c,,n,t,b,s,s,g,,,,,,,v,,e
,,,t,,,c,,k,,e,,,w,w,,w,,p,,s,,p
,,,t,a,,,,g,,,s,s,,,,,,p,,s,,e
,,,,,f,,,n,,,s,s,,,p,w,,p,,,m,e
,,,,,,c,n,,,,,,,,p,,o,,w,v,,p
,,,,,,,b,,,b,s,,,,,,,,,v,d,e
,,n,,n,,,,,e,b,,y,n,n,,,,,,,p,e
,,n,,s,f,,,,,,,s,w,,,w,,,w,v,p,p
k,,,,,,c,,b,t,?,,,,,,w,,,,v,,p
,y,,,y,,c,,b,t,,k,,,p,,,,,,,,p
,s,,f,n,,,,,,,,,w,,,,,,k,,,e
,,n,,,,c,n,,t,,,,,,,w,,,w,,,p
,s,n,,n,,c,,w,,,y,,,,,,,p,,,,e
b,,,,a,f,,,n,,c,,s,,,,,,p,,s,,e
,,e,,,,c,,,,,,y,,,p,,,,w,,,p
,y,g,,,,,,,e,,k,k,,,p,,o,,,y,,p
,y,,,n,,c,b,p,,,,,w,,,w,,,,,d,e
,,,,,,,,,,,,,,,p,,o,,,v,,p
,y,,,f,f,,,g,,,k,,,,,,o,,,y,d,p
,s,,,n,,,,,t,,,,w,,,w,o,e,k,,,e
,,,,,f,,,n,,,s,,,,,w,,,,s,u,p
,,g,,,,,,,,,,,b,b,p,,o,,,,,p
x,,,,,,,,,t,,k,s,,,,,,e,,,l,p
,,y,,,f,,,,,,,,w,,,,,,,,,e
,y,w,,,f,c,b,,,,s,,,w,,,,,,,,e
,,,,,,,b,,,b,s,s,,g,,,,,,,,e
k,,,,,,,n,w,,,,,,n,p,,,e,w,,,p
,,,,,,c,,,,?,,,,p,p,,,e,,,p,p
s,,,,,,c,,k,,,s,,,w,,,,p,,,,e
,,,,,,,,,,e,,,w,,p,,,,,s,,e
,,,,,f,,b,g,,,,,n,,,,,,,y,d,p
,y,g,,,f,,,,,,,,p,p,p,w,,,,y,d,p
,,,f,y,,,,,t,,k,,,,,,,,w,v,,p
,y,,,,f,c,,u,,b,,,g,g,,w,o,p,n,,,e
b,,,,a,f,c,b,,,,s,,,,p,w,,,k,n,,e
,y,,,l,,,,n,,,s,,,w,p,,,p,,,g,e
f,,e,t,,f,c,,,,,,,,,,w,o,p,,,,e
,s,,,,,c,,,,,s,s,,,,w,o,,w,,p,p
,,w,f,,,,,,t,,,,w,,,w,,e,,,g,e
x,,g,,,,,,,e,e,s,,,w,p,,,p,k,y,u,e
,,,,,f,,,,e,c,,,w,w,,w,,,n,,,e
,,,t,,,,,p,,b,,,p,,,,,,n,,d,e
,s,,t,,,c,,,,,s,,,,,,,,n,,,e
,,,,,,,,,,?,,,,,p,,t,,,,,e
,,,,,f,,,,t,,,,w,w,p,,,,,,,e
,,g,,n,f,,,,,,f,,,,p,,o,,,,,e
,s,,,,,c,,,,,k,,,w,,w,o,,w,,,p
,,,f,,f,,,,,?,,,,p,p,,,e,w,,p,p
,,y,,,,,b,,,,,s,w,,,,o,p,,,,e
,f,,f,,f,,,,,b,,k,b,,,w,,,h,,d,p
,,,f,,,,,,,?,,,o,,,o,o,,,,,e
,,n,f,,,,,,,,s,,,,p,w,,e,w,,p,p
f,,w,,,,,,,t,e,s,,,,,,,,,,g,e
,,,f,,f,,,,,,,,,,p,w,,,h,,,p
,y,,,,,c,b,,,b,,,b,,,,,,,,g,p
x,,,f,s,,,,,,,,,w,,,w,o,e,,,d,p
,,e,,,,,,,,,,k,,,,,o,,w,,,p
,y,,f,s,,c,,b,t,?,k,,,,,,,,,v,l,p
,,n,,,f,,b,,,,s,s,,w,,,,e,k,a,,e
x,,,,,,c,,b,t,,,,,,p,,,,,,d,p
,s,,t,,f,,,h,,,,,,,p,w,,,,s,u,p
k,,e,f,,f,c,,b,t,?,,,,,p,,,,w,,,p
,s,n,,,f,,b,k,,e,f,f,,,,,,,,,g,e
f,,g,,f,,,b,,,,,,p,n,,w,,,h,,,p
f,,,f,f,,,,,t,,,s,,,p,,,,,v,,p
x,f,n,,,,,,p,t,e,,,,,,,o,,n,,,e
,f,,,,f,c,,,,,,k,,,,,,l,,y,g,p
x,,,,,,,,,,,,,,p,,,,,,,p,p
x,,,,,,c,,,,,,s,,,,,,,,v,,e
,,,,,,c,n,,t,,,s,,,p,,,,,v,,p
x,,,,,,,,,,,s,,g,,,,o,,,,d,e
,,e,,,,,,,t,?,s,,,w,,,o,e,,v,,p
k,,,f,y,,c,,,,,,k,,,,w,,,,,,p
x,,,f,,f,,,,,?,k,,,,,,,,,,,e
,,y,,,,,,,e,,,,,w,p,,,,k,,m,e
,s,,,a,,,b,g,,c,,,,,,,o,,,,,e
f,f,,,,,,b,,,,,,,,p,,,,h,,,p
,,n,f,,,,,b,t,,,,,,p,,,,,v,,p
,y,,,,,,,,e,c,,,,w,,,o,p,,s,,e
x,,,t,,,,n,n,,e,,,w,,p,,,,,,,p
,,,,,,,,,,,,,,,,,,l,,,g,p
,,,,f,,,,,e,,,k,p,,p,,,l,h,y,,p
,f,g,,,,,,,,,k,,,,,,,,,,,p
,,,f,,,c,n,,,,,,,,,,o,,,s,,p
,,,,,,,,k,,e,,,,,,,o,,,,g,e
,,g,,,f,w,,,,,,s,,,,w,o,,,s,g,e
x,,,t,,,c,,n,,,,s,,,,,,,,,,e
f,,,,,f,,,,,,,,,,,,o,,,,,p
,,,,,,,,,e,,s,,,w,p,,t,,,,,e
x,,,,f,,,,,e,,,k,,,,,o,,,,,p
,,g,,,,,n,n,,b,,s,,,,,,,,,,p
,,,,,f,c,,b,t,?,,,,p,p,w,,,,,,p
,,e,t,,f,c,,,,,,,,,,w,,,,y,d,e
,,,,s,,c,,,,,,s,,,,,,e,,,p,p
,,,,n,,,b,,,,,s,e,,p,w,t,,,,,e
x,,,,,,w,,,e,,,,,,,,,,,s,,p
,y,,,,f,,,,,,,,,w,,,t,,w,,,e
,,,t,,f,,,p,,,,,w,,,,,,,,,p
,,,t,f,,c,,,,,f,,w,w,,,o,,h,,,p
,,,,,,,n,,,,s,,,,,,,,,c,l,p
,s,,,,,,,n,,,,,,,,,,p,n,n,m,e
,,g,f,,,,,p,e,,s,,,,,,,p,w,n,g,e
,,n,,,f,,n,,t,?,,,,,,w,,,,v,,p
,,,,,,,b,,,,,,,,p,w,,p,,,g,e
,,,,,,,b,,,b,,,b,n,,,,l,,v,p,p
,,,,,,,,,,,,,,,,w,,,,,,e
,,,,s,,c,,,,,,k,,w,,w,o,,,,,p
,,,,,,,,b,t,,,,,p,p,,,,,v,,p
,,,,,,,,p,,,,,g,w,p,w,o,,,,,e
,,,,,,,n,,,,,,,,,w,,,w,,,p
f,s,,,,f,,,,,?,,,p,,,w,,,,v,d,p
,f,g,,n,,w,,,e,,k,,w,,,,,,w,,,e
,,,,,,,,,,?,,,,,,,,,,v,,p
,f,,,,,,,,t,,s,,,,,,,,k,,d,e
,,w,t,,,,,,e,,,,,,p,,,,n,,,e
x,,,,,f,,,p,,,,,p,,,,,,,v,,e
,s,n,f,s,,,,b,t,?,k,k,,p,,,,,w,,d,p
f,,,,n,,c,b,,t,,,,,,,,o,,,y,,e
,f,g,,n,f,c,,,,,,,,,p,,o,,,,,e
,,e,,,,,,,,?,,,,p,p,w,,e,,,,p
,f,,,,,,b,,,,s,,w,g,p,,,,,,,e
f,,g,t,,f,,,,,b,,f,,,,,,p,,,,p
,f,y,,,,c,,,e,,,,,b,,,,,,v,,p
,s,,,f,,c,,b,,,,,w,,,,,e,w,,,p
,,e,,,,,,,t,,,,,,,,,,,v,d,p
k,s,w,,,f,w,,,e,,,,,,,,t,,w,n,g,e
x,,,,f,,,,,t,,,k,,w,,w,o,,,,,p
f,,e,,,f,,,,t,,,,,,,,,e,w,,,p
,y,,f,f,,c,,,,,,s,p,,p,,,e,,,,p
,,w,,,,,,,,c,,s,,,,,,p,,n,,e
,,,f,,,,,,,?,,,,,,,t,,,,,e
,,,,f,,,b,,,,,f,w,,,w,o,p,,,g,p
,s,g,,,,,,,e,,,,,,,w,,,,n,,e
,f,,,,,,b,,,b,k,k,,,,,o,,h,y,,p
,,g,,,,w,,,,,,,,w,,w,,p,w,s,,e
x,,n,,,,,,,,e,,,,,,,,,k,s,,p
f,,,,n,,,,u,,,,,g,,p,w,,p,,,,e
,y,,,n,,,b,,,,,,p,w,p,,o,,n,,,e
,y,,t,,,,,,t,b,s,,,p,,,,p,,,,e
,f,,,,,c,,,,,,s,,,,w,o,p,n,,,e
,s,,,,,,,n,e,e,s,s,w,,,,,,,,,p
,,,,,,,,,,,,s,p,,,w,,,,,d,e
,,w,,,,,,,,,,,w,,,,,,,,g,e
,,n,t,,,,,,,,s,,w,,,,,p,,s,,p
x,,,,,,,b,,,e,f,,,w,p,,,,,,g,e
,,,,,,c,,,,,,,,,,,,,n,v,,e
,y,,,,f,c,,,,,,s,p,,p,w,o,,w,v,l,p
,s,,,,,,,,,b,f,,,w,p,,,,,,u,p
f,s,,,,,,n,,,,,,,p,p,,o,e,,,,p
x,,n,,,f,,,n,,e,,s,,,,w,,,,,,e
x,,,,f,,,,,t,,k,,w,w,,w,o,,w,v,,p
,,b,,f,,,b,,,,,,w,w,p,,,p,h,v,,p
,y,n,,,,,b,,,,,s,g,,,,o,,,,,e
,y,,,n,,c,,,,?,,,,,,,,,,c,,e
x,,,,,,,,,,,,,,,,,o,,,,p,p
,y,,f,s,,,n,,,?,,k,,p,,,,e,w,,,p
,y,,,f,,c,,,,,k,,,,,w,,e,w,v,,p
,,,f,,,w,,p,,?,,,,w,p,,,,w,,,e
,,e,f,s,,,,,,,,,,,,w,,,,,p,p
,,e,,,f,,,,,,,,,g,,,o,,,,,e
x,s,,,,,,,,t,,,s,,,,,o,p,,,,p
,s,,,,f,c,b,,,,s,,,w,,w,,p,,,,e
,,,f,,,,,,,,,,,,,,t,,,,,e
f,,n,,,,,n,b,,,,k,,,,w,,,w,,p,p
,s,,f,c,f,,,,e,,,,,,p,,o,,n,s,,p
,,,f,,,,,h,,,,,n,,,,,l,,,,p
x,y,,t,,,,,,,b,s,,,,,,,,,y,,e
x,,,,f,,,,p,,,,,,,p,,o,,,,p,p
,,,,f,f,,n,b,t,?,,,,,,,,,w,,,p
f,,,t,,,,b,w,,,,,,,,w,o,p,n,,,e
,y,n,,f,f,c,n,,,,s,s,w,,,w,,,,v,,p
,,,,f,,,n,,,,k,,,p,p,,,,,,p,p
f,y,,,,,c,,,,,,,,,,,o,,,,,p
f,,,,n,,,b,,,,s,s,,,,,,,,,d,e
x,,,f,,f,,,,e,?,,,,,,,,,,n,g,e
x,,y,,,,,b,,,,,,,,p,,,p,,,p,e
,,,,a,f,,,,e,,,,w,,,w,o,p,,y,,e
,,,t,p,,,n,,,,s,,,,p,w,o,,,,,p
,,y,,,f,,,,e,,,y,,,,w,o,,,,,e
,y,,,n,f,,,w,,,,,e,e,p,w,,e,,,,e
,,,,,,c,b,w,,,s,,,,p,,,p,,s,m,e
,,,,,,,,,,,,,,,,,,,,v,,p
,,,,,,,,b,,?,k,,,p,,,,,w,,d,p
f,,,,f,,,,p,,b,,,n,,,,,,h,,g,p
,,,,,,c,,,t,,,,,,p,,o,,,y,,e
k,,,,,f,c,n,,,?,,k,,,,,,e,,,,p
,,,t,,,,b,w,e,c,,,w,,,,o,,,s,,e
x,s,,,,,,,,,,,,,,,,,,,,,e
x,s,,f,,,c,,,,,s,,,w,p,,o,,,s,,p
,,,t,n,,,,w,e,?,,,e,,p,,,e,,,w,e
,,,,n,,c,,w,,b,s,,w,,,,,,,v,,p
,,,,,,,,,,,,f,,,,,,,,,,e
,,,,,f,,,,t,,,,w,,,,,,,y,,e
,,,,,,,n,,t,,,,,,p,,,,,,,p
,s,,f,,a,,,,,,,,,,p,,,p,,v,l,e
,s,,t,,f,,,,,e,s,,,,,w,,p,,,u,p
x,f,,,n,,,,,,e,,,,w,p,,,e,,,,e
,s,,,n,,w,,,t,,f,,w,,,,,e,n,,g,e
f,,e,,,,,,w,,,,,,,,,,,,y,d,e
,,,,,,,,,,,,,,,,,,,,,,e
,,g,,,f,c,,,,b,s,s,w,w,p,w,,,n,v,,p
,s,,f,n,,,,,e,,,,,,,,,,,n,g,e
f,,,,,f,c,n,,,,s,,,,,w,,p,k,,,p
f,f,n,,,,w,,,,,,,,w,p,,o,,,,,e
b,,,f,n,f,w,,,,,,,,,,,,,w,,,e
x,,,,,,,,,,b,,,,,,w,,l,h,v,g,p
,,n,f,,,w,b,,t,,,,,,,,,,,,,e
