cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,class
x,f,n,t,n,f,c,b,u,t,b,,s,g,w,p,w,o,p,k,v,d,e
x,f,w,f,n,,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g,e
f,y,p,,n,,c,b,,e,?,s,s,e,e,p,w,t,e,w,c,w,e
x,f,e,t,n,,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d,e
f,y,g,t,n,f,c,b,w,,b,s,s,p,w,p,w,o,p,k,y,d,e
x,y,g,,n,f,c,b,u,t,b,s,s,g,p,p,w,,p,k,v,d,e
f,y,y,,f,f,c,b,g,e,b,k,k,n,,p,,o,l,h,v,d,p
x,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u,p
f,,n,f,n,,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g,e
f,f,n,,n,f,c,n,p,e,e,s,s,w,w,p,w,,p,k,y,u,e
x,s,n,f,n,f,w,b,p,t,,f,f,,w,p,w,,e,n,a,g,e
x,s,w,t,a,f,c,b,,e,c,s,s,w,w,,w,o,p,k,s,g,e
,y,e,t,n,f,,b,u,t,b,s,s,p,g,p,w,o,,n,y,d,e
f,s,e,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,,w,c,w,e
b,s,w,f,n,f,w,b,p,e,?,,k,w,,p,w,t,p,,s,g,e
,y,e,f,s,f,c,n,b,t,?,,s,w,w,p,w,o,e,w,v,d,p
x,y,e,f,y,f,c,n,b,t,,k,k,p,w,p,w,,e,w,v,d,p
x,s,e,f,y,f,c,n,b,,?,k,s,w,p,p,w,o,e,w,v,l,p
x,y,g,t,n,f,c,b,n,t,,,s,,w,p,w,o,p,k,v,d,e
f,s,,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g,p
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,,,u,p
f,y,w,t,,f,c,n,p,e,e,s,,w,w,p,w,o,p,n,v,u,p
x,s,y,t,l,f,,b,w,e,,s,s,w,w,p,w,o,p,k,n,g,e
x,y,g,f,f,f,c,b,h,e,b,k,k,b,p,,w,o,l,h,v,g,p
x,y,n,t,l,f,c,b,p,e,r,s,y,w,,p,w,,p,k,,p,e
,f,e,t,n,f,c,b,n,t,b,s,s,,w,p,,o,p,,v,,e
f,f,,f,n,f,w,b,p,t,e,s,s,w,w,,w,o,e,k,s,g,e
k,y,e,f,y,f,c,n,b,t,?,s,k,,w,p,w,o,e,w,v,p,p
x,s,e,f,s,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,v,p,p
x,s,,,a,f,w,n,p,t,,s,s,,w,p,w,o,p,u,v,d,e
k,s,n,f,y,f,c,n,b,t,?,s,,w,w,p,,o,e,w,v,p,p
f,y,g,t,n,f,c,,p,t,b,s,s,,p,p,w,o,p,k,v,,e
f,f,g,f,n,f,,b,n,t,,s,f,w,w,,w,o,e,k,,g,e
x,,g,f,f,f,c,b,g,e,b,k,k,p,p,p,,o,l,h,,,p
f,y,y,f,f,,c,b,g,e,b,k,k,n,n,p,,o,l,h,,,p
x,s,g,f,n,f,,b,g,e,,s,k,w,w,p,w,t,p,w,n,g,e
,f,n,f,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,n,s,g,e
f,f,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,,a,g,e
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,p,p
x,f,g,t,n,f,c,b,,,b,s,,w,,p,w,o,,k,y,d,e
x,f,g,f,f,,,b,p,e,b,,k,p,p,p,w,o,l,h,v,d,p
f,,y,f,f,f,c,b,h,e,b,k,k,p,b,p,w,,l,,y,d,p
x,f,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d,p
k,s,,f,n,f,w,,g,e,?,s,k,w,w,,w,t,p,w,s,g,e
x,y,y,f,f,f,c,b,h,e,b,k,,b,p,p,w,o,l,h,y,p,p
f,y,e,t,n,f,c,b,u,t,b,,s,w,w,p,w,o,p,k,v,d,e
f,y,w,t,,f,c,n,w,e,e,s,,w,w,p,w,o,p,n,s,u,p
x,s,n,f,n,f,,b,h,t,e,s,f,w,w,p,w,o,,,s,g,e
f,y,y,f,f,f,c,b,g,e,b,k,k,p,b,p,w,o,,h,y,p,p
f,y,g,f,f,f,c,b,h,e,b,k,k,,n,p,,o,l,h,v,d,p
b,s,n,,n,a,c,b,o,e,?,s,s,,,p,o,o,p,y,c,l,e
x,s,n,f,,f,w,b,,t,e,f,s,w,w,p,w,o,e,k,s,g,e
x,f,n,t,,f,c,b,p,t,b,,s,w,w,p,w,o,p,n,v,d,e
x,y,y,f,,f,c,b,,e,b,k,k,b,b,p,w,,l,h,v,d,p
k,f,g,f,n,,,b,g,e,?,k,k,w,w,p,w,,p,w,s,g,e
x,f,w,t,a,f,w,n,p,t,b,,s,w,w,p,w,o,p,u,v,d,e
f,f,g,f,n,f,c,n,g,e,e,s,s,,w,p,w,o,p,k,,,e
x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,,k,s,u,p
f,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,,p
,s,n,f,n,a,c,b,y,,?,s,,o,o,p,n,o,p,b,c,l,e
k,y,n,f,y,f,c,n,,t,?,k,s,w,,p,,o,e,w,v,d,p
x,s,n,f,y,,,n,b,t,?,s,s,p,p,p,w,o,e,w,v,l,p
x,s,p,f,c,f,w,n,u,,b,s,s,w,w,p,w,o,p,k,s,d,p
x,f,y,f,f,f,c,b,p,e,b,,k,n,p,p,w,o,l,h,v,,p
x,y,y,t,a,f,c,b,w,e,c,s,s,w,w,p,,o,p,k,s,g,e
x,,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,,e
f,,g,t,f,f,c,b,w,t,b,f,s,w,w,p,w,o,p,h,s,g,p
f,y,g,t,n,f,,b,u,t,b,s,s,,w,p,w,o,p,n,,d,e
f,s,e,f,f,f,c,n,,t,?,s,s,w,,p,w,o,e,w,v,l,p
k,s,e,f,y,f,c,n,b,t,?,k,s,p,p,p,w,,e,w,v,p,p
x,y,w,t,p,f,,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g,p
x,y,e,t,n,f,c,b,p,t,b,s,s,g,w,p,w,o,p,,y,d,e
f,y,g,f,f,,c,,h,e,b,k,,,n,p,w,o,l,h,v,,p
x,y,e,t,,f,c,b,p,t,b,s,s,w,,,w,o,p,k,v,d,e
x,s,n,t,p,f,c,n,p,e,e,s,s,,w,p,w,o,p,k,s,u,p
x,s,n,f,n,a,c,b,o,e,?,,s,o,,p,n,o,p,b,c,l,e
f,y,e,f,y,,c,,b,t,?,s,k,p,w,p,w,o,e,w,v,l,p
f,y,y,,f,f,c,b,g,e,b,,k,n,b,,w,o,l,h,v,g,p
f,f,,t,,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,v,d,e
x,f,,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,,h,v,,p
k,s,n,f,n,a,c,b,,e,?,s,s,o,,p,o,o,p,,c,l,e
x,y,n,t,,f,,b,n,e,r,s,,w,w,p,w,o,p,k,y,,e
x,y,w,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,m,e
f,f,y,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,v,g,p
x,y,n,,n,,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d,p
s,f,n,f,n,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,f,g,f,f,f,c,b,g,e,b,k,k,,p,p,,o,l,h,y,d,p
x,f,w,f,n,f,w,b,h,t,e,s,,w,w,p,w,o,e,k,,g,e
x,s,e,f,f,f,c,n,,,,k,k,w,p,,w,o,e,w,v,p,p
x,f,n,t,n,f,c,b,n,t,b,s,,w,g,p,,o,,k,y,d,e
x,f,w,t,l,f,w,n,n,t,b,s,s,w,w,p,w,o,p,u,,d,e
f,s,w,f,n,f,w,b,k,t,,,s,w,w,p,w,o,e,k,a,,e
x,f,w,f,n,f,w,b,n,t,e,s,s,w,w,p,w,o,e,k,,g,e
,y,,t,,f,c,b,w,e,b,s,s,w,w,p,w,t,p,,y,p,e
x,f,e,t,n,f,c,b,p,t,b,s,s,p,p,p,w,,p,n,v,d,e
f,s,e,f,f,f,c,n,b,t,?,,s,p,p,p,w,o,e,w,v,d,p
,y,g,f,f,f,c,b,g,e,b,k,k,b,,p,w,o,l,h,y,p,p
x,y,,t,,f,,b,w,t,b,s,s,,g,p,w,o,p,k,y,d,e
x,f,e,t,n,f,c,b,p,,b,s,s,,p,p,w,o,p,,v,d,e
x,f,n,f,n,f,w,b,k,t,e,f,f,,w,p,w,o,e,k,,g,e
x,y,,t,n,f,c,b,n,t,b,s,s,w,p,p,w,o,p,k,v,d,e
x,f,e,t,n,f,c,b,u,t,b,s,s,w,g,p,w,o,p,k,y,d,e
x,s,y,t,,f,c,b,g,e,c,s,s,w,w,p,,o,p,n,n,g,e
f,y,,,n,f,c,b,g,,b,s,,w,w,,w,t,p,r,v,m,p
k,s,e,f,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,,v,,p
b,y,w,t,l,f,c,b,k,e,c,,s,w,w,p,,o,p,k,s,m,e
,s,n,f,f,f,c,n,b,t,?,k,s,p,w,p,w,,,w,v,d,p
b,,n,f,n,,c,b,n,e,?,s,s,o,o,p,o,o,p,n,c,l,e
f,y,y,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,,v,,p
b,s,y,t,a,f,,b,n,,,s,s,w,w,p,w,o,p,k,s,,e
f,f,g,,f,f,c,b,p,e,b,k,k,p,b,,w,o,l,h,v,,p
x,f,g,f,f,f,c,b,h,e,b,k,k,p,b,p,w,o,l,h,y,g,p
,,y,t,,f,c,b,,e,c,s,s,w,w,p,w,o,,n,n,g,e
k,s,n,f,,a,c,b,y,e,?,s,s,o,o,p,n,o,p,o,c,,e
f,f,n,f,n,f,w,b,k,,e,f,f,w,w,p,w,o,e,k,s,g,e
b,f,w,f,n,f,w,b,p,e,?,k,k,w,w,p,w,t,p,w,n,g,e
f,f,y,f,f,f,c,b,p,e,b,,k,n,b,p,w,,,,,,p
b,s,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,s,g,e
,y,y,f,,f,c,b,g,e,b,k,,p,b,p,w,,l,h,v,d,p
f,f,e,t,,f,,b,u,t,b,s,s,p,w,p,w,o,p,k,y,,e
k,s,,,f,f,c,n,b,t,?,k,,,w,p,w,o,e,w,v,p,p
x,y,e,t,n,f,c,b,w,t,,s,s,p,g,p,,o,p,k,y,d,e
x,f,g,f,,f,w,n,n,e,b,s,s,w,w,p,w,,p,n,s,d,p
x,y,y,f,,f,c,b,h,e,b,k,k,n,p,p,w,,l,h,v,d,p
x,y,n,t,n,f,c,b,,t,b,s,s,w,g,,w,,p,n,,d,e
k,,e,,,f,c,n,,t,?,k,s,w,w,p,w,o,e,w,v,d,p
f,s,n,f,s,f,,n,,t,?,k,k,w,p,p,w,o,e,w,v,l,p
b,y,y,,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,,t,n,f,c,b,w,e,?,,s,w,e,p,w,t,e,w,c,w,e
k,y,e,f,m,a,c,,w,e,c,k,y,c,c,p,w,n,n,w,c,d,p
k,s,e,f,f,f,c,n,b,t,,k,s,p,p,,w,o,,w,v,d,p
x,s,n,f,,f,c,n,b,t,?,k,s,p,w,p,w,o,e,w,v,p,p
f,s,p,,,f,c,b,e,e,?,s,s,w,,p,w,,e,w,c,w,e
x,y,g,f,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g,p
x,s,n,t,p,f,c,n,k,e,e,s,s,w,,,w,o,p,k,s,g,p
,,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,y,d,e
x,y,g,,n,f,c,b,p,,b,s,s,,g,p,w,o,p,k,v,d,e
b,,w,t,l,f,c,b,,e,c,s,s,,w,p,w,o,p,k,s,m,e
,y,y,f,f,f,c,b,,e,b,k,k,n,b,p,w,o,l,h,v,p,p
f,f,,t,a,f,w,n,,t,b,,s,w,w,p,w,o,p,n,v,d,e
f,f,w,f,n,f,w,b,k,t,e,f,f,,w,p,w,o,e,n,s,g,e
x,y,e,t,n,f,c,b,p,t,b,s,s,p,,p,w,o,p,n,y,,e
f,,g,t,n,f,c,b,u,t,b,s,,p,g,p,w,o,p,n,v,d,e
f,,e,t,n,f,c,b,p,t,b,s,s,w,g,p,w,o,p,n,v,d,e
,s,p,f,c,f,w,n,n,e,b,s,s,w,w,p,w,o,p,,v,d,p
x,y,n,f,f,,c,n,b,,?,,s,w,w,p,w,o,e,w,v,p,p
k,s,e,f,s,f,c,n,b,t,,s,k,p,w,p,,o,e,w,v,p,p
f,y,r,f,n,f,c,n,h,e,?,,f,w,w,p,w,o,f,h,y,d,e
x,,y,f,,f,c,b,,e,b,k,k,p,p,p,w,o,l,h,,g,p
,f,y,f,,f,c,b,p,e,b,k,k,p,n,p,w,o,,h,v,d,p
,s,w,t,p,f,c,,k,e,e,,s,w,w,p,w,o,p,n,v,u,p
k,y,e,f,f,f,c,,b,,?,k,k,p,p,p,w,o,e,w,v,l,p
x,f,,t,n,,c,b,,t,b,s,s,,w,p,w,o,p,k,,d,e
f,,w,f,n,f,,b,n,t,e,,f,w,w,p,w,,,k,s,,e
f,f,w,f,n,,w,b,n,t,e,s,f,,w,p,w,o,e,n,s,g,e
,y,e,f,f,f,c,n,b,t,?,s,k,p,w,p,w,o,,w,v,d,p
x,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,p,p
f,s,,f,s,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p,p
x,s,g,t,,f,,b,h,t,b,f,s,w,w,p,w,o,p,h,v,u,p
k,y,n,f,f,f,,n,b,t,?,k,k,p,p,p,w,,e,w,v,p,p
x,y,g,f,f,f,c,b,g,e,b,k,k,n,,,w,o,l,h,v,p,p
x,y,n,f,,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,l,p
k,s,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,d,p
b,y,p,t,n,f,c,b,r,e,b,s,,,w,p,w,t,p,r,v,g,p
x,s,g,f,n,f,w,b,p,e,?,s,k,w,,p,w,t,p,w,s,g,e
k,s,e,f,s,,c,,b,t,?,k,k,p,,p,,o,e,,v,p,p
f,s,n,f,n,a,c,b,o,,?,s,s,o,o,p,n,o,p,n,c,l,e
x,s,w,f,n,f,,,k,t,e,,s,w,w,p,w,o,e,k,a,g,e
x,y,n,f,y,f,c,n,,t,?,k,s,p,p,p,w,o,e,w,v,l,p
f,f,y,f,f,f,c,b,h,e,b,k,k,b,n,,w,o,l,h,y,d,p
f,y,g,f,f,f,c,b,p,e,b,k,k,b,p,p,w,o,l,h,y,p,p
x,s,y,t,l,f,c,b,w,e,,s,s,,w,p,w,o,p,n,n,m,e
x,s,n,f,n,f,w,b,p,t,e,,f,w,,p,w,,,k,s,g,e
b,f,g,f,n,f,w,b,g,e,?,s,s,w,w,,w,t,p,w,n,g,e
x,f,e,,n,f,,b,p,t,b,s,s,w,p,p,w,o,p,n,y,d,e
f,y,n,f,,f,c,n,,,?,s,,p,p,p,w,o,e,w,v,l,p
,y,e,f,y,f,c,n,b,t,,k,k,w,p,p,w,o,e,w,v,p,p
f,f,,t,n,f,c,b,w,t,b,s,s,p,p,p,w,o,p,k,v,d,e
x,s,e,f,y,f,c,,b,t,?,k,k,p,,p,w,o,e,w,v,l,p
b,,y,t,a,f,c,b,k,e,c,s,,w,w,p,w,o,p,n,s,g,e
,f,g,t,n,f,c,b,n,t,b,s,,g,w,p,w,o,p,n,v,d,e
f,f,y,f,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,d,p
k,s,n,f,,,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,l,p
b,f,w,f,n,f,w,b,p,e,?,s,s,w,w,p,w,,p,w,n,,e
f,f,y,f,f,f,c,b,p,e,b,k,k,p,,p,w,o,l,h,y,g,p
k,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,p
,s,n,f,s,f,c,n,b,,?,s,k,,w,,w,o,e,w,,d,p
k,y,n,,y,f,c,,b,t,?,k,k,p,,p,w,o,e,w,v,l,p
x,f,g,t,n,,c,b,n,,b,s,s,g,p,p,w,o,p,k,v,d,e
x,f,g,t,n,f,c,,u,t,b,s,s,p,g,p,w,o,p,k,v,d,e
x,y,y,f,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,,p
x,y,g,t,n,f,c,,w,,b,,,g,w,p,w,,p,k,y,d,e
x,f,g,f,f,,c,b,g,e,,k,k,p,n,p,w,o,l,h,y,g,p
f,s,e,f,y,f,c,,b,t,,k,s,w,w,p,w,o,,w,v,d,p
x,s,e,f,y,f,c,n,b,t,?,k,k,,w,p,w,o,e,w,v,l,p
f,s,e,f,s,f,c,n,b,t,?,s,k,p,w,p,w,o,e,w,v,p,p
x,f,g,t,n,f,c,b,p,t,b,,s,p,p,p,w,o,p,n,y,d,e
x,f,y,,f,f,c,b,p,e,b,k,,b,p,p,,o,l,h,v,g,p
x,y,n,f,s,f,c,n,b,,?,,k,p,p,,w,o,,w,v,d,p
x,s,b,t,f,f,,b,h,t,b,f,s,,w,p,w,o,p,h,v,u,p
b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,g,e
,y,y,f,f,f,c,b,p,,b,k,k,n,,p,w,o,l,h,v,d,p
f,f,w,f,n,f,w,b,k,t,e,f,s,w,w,p,w,o,e,k,a,g,e
x,y,e,t,n,,c,b,w,t,b,s,s,p,p,p,w,,p,k,v,d,e
x,y,e,t,n,f,c,b,,t,,s,s,,g,p,,o,p,k,v,d,e
x,s,,t,p,f,,n,k,e,e,,s,w,w,p,w,,p,k,s,g,p
x,y,y,t,a,f,,b,g,e,c,s,s,w,w,p,w,o,p,n,s,m,e
b,y,,t,l,f,c,b,n,e,c,s,s,w,,p,w,o,p,k,s,m,e
f,y,n,f,s,f,c,,b,t,?,k,s,w,p,,w,o,e,w,v,l,p
x,y,e,t,n,f,c,b,w,t,b,s,s,g,p,p,w,o,p,n,v,d,e
f,y,n,f,n,f,c,b,,e,b,y,y,n,n,p,w,t,p,w,y,p,e
k,s,n,f,s,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p,p
k,s,e,f,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,p
f,y,n,f,y,f,,n,b,t,?,k,k,,p,p,w,o,e,,v,d,p
f,s,n,f,n,f,w,b,h,t,e,,s,w,w,p,w,o,,k,a,g,e
f,s,n,f,f,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,d,p
x,s,n,f,n,,c,b,w,e,b,y,y,n,n,p,w,t,p,w,y,p,e
b,y,w,t,a,f,,b,n,e,c,s,s,w,w,p,w,o,p,k,s,g,e
k,y,,f,m,f,c,b,w,e,c,,y,c,c,p,w,n,n,w,c,d,p
f,y,g,f,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,y,,p
x,y,e,t,n,f,c,b,p,t,b,s,s,w,w,p,w,o,p,,v,d,e
k,s,n,f,y,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,d,p
x,y,g,f,f,f,c,b,g,e,b,k,,b,b,p,w,o,l,,y,d,p
x,s,n,f,n,f,w,b,p,t,e,s,f,w,w,,w,o,e,k,,g,e
f,y,,t,p,f,c,n,n,e,e,s,s,,w,,w,o,p,k,,u,p
,f,g,f,f,f,c,,p,e,b,k,,b,b,p,w,o,l,h,y,p,p
x,s,n,f,y,f,c,n,b,t,?,k,s,w,w,p,,o,e,w,,l,p
x,s,y,t,a,f,c,b,k,e,c,s,s,w,,p,w,o,p,,s,m,e
b,y,w,t,l,f,c,b,g,e,c,s,s,w,w,p,w,,p,k,n,m,e
x,f,n,t,n,f,c,,w,t,,s,s,p,g,p,w,o,p,k,v,d,e
k,y,y,f,n,f,c,n,w,e,?,,y,w,n,p,w,,,w,v,d,p
x,y,n,f,s,f,c,,b,t,?,k,s,w,p,p,w,o,e,w,v,p,p
s,f,,f,n,,c,n,k,e,e,s,s,w,w,p,w,o,p,k,y,u,e
x,s,w,,n,f,w,b,n,t,,s,s,w,w,p,,o,e,k,s,g,e
f,f,y,f,f,f,c,b,g,e,b,k,k,,b,,,,l,h,y,,p
f,y,g,f,f,f,c,b,g,e,b,k,k,p,,p,w,o,l,,,d,p
,s,e,f,y,f,c,,b,t,?,k,k,,p,p,w,o,e,w,v,l,p
f,,g,t,n,f,c,b,u,,b,s,s,g,g,p,w,o,p,n,v,,e
b,s,y,t,a,,c,b,n,e,c,s,,w,,p,w,o,p,k,,g,e
b,y,y,t,l,f,c,b,n,e,c,s,s,w,w,p,w,,p,k,s,g,e
f,y,e,t,n,f,c,,p,t,b,s,s,w,g,p,w,o,p,k,v,,e
x,s,e,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,p
x,,w,f,n,f,w,b,p,,e,f,f,w,w,p,w,o,e,n,s,g,e
x,f,g,f,n,f,c,,g,e,e,s,s,w,w,p,w,,p,k,y,,e
b,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g,e
x,y,g,t,n,f,c,b,p,t,b,s,s,p,p,p,w,o,p,,y,d,e
x,s,y,t,a,f,c,b,g,e,,s,s,w,w,p,w,o,p,n,n,g,e
x,f,g,f,n,f,w,b,,,?,,,w,w,p,w,t,p,w,s,g,e
x,y,n,t,n,,c,b,u,t,b,s,s,w,w,p,w,,p,n,v,d,e
x,s,g,,n,f,w,b,p,t,e,f,f,w,w,p,w,o,,,a,g,e
x,s,e,f,s,f,c,n,b,t,?,,,w,w,p,w,o,e,w,v,l,p
f,s,,f,f,f,c,n,b,t,?,s,s,,p,p,w,o,e,w,v,p,p
b,y,y,t,a,f,c,b,g,e,c,,s,w,w,p,w,o,p,,n,g,e
f,f,g,f,f,f,c,b,h,e,b,k,k,b,n,p,w,,,h,y,d,p
k,,n,f,n,a,c,b,y,,?,s,s,o,o,p,o,o,p,,v,l,e
x,,n,f,y,f,c,n,b,,?,s,k,w,p,p,w,o,,w,v,p,p
,s,,,n,f,w,b,p,t,e,s,s,w,w,p,w,o,e,k,s,g,e
,y,g,,,f,c,b,p,e,b,k,k,,p,p,w,o,l,h,y,d,p
f,y,,f,f,f,c,b,,e,b,k,k,b,p,p,,o,l,h,y,,p
x,s,e,f,s,f,,n,b,t,?,k,,w,,p,w,o,e,w,v,d,p
x,s,e,f,s,f,c,n,,t,?,s,k,w,w,p,w,o,e,w,v,p,p
k,y,e,,s,f,c,n,b,t,?,k,s,p,,,w,o,e,w,v,l,p
f,f,n,,n,f,w,b,p,t,e,s,s,w,w,p,w,o,,,a,g,e
x,s,n,f,f,f,c,n,b,,?,k,s,p,p,p,w,o,e,w,v,d,p
f,s,w,t,f,f,c,b,h,t,b,,s,w,w,p,w,o,p,h,s,u,p
k,s,,f,f,,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,l,p
f,s,,f,n,f,w,b,k,t,e,f,f,w,w,p,w,,e,,a,g,e
f,f,g,f,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,d,p
f,y,e,,,f,c,n,,t,,s,s,p,w,p,w,o,e,w,,l,p
x,f,n,f,n,f,w,b,,t,e,f,f,w,w,p,w,,e,n,s,g,e
,f,,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,g,p
x,s,n,f,f,,c,n,b,t,?,s,s,w,p,p,w,,e,w,v,p,p
x,f,e,,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,v,d,e
x,y,n,f,,f,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d,p
