LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,SEX,default payment next month
,,,,,,,,,,434.0,,,,3.0,3.0,,0.0,0.0,,,0.0,,1
,54.0,,390.0,,,,,0.0,1560.0,,0.0,0.0,,,,-1.0,,,,,0.0,1.0,1
210000.0,30.0,,99506.0,100117.0,101212.0,,,4900.0,,,4500.0,,,1.0,2.0,,0.0,,,,0.0,1.0,0
,,,,0.0,24756.0,,,,,,899.0,,,,,,,-2.0,,,,,0
,29.0,8951.0,,,,,,,,,0.0,,,,,,,,-2.0,,-2.0,,1
460000.0,,17919.0,13041.0,,,,2732.0,,,,,,,1.0,2.0,0.0,,,-1.0,,,,0
,55.0,,,,,5474.0,,,,39278.0,6000.0,,,1.0,,-1.0,,-1.0,,-1.0,,,0
,42.0,70730.0,,,50756.0,50843.0,,,,,2000.0,,,,,0.0,,0.0,,,,,0
,,,,,,30042.0,,,,,,,2000.0,,,,,0.0,,,,,0
,,0.0,1386.0,,,,8893.0,1386.0,,198.0,3992.0,5000.0,,,,,-1.0,,,,,,0
,,,,,,39539.0,40454.0,,1908.0,1700.0,3000.0,1700.0,,,2.0,1.0,2.0,0.0,,,2.0,,0
,,4400.0,0.0,1129.0,,,,,,0.0,1000.0,,,2.0,2.0,,,,,0.0,,,1
,,,,,,,,,,,,,,,,,-2.0,-2.0,,,,,0
,,,3908.0,,,,14206.0,,,3521.0,,,,,,,,,,,-1.0,,0
,,,,,,,,,,1000.0,300.0,,,2.0,,,0.0,,,,0.0,,0
,25.0,1088.0,,,,,495.0,1521.0,,,947.0,495.0,,,2.0,-1.0,,,,,,,0
,,204017.0,,63074.0,262317.0,,,,7100.0,,,,6500.0,,,,0.0,0.0,,,,,0
,28.0,,,,,58189.0,57170.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,0
,,,,,48735.0,49925.0,,2000.0,,,,,,,,0.0,,,,0.0,0.0,,0
500000.0,49.0,,396.0,,396.0,,,,,,,0.0,,3.0,,,-1.0,,,,,2.0,1
,47.0,514.0,2392.0,,,,0.0,,148.0,148.0,148.0,0.0,,,,,,-1.0,,,,,1
20000.0,53.0,,,,,,,1600.0,,,,,,,,,,0.0,0.0,,,,0
,,0.0,,,,0.0,,,,,0.0,0.0,,,,,-2.0,,,,,2.0,0
,,,,129247.0,,,,,,,8000.0,10000.0,,1.0,,,,,,,,,0
,,261326.0,264126.0,244115.0,,,258973.0,,,9061.0,19155.0,,9858.0,,,,,0.0,,,,,0
,,18958.0,19427.0,,19449.0,,,1500.0,,1200.0,,0.0,,,,,0.0,,0.0,,,1.0,1
10000.0,,,,10092.0,,10000.0,,,,,302.0,,,3.0,,1.0,,3.0,,,0.0,1.0,0
180000.0,,,,,,,,,,,,,,,2.0,,,,,,,,0
,,0.0,,,,,0.0,,,,,,0.0,,,,,-1.0,,-2.0,,,1
,37.0,4644.0,,,,,,,,0.0,,1278.0,,,,-1.0,,,,,,2.0,0
,,,,,27864.0,,27457.0,,1500.0,1500.0,,,,,,,,0.0,0.0,0.0,,2.0,0
260000.0,46.0,,135.0,0.0,,,,,,,,,,,1.0,-2.0,,,-2.0,,,,0
500000.0,36.0,,,,32050.0,,35207.0,2568.0,2000.0,1285.0,15000.0,,6994.0,,1.0,,,,,,,2.0,0
440000.0,,,,,821.0,,821.0,,,821.0,821.0,,821.0,,,,,,,,,,0
,24.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,-2.0,,-2.0,,,1.0,0
,43.0,,,,8102.0,,5243.0,,0.0,,0.0,182.0,,,,,,,2.0,2.0,,1.0,0
,,50562.0,,,49739.0,,,,,1400.0,,,,,,,0.0,,,0.0,,1.0,0
140000.0,,,,5233.0,,,,,1500.0,,,1100.0,,,2.0,,,0.0,,,,,0
,54.0,,,,205590.0,,,,,,,,,2.0,,0.0,0.0,,,,,2.0,0
,79.0,,,,,,,,,,15800.0,16531.0,15677.0,,,0.0,,,0.0,0.0,0.0,,0
,,,,40859.0,,,,2500.0,,,,20689.0,,,,0.0,0.0,0.0,0.0,,,2.0,0
,,,,,,,,1899.0,,,,0.0,,,,0.0,0.0,0.0,,,,1.0,0
150000.0,,,,101886.0,,100829.0,,,,,,4000.0,,,,0.0,0.0,,0.0,0.0,0.0,,0
,,,173840.0,,,,,,,,0.0,,,1.0,2.0,,2.0,,,,,2.0,1
,,,,,,,27545.0,2000.0,1500.0,0.0,0.0,30000.0,,,,,,,,,,2.0,0
310000.0,,,,,,,,,3000.0,1500.0,500.0,,,1.0,,0.0,,,0.0,,,,0
,,,,,392932.0,394410.0,,,,14000.0,,28000.0,,,,,,,,,,,0
,,133890.0,106928.0,,,,,5022.0,0.0,20000.0,,,,1.0,,,,2.0,0.0,,2.0,,0
,23.0,6988.0,8310.0,10015.0,,9539.0,,1444.0,2000.0,,492.0,,354.0,,2.0,,,2.0,0.0,0.0,,2.0,1
50000.0,35.0,,,,,8442.0,8610.0,45200.0,,,,,,2.0,,,,,0.0,,,,1
300000.0,,,,,,,,,,0.0,,25213.0,92250.0,,,,,,0.0,0.0,0.0,,0
400000.0,,,,,,,,,,,,3301.0,11168.0,1.0,,,-1.0,-1.0,,,,2.0,0
340000.0,35.0,,,,,,,,,,0.0,3031.0,,,1.0,,-1.0,,,,-1.0,2.0,1
,,10051.0,14149.0,21514.0,,,39678.0,5000.0,,5000.0,,,,2.0,,,0.0,0.0,,,,,0
230000.0,30.0,,,,,,,,,7800.0,,,,,2.0,0.0,,0.0,,0.0,,,0
,,34250.0,,,36754.0,,,,,,603.0,,,2.0,,0.0,,,0.0,,,,1
50000.0,,,,,,,50155.0,,,,,,,,,,,,,0.0,,1.0,0
80000.0,28.0,75923.0,,50845.0,36207.0,,15128.0,,2548.0,,,1000.0,,1.0,,,,,,,,1.0,0
,,,20391.0,,,,,,,,678.0,854.0,767.0,,,,-1.0,,0.0,,0.0,2.0,0
,28.0,,,0.0,,,,0.0,,,,0.0,,,,-1.0,,-2.0,,,,,0
,26.0,,,,,,,,,,4030.0,,,2.0,,,,0.0,0.0,,,,0
,22.0,25561.0,26951.0,,,,,,,,,,,2.0,,0.0,,2.0,,0.0,,2.0,0
,,,,,,,,,5300.0,,,2000.0,,,2.0,,0.0,0.0,0.0,,,,1
80000.0,,,,,,30510.0,,,5694.0,,5510.0,,6742.0,,,0.0,,0.0,,0.0,0.0,2.0,0
200000.0,44.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,,,,,,,0
,,1070.0,0.0,,,906.0,,0.0,,,,,,,2.0,,,,-2.0,-1.0,-1.0,2.0,1
,36.0,600.0,600.0,,600.0,600.0,,,,,,0.0,,,,,2.0,,,4.0,,,1
,,150451.0,,,157793.0,,,,,,,,,3.0,,,,,,,,,0
,,,,62511.0,,,,3500.0,,5000.0,3000.0,,,2.0,,0.0,,,0.0,,,1.0,0
,,,,,,24255.0,,,,,,750.0,,1.0,,,0.0,0.0,,0.0,0.0,,0
,,,,5941.0,,,7267.0,0.0,,1300.0,400.0,,420.0,,2.0,,2.0,0.0,,,,,0
,,,,21445.0,0.0,0.0,0.0,,,0.0,,,,2.0,,-1.0,,,,,,,0
,,304867.0,,,292869.0,,,,,,,,,,2.0,,,,,,,2.0,1
,,3900.0,,,,,0.0,,,,4574.0,,,,2.0,,,,-1.0,-1.0,,,0
,43.0,,3552.0,,0.0,,0.0,,,,0.0,,,2.0,2.0,,,,,,,,0
,,,113508.0,,,46425.0,0.0,,5659.0,,,,0.0,,,,,0.0,,0.0,0.0,,0
360000.0,,655.0,,,,,,,,,,,0.0,,,-1.0,,2.0,,,,,0
500000.0,28.0,,150298.0,,58009.0,47336.0,,,3850.0,,,,,,,0.0,0.0,,,0.0,,,0
290000.0,,,0.0,,,,,,4524.0,4000.0,2000.0,0.0,0.0,2.0,2.0,,,,0.0,,0.0,,1
100000.0,30.0,,,,,-4.0,,,0.0,,,0.0,,2.0,2.0,,,,-2.0,,,,0
20000.0,,,19468.0,20844.0,,,,,,,,,750.0,,,,,,2.0,,,,1
,,,,,,,,,,,0.0,,,,,,,,,,,,0
,,13273.0,12709.0,,,,,12712.0,,,,11820.0,7888.0,,,,-1.0,,,-1.0,-1.0,,0
,45.0,,,,51950.0,,38034.0,,3022.0,,,2000.0,2000.0,,1.0,0.0,,,,,,,0
,,,,,19378.0,,,1404.0,1130.0,600.0,,313.0,,,,,,0.0,0.0,0.0,,,0
600000.0,,467150.0,,,447130.0,,,,18000.0,,,21000.0,,,,,2.0,0.0,,0.0,,,1
,,,1240.0,3682.0,,,,,,,5258.0,,,1.0,,,-1.0,-1.0,,,-1.0,,0
160000.0,,,,,82277.0,84955.0,,,0.0,,,,,,1.0,,,2.0,0.0,,,,1
,23.0,46968.0,,32616.0,29788.0,,,1600.0,1500.0,1500.0,,1078.0,,2.0,,0.0,,0.0,,0.0,,,0
180000.0,,,,,,,,1359.0,,,0.0,0.0,,1.0,2.0,,,-1.0,,,0.0,,1
,45.0,443118.0,,,68639.0,,40721.0,,,,,40721.0,133611.0,,,-2.0,-2.0,,,,-2.0,,0
,,,,67214.0,71604.0,,,,,,,,,2.0,,-1.0,,0.0,,,0.0,,0
,,7521.0,8519.0,,,0.0,0.0,,,,,0.0,0.0,2.0,,,,,,,,,0
,,8509.0,,,9495.0,,,1400.0,,,500.0,,,,,,,0.0,0.0,,0.0,,0
,,,,,,,,,,5500.0,5500.0,5600.0,,,,,,0.0,,0.0,,,0
,,10243.0,9920.0,,,8449.0,,,,,,329.0,,,,,,0.0,0.0,,,2.0,0
20000.0,44.0,16942.0,,,,,,,,,,0.0,0.0,,1.0,,,6.0,,4.0,,,1
,40.0,17361.0,16803.0,,,,,0.0,0.0,,,,,,2.0,,4.0,3.0,,2.0,,,0
,,16240.0,,,,0.0,,,0.0,,,,,1.0,,,,,,-2.0,,,0
30000.0,,,,,,12701.0,,,3500.0,0.0,1000.0,1500.0,0.0,,,,0.0,0.0,,,,,1
80000.0,,3377.0,,3476.0,,,,,3476.0,,,,3387.0,,1.0,,-2.0,,,,-2.0,,0
,,,,28812.0,,,,,,,,,,,2.0,,,,0.0,-1.0,,2.0,0
,,,,120000.0,,0.0,0.0,,90000.0,0.0,,0.0,,5.0,,-1.0,,,,-2.0,,2.0,0
,,26135.0,,,,,,,2500.0,1500.0,1000.0,2000.0,,1.0,,,,0.0,,,0.0,,0
50000.0,26.0,390.0,2078.0,,,,,2078.0,,390.0,0.0,,,2.0,,,,,,,,2.0,0
,39.0,,16533.0,17636.0,16956.0,,,,,,,,,,2.0,,0.0,0.0,,,,1.0,0
,33.0,31689.0,,39634.0,42625.0,,48436.0,10000.0,10000.0,,,,,1.0,,,0.0,,,,,,0
,,,10881.0,2517.0,,,,,,2957.0,,,170.0,,1.0,-1.0,,,,,,2.0,1
,46.0,11698.0,,,,,,,,2000.0,4000.0,,1000.0,,,,,2.0,,,,,1
,,1068.0,,,,,42994.0,37200.0,,,,,,1.0,2.0,,,0.0,,,,1.0,0
,,,770.0,3465.0,0.0,,,770.0,,,,634.0,,1.0,,-1.0,,,,-1.0,-1.0,,1
160000.0,33.0,,,,4715.0,,,8000.0,2000.0,,,,,1.0,,,-1.0,,,,,,0
,,19315.0,30310.0,,,31004.0,29124.0,15000.0,,3000.0,0.0,0.0,,,,-1.0,,0.0,0.0,,,2.0,0
360000.0,,2807.0,,,,,,,,,,,0.0,,,,-2.0,-2.0,-2.0,-2.0,-2.0,,0
300000.0,,,,,,,,2702.0,,,,10011.0,,,,,-2.0,,-2.0,,,2.0,0
,,,,,,,,2000.0,,1950.0,,,,,,,,,,0.0,,,0
30000.0,27.0,,,30394.0,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,0
,37.0,,,,,26344.0,,5000.0,,3000.0,4000.0,3000.0,,,2.0,0.0,,,,,,,0
,,,,38706.0,,23675.0,,,,,,,1004.0,2.0,,,,0.0,,,,,0
,,1090.0,,1090.0,,,,,,0.0,0.0,,,,1.0,-1.0,3.0,2.0,0.0,,,,1
,37.0,,-781.0,-781.0,,,609.0,0.0,,,,,,2.0,2.0,,-2.0,-2.0,,-1.0,,1.0,0
250000.0,42.0,,2244.0,,,,,,0.0,,,0.0,,,1.0,,,,,,,2.0,0
30000.0,,,,28804.0,22335.0,,,,,0.0,,0.0,,,2.0,,2.0,,,,,,1
,,181532.0,,,,,,,7912.0,6284.0,,,6419.0,3.0,1.0,,0.0,0.0,0.0,0.0,,1.0,0
,39.0,,0.0,,0.0,,,,,,,,0.0,,,,,,,,-2.0,,1
,,,,,150365.0,,,,0.0,,5000.0,5000.0,,2.0,,,,,0.0,,,1.0,0
50000.0,,,2400.0,,,2400.0,,,,0.0,,,,,,2.0,,,,,,,1
,32.0,,,166739.0,,168722.0,,,,,5220.0,5419.0,,,,,0.0,,,,0.0,1.0,0
,,,,65452.0,61129.0,,55380.0,3000.0,,,,,,,1.0,,,0.0,0.0,,,2.0,0
,,,,,16966.0,,,2000.0,,,,,1500.0,,2.0,0.0,0.0,,,0.0,,1.0,0
160000.0,30.0,,8977.0,,10770.0,,10043.0,,,10770.0,,,5325.0,3.0,,-1.0,-1.0,,,,,,0
,39.0,,,34533.0,,,35806.0,,,,,,3000.0,2.0,,0.0,0.0,0.0,,,,1.0,0
,,,,,,,,7236.0,,,,,,,,2.0,0.0,,0.0,,0.0,,1
,41.0,,,,,0.0,0.0,,,,,,,3.0,,,0.0,,,0.0,,2.0,0
,,,,1684.0,,,,,,,,,,2.0,2.0,,,,,0.0,,,0
,53.0,,,-2953.0,,,,5.0,,0.0,,,,,1.0,,,,,,,,0
,,,,,12473.0,,,,,,,,,2.0,2.0,,,,0.0,,,,1
,,,,,4725.0,9135.0,,,2000.0,,,,8906.0,2.0,2.0,,0.0,,,0.0,,2.0,0
,,,,,14784.0,,,1000.0,,,961.0,,15735.0,,,0.0,0.0,,,,2.0,,0
50000.0,,47760.0,,,43123.0,,,,,,1528.0,,0.0,2.0,,2.0,2.0,,2.0,0.0,,2.0,1
,32.0,,,,,,,,1000.0,0.0,,,,1.0,,-2.0,,-2.0,-2.0,,,,0
,,,,,0.0,,0.0,,,0.0,0.0,,0.0,1.0,,,-1.0,,-1.0,,,,0
,48.0,,50588.0,,19424.0,,20386.0,,1311.0,,712.0,,,,,,,,,,,,0
50000.0,,,,32979.0,,,,,2000.0,,,0.0,,,,,,2.0,,,,1.0,1
,30.0,,,,93389.0,,,,,,5012.0,,18000.0,,,,,,,0.0,0.0,,0
,,112237.0,114467.0,116900.0,,,,,,,,5685.0,4390.0,,,,,,,,0.0,,0
220000.0,33.0,,,,,180715.0,,,,,,7000.0,,1.0,,0.0,,,0.0,,0.0,,0
200000.0,33.0,,,,,,109504.0,,,4363.0,,,3330.0,,,,0.0,,,,0.0,,0
,37.0,,,,,,,2000.0,,,,,,,1.0,0.0,0.0,,0.0,,,,0
,,,21064.0,,,18147.0,45199.0,,,18249.0,18238.0,45301.0,,1.0,,-1.0,,-1.0,-1.0,-1.0,,,0
,,,,,10875.0,,1460.0,,,,,,,1.0,,0.0,0.0,,,,,,0
,,,,,166969.0,,,,,,,,6100.0,1.0,2.0,,0.0,,,0.0,0.0,,0
,,87292.0,89534.0,,,93463.0,95021.0,,,,,,,,,,,,,0.0,,,0
,22.0,76737.0,,68502.0,27160.0,,,3500.0,,966.0,,2000.0,1037.0,,,,,,,,0.0,2.0,0
140000.0,,,,,,,37150.0,1887.0,3000.0,,1294.0,1355.0,,2.0,2.0,0.0,,,0.0,,,2.0,0
50000.0,46.0,,,0.0,0.0,,,0.0,,,,,,,,,,-2.0,,,0.0,,0
80000.0,50.0,46239.0,,,47620.0,,48525.0,,,,,1600.0,,,2.0,,0.0,,0.0,0.0,,,0
,,14301.0,17069.0,17818.0,,19657.0,,,,3000.0,0.0,,0.0,,,2.0,2.0,2.0,,,,1.0,1
,,,,,28683.0,3154.0,,,,10000.0,,,9189.0,,,,,,,-1.0,,,0
200000.0,,,62793.0,,1117.0,,0.0,,0.0,,,0.0,1128.0,,,,,,,,,2.0,0
220000.0,,,,,,,,,,9000.0,,,,,,,,0.0,,,,,1
30000.0,,0.0,,0.0,0.0,,,,,8000.0,0.0,,,,,,,,,,,1.0,0
210000.0,35.0,,,,,,,,,5087.0,,,4000.0,,,,,,,0.0,,,1
,,,792.0,,,,,,,4580.0,,,,,,-2.0,,,0.0,,,2.0,0
,58.0,,7987.0,,9719.0,9692.0,9663.0,1200.0,,1300.0,,,,,,0.0,,,,0.0,0.0,2.0,0
,,,47597.0,,41286.0,16764.0,,,,,,585.0,,,,,,0.0,0.0,0.0,,,0
,31.0,,0.0,,,,,,0.0,,,0.0,0.0,1.0,,,,,,-2.0,-2.0,,0
240000.0,,,176.0,0.0,,100.0,,,,,,,704.0,,,,,,,-1.0,,,0
,,,,3964.0,,0.0,2322.0,0.0,1000.0,,0.0,,0.0,,1.0,,,0.0,,-2.0,,2.0,0
,47.0,3700.0,,4516.0,,,,,,,,2716.0,,,,-2.0,,,-2.0,-2.0,,1.0,0
,39.0,22215.0,,,28256.0,28979.0,,,,,,3000.0,,,,,,,,0.0,,,0
180000.0,39.0,,,0.0,,,150.0,,0.0,,,,,,,,-2.0,,,,,,0
,35.0,,,,,,46143.0,,2000.0,,2000.0,,,,,0.0,0.0,,,,,,0
,26.0,,48237.0,49642.0,,40505.0,,,,,,,,,,,,,,0.0,,,0
,,,99755.0,,,,,,,3007.0,,,,1.0,,,,,,,,2.0,0
200000.0,28.0,,504.0,,,,,506.0,3742.0,447.0,9007.0,,,,2.0,,,,,,,,0
230000.0,,,,5305.0,5661.0,,,,,,2000.0,2000.0,,,,,,,,0.0,,2.0,0
,,,,,,,,,,,1000.0,,,3.0,2.0,,,,,,0.0,2.0,1
,33.0,,35807.0,40851.0,39526.0,,40630.0,,,,3000.0,,1100.0,1.0,,,,,,0.0,,,0
,,,,,,,0.0,,,,,,0.0,,2.0,,0.0,,-2.0,-2.0,,,0
,38.0,,5448.0,,,,,,,,,,,3.0,,,,,,,,,1
,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,-2.0,,,1
,,110819.0,115058.0,,51500.0,,500.0,6000.0,4000.0,2500.0,,,0.0,,1.0,,,,,,,,0
,36.0,64266.0,,25581.0,15406.0,,,26000.0,,,,,,1.0,,,,,,,-1.0,,0
,,49233.0,,50029.0,,,,0.0,,,0.0,,,,,1.0,,,,,0.0,,1
,,,,,,,,,1139.0,,,,,2.0,1.0,,,0.0,,,,,0
,,,,1249.0,,,,,,1872.0,,,1034.0,1.0,1.0,,,-1.0,,,,,0
,,,,,,,,2004.0,,5004.0,,1000.0,3000.0,,,,,0.0,0.0,,,,1
,,,,,,,,,,3000.0,,,,,,,0.0,,,0.0,,,1
80000.0,34.0,,72737.0,73987.0,,,,,,,,,,,1.0,,2.0,2.0,,2.0,2.0,1.0,1
,,,14780.0,,,,,14750.0,,24000.0,,,,,,,,0.0,,,,,0
,,,37207.0,40560.0,,46728.0,,,,,,,,,,,,0.0,0.0,,,1.0,0
500000.0,,,,,,,,,,,,,12022.0,,,0.0,,,,,,,0
,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,2.0,,1
,,,,8642.0,,,5475.0,0.0,8642.0,,107.0,,,,2.0,,,,,3.0,,,1
,32.0,,,,,,2246.0,,,,,285.0,,3.0,2.0,0.0,,0.0,,0.0,2.0,1.0,0
310000.0,32.0,,,,,5122.0,,,,,5122.0,,,,,-2.0,,,-2.0,,,,0
,,,,,,42995.0,46278.0,,3000.0,,,4000.0,7200.0,,2.0,,,,,0.0,,,0
,33.0,,31925.0,,,,,,731.0,,,2070.0,,2.0,,,,-1.0,,,,2.0,0
,,0.0,,0.0,,,,0.0,0.0,,,,,2.0,,,,,,-2.0,,,0
,,11402.0,,,,,,,,,,,,,,1.0,,,,,0.0,,1
,,40764.0,,42251.0,,48156.0,,,,,,,2500.0,,,0.0,,,,,,2.0,0
,51.0,14815.0,,,,,17895.0,,,,,639.0,,,1.0,,,,,,,,0
,,,,,,,50594.0,,1800.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,,0
50000.0,33.0,,,40364.0,,41966.0,,,,3400.0,,,,,,1.0,,2.0,2.0,,,,1
,44.0,,,,,,1117.0,,,,,1117.0,,,,1.0,,,-1.0,,,,0
,35.0,5564.0,,,,,,,,,,,,,2.0,,,,,-1.0,,,0
,,,,8279.0,,,,,0.0,,,371.0,,,,,0.0,,,,0.0,,0
,,,,,,,,0.0,,,423.0,,,,2.0,,,,0.0,0.0,,1.0,0
20000.0,,,13536.0,,,14472.0,,,2040.0,,,,,,,,,,,,0.0,,0
,33.0,,-1648.0,,95131.0,,,,0.0,102680.0,,,2000.0,,2.0,,-2.0,,,0.0,,,0
,45.0,78083.0,,,53052.0,91667.0,,,2545.0,,,,,,,,0.0,0.0,,,,2.0,0
250000.0,,,,,,153859.0,,8000.0,6018.0,6887.0,6000.0,,,,,,,,,,,,0
,,,,,,,,,,,6000.0,6000.0,6000.0,2.0,2.0,1.0,,,,,,2.0,1
