class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,k,,e,f,,,,n,b,,,,,p,,,,o,,w,v,
,,,e,f,,f,,n,b,,,k,s,p,p,,w,o,,,v,
,,s,n,f,n,a,c,,,e,,,,o,o,,n,o,,y,,
,x,,e,,n,f,,b,w,,b,,,,w,p,w,,,,y,d
p,f,y,y,f,,f,,b,,,,,k,n,,p,,,l,,y,
e,,,,f,,,w,b,,,,,,,,,w,,,k,,
p,x,y,,t,,f,c,,,,e,s,s,,w,,,o,p,k,,u
,f,,,,,f,c,b,,t,,s,,,,,w,,,n,,
e,x,,y,t,,,c,b,g,,,s,s,,w,p,w,,p,k,n,
,x,s,n,f,s,f,c,,b,,,,k,p,p,p,w,o,e,,v,
,,s,n,,,,,n,,t,?,k,,w,,p,,,,w,,
e,,f,n,,,,c,,,t,b,s,s,,,,,,p,,v,
,x,f,,f,n,,,b,h,t,e,,s,w,,,w,o,e,,,
e,,,,,n,,,b,,,,,,,e,,w,,,,,
,,f,,,n,f,c,,w,,,s,s,,,p,w,o,,,y,
,f,,,,n,,c,b,w,,,s,s,,,,w,o,p,,,d
e,x,y,g,t,,,,,,,,s,s,g,,p,,,p,,v,d
,f,y,,,,f,c,b,,e,,k,,n,p,,w,,l,h,,d
,,s,w,,f,f,,,h,,,f,f,w,,p,,,p,h,s,
e,,,,,,,,b,,,e,f,,,w,,w,o,e,k,s,g
e,,f,n,,,f,,n,p,,,s,,,,,w,o,p,,y,u
e,x,s,,,n,f,,,p,,e,,f,w,,,w,o,,n,,g
,,,,t,,,c,,w,,c,,s,w,w,p,w,o,,,s,g
,f,,,,n,,c,b,,,,s,s,,g,p,,o,,,y,d
,f,s,e,t,,,,b,e,e,,,s,,,p,w,t,e,w,c,w
e,,s,w,f,n,,w,,p,e,?,k,,w,,,w,t,p,w,s,
,f,y,,f,,,c,,,t,,,s,,w,p,w,,,w,,
,x,,,,y,f,c,,,,,k,k,,w,p,w,o,e,w,v,d
p,x,s,e,,y,f,,,,t,?,,s,,,p,w,,,w,v,l
e,,,g,,,,c,,,t,b,s,s,,w,,w,,p,,,
,,s,g,t,f,f,,b,w,,,,f,,w,p,w,,p,h,v,
p,,y,,,,,c,n,k,,e,,,,w,,,,,,s,u
p,f,y,w,t,p,,,,p,,,,s,,,,,o,,n,,u
e,,s,,,l,f,c,b,w,,,s,s,w,w,,w,o,,k,n,g
,x,,g,,,,c,b,h,e,,,,,,,,o,l,,,g
,,,n,,,,,,p,e,r,,,w,,p,,o,p,k,,
,x,f,,,,,c,b,n,t,b,,s,w,w,,w,,p,n,,d
,,f,g,f,n,f,,b,p,,e,,,w,w,p,,o,e,,,g
,k,y,,,y,f,,n,b,t,?,s,,,,,,,e,,,
,x,,e,,,,c,n,b,,?,k,,,w,p,,o,,,,p
e,,s,,,,,w,n,p,t,b,,s,w,,p,,,p,u,,
,,,,,y,,c,n,,t,?,,k,w,,,,o,e,,v,
e,,y,g,t,,f,,,,,,,s,,p,,w,,p,,v,
e,,,,,n,f,,,n,t,,,,w,,,,,,k,,g
p,x,f,,,f,,,b,g,e,b,k,,p,,,w,,l,,,g
,f,,,f,,,,,g,,,k,k,n,,,,,,,y,d
e,x,,,f,,f,w,b,,e,?,,k,w,w,p,,t,p,,n,
e,,,n,f,,f,w,,p,t,e,,s,,,,,,e,n,,g
e,f,f,,,n,f,,,,,e,f,s,,w,,w,o,e,,,
,f,,y,,,f,c,b,h,e,b,k,,p,,,,o,l,h,y,
e,x,,,,n,f,,b,n,,b,s,,,g,p,w,o,,,,
,,f,,f,f,,,,p,,,k,k,p,,,w,o,l,h,,d
,,y,y,,,f,,,,,b,,k,p,,p,w,o,,h,,
,x,,,,f,,c,,,,,,k,,b,,,o,l,,v,d
,k,s,w,,n,,w,,,,,s,,,w,p,,,,,s,
,x,y,y,f,f,,c,,,,,k,,,p,p,w,,,h,y,
,f,y,,t,n,,c,b,,t,b,s,,w,,p,w,,p,k,,
p,,y,w,t,,f,,n,,e,e,s,,,w,,w,,p,,,
e,x,,n,f,,,,,,t,,,,w,,p,,o,e,n,,
p,,y,,,,f,c,b,,,b,,k,,b,,w,o,l,h,,p
,,y,,f,f,,c,b,,,,k,,,n,,,o,l,,v,
,,s,n,,n,a,c,,,,,,s,,,,o,o,p,,,
,x,s,,f,,f,w,,,,,f,,,,,w,o,e,,s,g
e,x,,,t,n,f,c,,p,,,s,,w,w,,,,p,n,,d
p,x,y,,f,f,f,c,b,,,,,,b,b,,,o,,h,v,d
e,k,f,g,f,,,,b,g,e,?,k,k,w,,p,w,t,p,w,s,g
,x,f,w,,a,f,w,n,p,,b,,,,w,,w,o,p,u,,d
,f,f,,,n,f,c,n,,,,s,s,,,,,o,,k,,u
p,,s,n,,p,,,n,,,e,,s,w,w,,,,p,k,,
p,f,s,,,p,,,n,,,e,s,s,,,p,,,,n,v,
e,,,n,,,,,,,,,s,,,,,n,,,b,,
,,,,,y,,,n,b,t,?,k,s,,,p,w,,e,w,v,d
,,,,f,,,c,,,t,?,,,,,p,w,o,e,,v,l
p,,s,p,,,,w,n,,,b,,s,,w,p,,o,p,,,d
,x,,,f,f,,,,p,,b,,k,n,p,p,w,,,h,,p
,,,y,t,,,c,b,,,,s,,,w,p,w,o,,k,,g
,,f,n,,,f,w,b,n,,,,f,,w,,w,o,,,a,
p,f,s,g,t,f,f,,b,,,,,,w,,,,o,p,h,,
,f,,g,,n,,c,b,,t,,,s,,w,p,w,o,p,,y,
,f,,,,,f,c,,,t,?,s,s,,w,,w,o,e,w,,l
p,k,,e,f,,,,n,b,t,,k,s,p,p,,w,o,e,w,,
p,x,,,,,f,,,p,,,s,,,,p,w,,p,k,v,
,x,y,e,,,f,,b,p,,b,s,s,g,,p,w,,,,,
,,,,f,,f,c,b,,,b,k,,,,p,w,,,,,g
,x,y,,,,,,,,,b,,s,,,p,w,o,p,,,
,,s,n,t,,f,,,p,e,e,s,,,,,,o,p,k,,u
,x,s,n,f,n,,c,b,,,,,,,,,,o,,,,
,f,,,,y,,,,b,t,,s,k,p,w,p,,o,e,,v,
p,,,y,,,,,b,,,b,,k,,,p,,,l,,,g
,,f,,,,f,,,u,,,s,,,,p,w,o,p,k,v,
,x,,y,f,,f,,,h,,,,k,,,,w,o,,h,,p
e,k,,,,,a,,b,o,,,s,s,o,o,p,o,o,p,,c,
e,x,y,n,t,l,,c,b,n,,r,,y,,w,,w,o,,k,y,g
,x,y,,,a,f,,,g,,,,,,,,,,p,,,
,f,,y,f,f,,,,p,e,,,k,,,,w,,,,v,
,x,,n,,n,f,c,n,w,,?,,,w,,,,o,e,w,,d
e,,f,,,n,f,,,,e,e,,,w,,,,o,p,,,
,,f,g,,,f,c,b,g,,,k,,b,,,w,,,,,
,,,w,f,n,,,,,,,s,f,w,w,,w,,,,s,g
,,s,e,,f,,,n,b,,?,,k,,p,p,w,,e,,,p
e,,f,n,,n,f,c,,,,,s,,,g,p,w,o,p,,y,d
e,x,,,t,l,f,,,,t,,s,,,,p,,o,,u,,d
,f,,w,,n,,,b,k,,e,,,w,w,,w,,,k,,g
e,x,f,,,n,f,w,b,n,,e,s,,w,w,p,,,e,k,,g
,x,,g,,,f,c,,,e,b,s,,w,w,p,,,p,w,,p
,,f,e,,n,,,,,t,,s,s,p,,p,w,o,,,,d
p,f,,,,,f,,,,,?,s,s,,,,w,o,,,,d
p,,,,f,,,,,,,b,,k,b,,,w,o,,h,y,
e,x,y,g,t,n,f,c,b,,t,b,s,s,,,,,o,,k,,d
e,x,f,,t,n,f,c,,,,,,s,w,,p,,o,,,,d
e,x,,,f,n,f,,,,t,e,,f,w,w,p,w,o,e,k,,
e,x,,,,n,,c,,,t,b,,s,w,p,,,o,,k,v,
,x,,e,t,n,,,b,u,,,,,w,g,,w,o,,k,,
e,,,y,t,l,,,,,e,,,,w,,p,,,p,n,,g
,f,y,b,,n,,c,,,e,b,,,w,w,,,,,r,,m
p,,s,,f,,f,,n,b,t,,k,,,,,w,o,e,,,
,b,,,t,,,,,,,c,s,,,,,w,,,k,s,
p,k,,n,f,,f,,,,,,,,,w,,,,e,,v,
,b,s,n,,,a,c,b,,,,s,s,o,o,p,o,,,n,,l
p,f,,y,,f,,c,b,g,,,k,,b,n,,w,o,,,,d
,,s,y,t,,,,b,,,c,,,,w,p,w,o,,k,,
,,,,,,f,,b,,e,,,k,p,b,p,,,,,,p
p,x,f,,,,,,b,h,e,b,k,,,b,p,w,,,,,g
e,,y,,t,,f,c,b,w,,c,s,,,w,p,w,o,,n,n,g
e,k,,,f,,a,,b,y,e,,,s,o,,p,,o,,,,
e,f,f,,f,,,w,b,,,,,f,,,,,o,,,,g
,b,f,w,f,,,w,,p,e,,k,,,w,,w,t,,w,,
,,,y,f,f,,,b,,e,,,,n,b,,,,,h,v,
,,,,,l,,c,b,,,c,s,,,w,p,,,p,n,,
p,f,y,,f,f,,c,b,g,,,k,,p,,p,w,,,,,d
e,f,f,,t,,f,c,,,,,,s,p,w,p,w,,p,k,,
p,,,n,,f,f,,n,,t,,k,s,w,w,p,w,,,w,v,p
e,,y,e,,n,f,,b,,,,s,,p,g,p,,,p,,,
p,x,f,g,,c,f,,n,,e,,,,w,,p,,o,,,s,
,x,y,y,f,,f,c,b,h,,,,k,,p,p,w,o,l,,,
,,y,n,,n,f,c,b,,,b,s,s,,,p,w,o,,n,,
p,k,y,e,,,,,n,b,t,,k,,,,p,,o,,w,v,
,,s,,,s,,c,,b,,,,,,,,w,o,,w,,l
,,y,,,,,,b,k,,,s,,,,,w,,,,n,
,x,,p,t,n,f,c,,,,?,,,,,,w,t,e,,,
p,k,,,f,m,a,c,,,,c,k,,,,,w,n,,,c,d
,,,,f,,,c,,b,t,?,,s,,,,w,o,,,,
p,x,s,,f,,,c,,,,?,k,s,p,,p,,,e,w,,p
,,,,,,f,c,,e,,?,,s,w,e,p,w,,,,,
p,,,g,,f,,,b,g,,,,k,,n,p,w,o,,h,,
p,x,,,t,p,,,n,,e,,s,,w,w,,,o,,,,g
,,,,t,n,,,,,t,b,,,w,w,p,,o,,k,,d
,,y,g,t,n,,,b,p,,b,s,,w,g,,w,,,k,,d
,b,,w,t,l,f,c,,w,,,,s,w,w,p,,,p,,s,m
,,y,,,f,,,b,h,,,k,,,b,,w,,,h,v,
,,f,w,t,a,,w,n,,,,s,,,,,w,o,,n,v,
e,,f,,f,n,,,b,k,t,e,,,w,,p,w,o,e,n,s,g
,x,y,e,,n,,c,,p,t,b,s,s,,,p,w,,p,n,y,
,,,,,,f,,,,,b,s,s,p,,p,,,,,,d
,,y,e,,n,f,c,b,,t,,,s,,g,,,,,n,v,d
p,x,s,p,,c,,w,n,n,,b,s,,w,,,w,,,n,v,
p,,y,,,f,,,n,,,,s,s,,w,,,o,,,,p
,k,,,,s,f,c,n,,t,?,s,k,,w,,w,,e,w,,
e,,y,r,f,,f,c,,h,e,,s,,w,,p,w,,,h,y,
p,x,f,y,f,,,,,p,,,k,,,,p,,,,,,g
p,,,,f,f,,,b,p,,b,k,,,n,p,,o,,,,d
p,f,s,,,p,,c,n,k,,,s,,,,,,o,p,n,,u
p,,,,,,f,c,,b,t,,,,p,p,p,,,e,,,l
e,,f,,,,f,c,b,,,b,s,,w,w,p,w,o,,,,d
e,,f,w,,n,f,,,n,,,s,f,w,,p,w,o,e,k,,
,,,,f,n,,,b,n,t,e,s,,w,w,p,,o,,n,,g
,f,y,,f,,,,n,b,t,?,,,p,,,w,o,,,v,d
p,,,g,,,,,b,,e,b,,,p,,p,,,l,h,,p
p,,,e,,s,,c,n,,t,,k,,p,p,,,,e,w,v,p
,x,,g,,,f,c,,,t,b,f,,,w,p,w,o,p,,,
p,k,y,,f,,,,,b,,,k,k,,p,,w,o,e,,v,
,,y,g,f,,f,,b,,,b,k,,,,p,w,,,,v,
p,,,,,,f,c,,b,,,,s,w,,p,,o,,,,
p,,,n,f,f,f,c,,,t,?,,,,p,p,w,o,e,,v,d
p,b,y,p,t,,f,c,,r,,,s,s,w,,,,,p,,v,g
e,x,s,,f,n,f,,,p,,?,s,k,,w,p,w,,,,,
p,k,s,,,,,c,n,b,t,,k,k,,w,p,,,,w,,
,f,s,n,f,,,,b,o,,?,,,o,,,n,,p,,,l
e,,s,,f,,f,w,,k,,,f,s,w,,,w,,,,,g
p,x,,n,f,,,c,n,b,,,,,,p,,,,,,,
p,,,y,f,,f,,b,,,,k,k,,n,,w,o,,,,d
,f,,,,f,f,c,b,,,b,,,,p,,,,,,,p
,x,,,,l,f,,b,,e,,,,,,p,w,,,n,n,m
,,,,,n,f,w,,,t,,,f,,,p,w,,e,,,g
,b,f,g,f,,f,,,g,e,?,,s,,,,w,t,p,,n,
e,x,,e,t,n,,,b,p,,,s,s,,p,,w,,p,n,y,
p,f,y,,f,,,,,,t,,,s,p,,,,o,e,w,v,l
,,y,,,,,c,,b,,,,k,w,p,p,w,o,e,,v,
e,f,f,,,,f,c,,,t,,s,s,,p,p,,,,k,,
p,x,,e,f,,f,,,,,,k,,p,,p,w,o,e,,v,l
e,b,s,y,,a,,c,b,,e,,s,s,,,,,,p,,s,
e,,,g,t,,,c,,n,t,,s,,g,w,,,,,n,v,d
p,f,,y,f,,,,,h,e,,,k,p,n,p,w,,,,,d
,k,,,f,,,c,n,,,,s,,p,p,p,,,e,w,,l
,b,f,w,,n,,w,,,,,,,,w,p,,t,p,w,,g
,f,f,y,f,f,f,c,b,p,,b,,,p,p,,w,,l,h,,g
p,,,e,f,,,,n,b,t,,,,,,,w,o,,,,
p,,s,n,,,f,c,n,b,t,?,s,k,w,,p,,o,e,w,v,
p,,y,,,y,,c,,b,,?,,k,,p,p,,o,e,,,
,,,g,t,n,,c,b,n,t,b,s,,g,p,,,o,p,k,v,
e,,f,,,,,,b,,t,b,s,s,p,,,,,p,,,
,,,,,,f,c,,,e,b,,,n,,p,w,,l,,v,
e,,y,g,t,n,f,,,w,,,s,,g,,,,,p,,y,
,,f,g,f,,,,b,,e,,,,,,p,w,o,,,,g
,f,s,,,,f,,,b,t,,,,,,p,w,,e,w,v,d
p,,,,f,y,,c,,b,t,?,k,,p,w,p,w,,e,,,
p,,s,e,f,s,f,c,n,,t,,s,,p,w,,,,e,,,p
,x,,,,n,,,b,,,b,s,,p,,,w,,p,,,
p,x,f,y,f,,f,,,p,e,b,k,,b,p,,,,l,h,v,g
,,y,,,,f,c,,b,t,,,k,,,,,,,,,d
,,s,,,,f,,,h,t,,f,,w,w,,w,,,,,
e,b,s,,t,,,,b,,e,c,,s,w,w,p,w,o,p,,s,
p,x,,,f,f,f,c,,,,,k,,n,,p,w,o,,,v,
e,f,f,,f,n,,,b,,t,e,f,,w,w,p,,o,,,a,
,,,e,,,,,b,,,b,,s,,p,,w,o,,k,,
,x,y,e,t,n,,,,n,,,s,,g,,,,,p,,,
,,,w,t,,,c,n,k,e,e,s,,w,w,p,,,p,,s,
e,x,,y,t,,,,b,,,c,,,w,w,p,,,,,,
,,y,,,,f,,,,,,s,s,w,,p,,o,,k,,
,,y,n,f,,,c,,b,,?,,s,,p,p,,o,,,v,l
,x,y,e,t,n,,c,,w,,,,,,,p,w,o,p,n,v,d
e,f,,,f,n,f,c,,w,e,b,y,,,n,,,t,p,,,
,k,,,f,,,c,,,,,k,s,w,,p,,,,,v,p
,k,,,f,f,f,c,n,,t,,,k,p,,,w,,e,,v,d
,f,,,,,,c,n,,,,,k,,p,,,o,e,,,
e,f,s,n,,n,,,,h,,e,,,w,w,p,,,,,a,
,f,,,f,,f,c,n,b,,?,,s,,w,,w,,e,w,v,
e,,s,,,n,f,c,,,e,b,,y,,n,p,w,,,,,p
,b,,w,,,f,c,,,e,c,,s,,,,w,,,,s,
p,k,,e,f,m,f,c,,,e,,k,,c,,p,,n,,,,d
p,,y,g,f,f,,,b,p,e,b,,k,p,,,w,o,,h,y,g
e,x,,e,t,,,c,,p,t,,,s,,,p,w,o,p,n,v,
p,,,,,y,,,,,t,?,k,,p,,,,o,e,w,,d
,,y,,,,,,,g,e,,,k,,b,p,,,,h,,
,,,n,f,,f,,,p,,,,,,,,,,e,,a,g
,f,,n,t,p,f,c,n,n,e,,s,s,,,,w,o,,,,u
,,f,,,,,c,,p,e,b,k,,,b,,,,l,,,p
p,,s,,,,,c,n,,t,,,s,,,,,o,,w,,
,,s,y,,,f,c,,,e,,s,,w,w,p,w,,p,,s,m
,b,y,w,t,,,,b,g,,c,s,,w,,p,w,,,,n,m
,x,f,n,,,f,c,,,t,,s,s,p,g,p,w,,p,k,,d
,,,,,,f,c,,w,e,,,y,w,,,,,,,v,d
,x,y,n,f,s,,,n,b,,?,,,,p,,,,,,v,
e,s,,,f,,f,c,n,k,e,,s,s,,,,,o,,,,u
,,,,,,,w,,,,e,,s,w,w,p,,o,,k,s,
,f,,,,f,f,c,,,e,,,,n,b,p,w,o,l,,y,d
p,f,,g,,f,f,,,g,,b,,,,p,p,,,l,h,y,
,,s,,f,y,,,,,t,?,k,k,,p,p,,o,,w,,
,,y,g,t,n,,c,b,u,,b,,,g,g,p,,o,,n,,d
e,b,,y,t,a,f,c,b,n,e,c,s,s,w,w,p,,,,,,g
e,,y,y,t,,,c,,,e,c,s,s,w,,p,w,o,,,,g
e,,y,,t,,,,,p,t,,s,,,,,,o,,,v,d
,x,,e,,,f,,,,t,?,,s,w,,p,w,o,e,,,p
e,x,,,,n,,w,b,,,e,f,f,w,w,p,,o,,n,,
,x,f,g,,n,,,,g,e,e,s,s,,w,,,,,k,,u
e,b,y,,t,l,f,,b,,,,,s,w,,p,w,o,p,,n,
,,,g,,n,,,,,t,b,,,,,,,,,,y,d
,x,,,t,a,,c,b,g,,c,s,,,w,p,w,o,,n,,g
e,x,f,g,f,,f,w,b,w,e,?,,,w,,p,,t,,,s,g
,,,,,,f,,,u,t,b,,,w,w,,,,,,v,
,x,,g,,,f,w,b,,t,e,,,,w,p,,,,,a,
p,x,,,,,,c,,,,,k,,w,w,p,,,e,w,v,
,f,s,n,f,f,f,c,n,b,t,?,s,,p,,,w,o,e,w,v,
,b,y,,t,a,,c,b,g,,,s,,w,,,w,,,,,
p,,,g,f,f,f,c,b,,,,k,k,,n,,w,,l,,,d
e,,s,n,,n,,,b,,,,s,s,,o,p,o,,,,,l
,,,,,y,f,c,,,t,?,s,k,,p,p,w,o,,,,
e,,,,,n,f,,,p,t,,s,,w,,p,w,,e,,,
,,,g,f,,f,,b,,e,,,k,b,,p,,o,,,,d
,f,,y,f,f,,c,b,p,e,,,k,b,,p,,,,h,y,g
,,s,e,,,f,,n,b,t,,k,,,,,,o,,,,
,x,,,f,,f,c,,b,t,,s,k,w,,,w,o,e,,,p
p,k,y,e,f,,,,,,,?,k,,p,,p,w,o,,,v,l
,f,f,n,,,,,b,p,,e,s,,,,,w,o,e,k,a,
,x,,,f,,,,n,b,,?,,,,p,p,,,e,,,
,,s,w,t,f,f,c,b,h,t,b,,,w,,p,,o,,,s,u
p,,s,e,,,f,,,,,?,,,,,p,,o,e,w,,l
e,,,,,n,f,w,b,,t,,,,w,,p,,o,,,a,
p,f,f,,,f,f,,b,,,b,k,,p,n,,w,o,l,h,,d
,,y,,,,,c,,b,,?,s,s,p,w,,,,,w,v,
e,x,,n,,n,f,w,b,p,t,,f,,,,,w,o,e,n,s,g
p,f,,g,,f,f,c,,,e,,,,n,p,,w,,,h,,g
p,,,n,f,,f,,n,,,?,s,,w,p,p,w,,e,,,
e,,,e,t,n,f,,b,,,b,s,s,g,p,p,w,o,,n,,
,x,,n,,f,,,,b,t,,k,,p,,p,,o,,,v,d
,,,g,,n,,c,,,t,b,s,,g,g,p,,,p,n,y,
,k,s,e,,,f,c,n,,t,,s,k,w,,,w,o,,w,,p
p,,y,e,f,,,c,n,,t,,s,,,p,p,,o,,,,d
e,x,s,,,,f,,b,,,?,,s,,,,w,,,,,
e,x,y,y,t,,f,c,,g,,,s,s,,,p,w,o,p,k,,m
e,,,y,t,,,c,,,e,,,s,w,,,w,,,k,s,
,f,f,,,f,f,c,b,g,e,b,k,,,,,,o,l,h,v,g
p,,y,,,y,f,,,b,,,s,k,,,p,,,,w,v,
,,,,t,a,,,b,,,,,s,w,w,,w,,p,,s,
,x,s,,t,p,f,,n,,e,e,,,,w,p,w,o,p,,,g
p,,f,y,f,f,f,c,b,,e,b,,,n,,p,,,l,,v,g
p,,f,g,,f,f,,,h,e,,k,k,,,,,o,l,h,y,
p,f,,g,,f,,,b,,e,b,,k,n,n,,,,l,,,p
p,x,s,g,f,c,f,c,n,,e,,s,,w,,p,,o,p,k,,d
,x,f,,f,n,,w,b,,,e,s,,w,,,,,,k,,g
e,,s,,,n,,,b,,t,,s,,w,w,,,,e,,s,g
e,,y,n,,,,,b,n,,,,,g,,,w,,p,k,y,d
p,f,,g,f,,f,,,g,e,b,k,,n,,p,,o,,,,
e,,y,b,t,n,,c,b,e,e,,s,s,,,p,w,t,e,,,w
,,f,g,f,,f,,b,p,e,,,k,,,p,,,l,h,v,
p,x,f,,f,,,c,,n,e,,,s,,,,,o,p,n,s,d
,k,y,e,,,,,n,,,,,,,p,p,,,,w,,l
e,,,,,,,,b,,t,,s,,w,,,,,p,,y,d
p,f,y,e,f,s,,,n,,t,,k,s,p,,p,,o,e,,,p
,,y,,t,,,,b,,e,?,s,,,,p,,,,w,,
,,f,p,f,c,,,,u,,b,,s,,w,,w,o,,,s,
,,,,,,,,b,,,,,s,,w,,w,t,e,,c,w
,f,s,n,t,p,f,c,,,,e,,,w,w,p,,o,,k,,g
,x,s,,t,f,f,c,,h,t,,f,,w,w,p,w,,,,s,u
p,,g,w,t,,f,w,,w,e,b,s,,w,w,,w,o,p,w,,
e,x,,y,t,,f,c,,,e,,,,w,,,w,,p,,,
e,k,,,,n,f,w,b,,e,,,,w,w,p,,t,p,w,n,
,f,y,,,,f,,n,,,,k,,,w,,w,o,e,w,,p
,b,y,,,,f,c,,n,,c,s,s,,w,p,w,o,,,s,
,f,y,y,f,f,,c,,,,b,,,,,,,,l,,v,p
e,,s,n,t,n,,,,,,,,,,w,p,,t,e,,c,
p,f,y,,,s,f,c,n,,,?,,,w,,,w,,e,w,v,d
p,f,s,e,,s,f,,n,,t,?,,,p,p,,w,,,,v,d
,f,y,e,,n,f,,b,,t,b,,s,g,w,,,o,p,,,d
p,f,,,,,f,,n,b,t,?,,s,p,,p,w,o,e,w,,l
p,f,s,n,,y,,,,,t,?,,,,,p,,,,w,v,
,,f,,f,n,f,w,b,p,e,?,,s,w,,p,,t,p,,n,
,x,s,,f,,,,n,b,t,,s,,,w,,,,,w,,p
,,,n,t,n,f,,b,,t,,,s,,g,,w,,,,,
e,,,w,t,l,f,c,b,w,,,s,,,,p,,,,,,
e,,f,n,,n,f,c,,p,,b,s,,p,,,,,,,v,
,,s,n,f,,f,c,,b,t,,,,,,,,,e,w,v,
e,f,,,t,n,,c,,,,,,,,g,p,,o,p,n,,
,f,,,,,,c,,,t,b,,,p,p,p,,o,p,n,,
p,k,s,e,,f,,c,,b,t,?,s,,,p,p,,,e,,v,
,f,,n,,n,,c,,,,,s,s,w,,,,o,,k,,d
,f,s,,t,f,f,,,,t,b,,,w,w,p,w,o,p,,,
p,,,y,,,f,c,,p,,b,k,,,b,p,,,l,h,v,
p,f,,,f,f,f,c,n,,,,,k,,w,,,o,e,w,,
,,,e,,y,f,,n,,,,,s,,,,w,,,,v,d
e,k,s,,f,n,,,b,,e,,s,k,,,,,,,w,,g
,x,y,e,,f,f,,,,t,?,s,,w,w,,,o,e,w,v,
p,,y,e,,,f,,,,,?,,,,,,,o,e,,,
,,y,,f,,f,,n,b,,?,k,,p,,p,w,,,,v,p
e,b,y,,,a,,c,,g,,c,s,,w,,p,w,o,,,n,m
e,,f,,f,,,,b,g,,,k,,w,w,p,w,t,,w,s,g
,f,,,,f,,c,,,t,,s,f,,w,,,,p,h,s,g
e,b,s,g,f,n,,w,b,w,e,,k,,,w,p,,t,p,w,n,
,x,,y,f,,f,,,,e,b,,k,b,p,,w,,,,y,
,b,f,g,f,,,w,b,,e,?,,,,,,,,p,w,s,g
,,y,,,,,,,,e,e,,,w,w,p,w,o,,,,u
,f,f,g,,,f,c,,u,t,,,s,g,,,,,p,k,v,d
,x,y,,,n,,c,,,t,b,s,s,p,,p,,o,p,n,,
e,,,e,,,f,c,b,,,,s,,,,p,w,,,,v,d
,,,,t,,,c,,,t,b,,,w,,p,w,o,,n,,
p,,,,,p,f,c,,n,e,,,,,w,,,,,,s,u
,x,,,t,,,c,b,,,b,s,,,g,,,o,p,k,v,
e,,y,,,a,,,b,n,e,c,s,,,,,w,o,,,n,g
,,y,,,,,,,p,,e,,s,w,,,w,,p,,,u
,x,s,n,f,n,,,,h,,,,f,w,w,p,,o,e,,,g
e,,,,t,n,,,b,,t,b,s,,,,p,,,p,,,
p,x,,,f,f,f,c,n,,t,,,s,,w,p,,,e,,,l
,,s,,,,,c,b,h,,,f,f,,w,p,,o,p,,,u
,,s,,,f,f,,,,,,,,,p,p,w,o,e,w,,
,,f,,,,,w,,n,t,e,s,s,,w,,w,o,e,n,a,g
,,y,,,f,,,n,,t,?,k,k,w,,,w,,e,w,v,
p,,s,b,,,f,,,w,,,f,f,w,w,p,,,,,v,
e,x,,,,,,c,,n,t,b,,,g,,p,,,p,,,
e,f,,e,,,,c,,e,e,?,s,,e,,p,w,t,,w,,
p,,f,,,f,f,c,b,g,,b,,k,p,n,p,,,l,h,,
