age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
,technician,single,,,yes,no,,jun,tue,569.0,2.0,999.0,0.0,,,92963.0,-40.8,,5076.2,no
33.0,blue-collar,,,unknown,no,no,,jun,,,2.0,999.0,,,1.4,94465.0,-41.8,,5228.1,no
,student,married,university.degree,unknown,,no,,,fri,,1.0,999.0,,nonexistent,,93075.0,-47.1,,5099.1,no
32.0,,married,basic.6y,no,,no,cellular,,mon,,,,1.0,failure,-1.8,,-46.2,1299.0,5099.1,no
26.0,services,single,university.degree,,yes,no,,may,,,1.0,999.0,1.0,failure,-1.8,92893.0,-46.2,,5099.1,no
,unemployed,,high.school,,,,telephone,may,,,3.0,999.0,0.0,nonexistent,,,-36.4,4857.0,,no
34.0,technician,married,,no,yes,,cellular,may,fri,81.0,2.0,999.0,0.0,nonexistent,-1.8,92893.0,,1313.0,5099.1,no
34.0,technician,single,,no,yes,no,,may,wed,19.0,,999.0,,nonexistent,-1.8,,-46.2,1281.0,,no
54.0,management,married,university.degree,no,no,no,cellular,,,339.0,1.0,,,,,93.2,-42.0,4153.0,5195.8,no
23.0,,single,,no,no,,cellular,may,thu,104.0,1.0,999.0,0.0,nonexistent,,,,1266.0,5099.1,no
,,married,high.school,,yes,,telephone,nov,fri,62.0,1.0,999.0,1.0,failure,,93.2,-42.0,4021.0,,no
82.0,housemaid,divorced,,no,unknown,unknown,cellular,apr,tue,,6.0,999.0,0.0,nonexistent,-1.8,,-34.6,,5008.7,yes
,,married,high.school,no,yes,,cellular,,,838.0,,999.0,0.0,,1.4,93918.0,-42.7,4961.0,5228.1,yes
24.0,admin.,,,no,yes,,,,wed,84.0,13.0,999.0,0.0,,,,-42.7,,5228.1,no
33.0,,single,basic.4y,no,,no,,,mon,210.0,1.0,999.0,0.0,nonexistent,,93075.0,-47.1,,,no
45.0,admin.,divorced,high.school,no,no,,,nov,fri,,,999.0,,nonexistent,-0.1,,-42.0,4021.0,5195.8,no
46.0,services,divorced,,no,yes,no,cellular,may,wed,403.0,1.0,999.0,,failure,,92893.0,,1334.0,5099.1,no
37.0,technician,single,university.degree,no,no,,telephone,,,500.0,1.0,999.0,0.0,nonexistent,1.1,,,4855.0,5191.0,no
43.0,admin.,divorced,university.degree,no,no,no,,jun,,70.0,,,,,1.4,94465.0,,,5228.1,no
,,single,basic.9y,no,no,no,telephone,may,fri,130.0,4.0,999.0,0.0,nonexistent,1.1,93994.0,-36.4,4859.0,5191.0,no
,technician,,professional.course,,,no,cellular,,wed,296.0,,999.0,,failure,-3.4,92649.0,-30.1,,5017.5,yes
33.0,management,married,,no,,no,cellular,jul,mon,,,999.0,0.0,nonexistent,1.4,93918.0,,4.96,5228.1,no
,,,,,yes,no,cellular,nov,tue,296.0,,,,,-0.1,93.2,-42.0,4153.0,5195.8,no
,admin.,,university.degree,,yes,no,telephone,nov,,446.0,8.0,,,nonexistent,-3.4,92649.0,,,5017.5,no
,,,professional.course,no,,no,cellular,aug,wed,113.0,2.0,,0.0,nonexistent,1.4,,-36.1,4964.0,5228.1,no
36.0,services,married,high.school,no,unknown,unknown,telephone,may,thu,262.0,4.0,,0.0,nonexistent,1.1,93994.0,-36.4,,5191.0,no
47.0,services,married,high.school,no,no,no,telephone,jun,,,,999.0,0.0,nonexistent,1.4,94465.0,-41.8,4865.0,5228.1,no
,retired,divorced,basic.4y,no,,no,cellular,sep,,,1.0,999.0,0.0,nonexistent,-1.1,,-37.5,,4963.6,yes
,,married,university.degree,,yes,,cellular,,fri,96.0,1.0,999.0,,,-2.9,,,,,no
50.0,admin.,married,,no,,no,cellular,,tue,87.0,3.0,999.0,0.0,nonexistent,-0.1,,,4153.0,,no
41.0,technician,married,,no,yes,no,cellular,nov,thu,348.0,,999.0,0.0,nonexistent,-0.1,,-42.0,4076.0,5195.8,no
45.0,,married,unknown,unknown,yes,,cellular,aug,fri,93.0,1.0,,,,1.4,93444.0,,4964.0,,no
31.0,self-employed,married,,,no,no,,,,108.0,,,0.0,,,93994.0,,,5191.0,no
22.0,student,single,high.school,,yes,,cellular,oct,,,1.0,6.0,1.0,success,-3.4,92431.0,-26.9,0.742,,yes
,services,single,high.school,no,yes,no,cellular,may,mon,,3.0,999.0,,nonexistent,-1.8,92893.0,-46.2,1299.0,5099.1,no
,self-employed,,university.degree,,,yes,,nov,,60.0,1.0,,1.0,failure,-0.1,93.2,-42.0,4191.0,5195.8,no
57.0,,married,,,yes,no,cellular,,wed,160.0,,999.0,0.0,nonexistent,1.4,93444.0,-36.1,4964.0,5228.1,no
,management,single,,no,yes,no,cellular,may,fri,685.0,,999.0,0.0,nonexistent,-1.8,,-46.2,1313.0,,yes
31.0,technician,,professional.course,,,no,cellular,aug,tue,,1.0,999.0,0.0,,1.4,93444.0,,4963.0,5228.1,no
53.0,retired,,,unknown,yes,no,telephone,may,thu,,2.0,999.0,0.0,nonexistent,,93994.0,-36.4,,5191.0,no
36.0,,married,,,no,no,,may,,227.0,2.0,,0.0,,-1.8,,-46.2,1327.0,5099.1,no
51.0,,married,basic.9y,unknown,,,telephone,jun,,,1.0,999.0,0.0,nonexistent,,94465.0,-41.8,,,no
34.0,,married,basic.9y,no,,no,,jun,mon,,2.0,999.0,,,1.4,,-41.8,4961.0,5228.1,no
41.0,,married,basic.9y,unknown,,no,telephone,,fri,72.0,3.0,999.0,0.0,nonexistent,1.4,94465.0,,,5228.1,no
,services,married,,no,no,,,,,,1.0,,0.0,nonexistent,,,-46.2,1291.0,5099.1,no
85.0,housemaid,,,,yes,no,,,tue,167.0,,,2.0,,,,-34.6,0.642,5008.7,yes
,technician,,professional.course,,yes,no,telephone,,fri,,,,1.0,failure,-2.9,92201.0,,0.881,5076.2,no
58.0,,,professional.course,unknown,no,no,cellular,nov,fri,,3.0,999.0,1.0,,-0.1,93.2,-42.0,4021.0,,no
43.0,housemaid,married,,,yes,,,jul,wed,402.0,,999.0,0.0,nonexistent,1.4,,,4962.0,5228.1,no
31.0,,,,,no,,cellular,,fri,89.0,1.0,999.0,,nonexistent,-0.1,93.2,,4021.0,5195.8,no
30.0,,single,university.degree,no,,yes,telephone,nov,,26.0,10.0,999.0,,nonexistent,-0.1,,-42.0,4021.0,5195.8,no
,management,married,university.degree,,no,no,telephone,may,,,1.0,999.0,0.0,nonexistent,1.1,93994.0,,4855.0,5191.0,no
,blue-collar,married,,unknown,no,no,telephone,may,,184.0,2.0,999.0,,,1.1,93994.0,,,,no
52.0,technician,married,university.degree,,no,no,,,fri,,,,0.0,,1.1,93994.0,-36.4,4855.0,5191.0,no
62.0,,married,,no,unknown,,cellular,jul,,220.0,3.0,,1.0,failure,-1.7,,,0.827,,yes
56.0,self-employed,married,university.degree,no,,no,,,fri,129.0,3.0,999.0,0.0,nonexistent,1.4,94465.0,-41.8,4959.0,5228.1,no
,,single,,no,,no,telephone,,thu,193.0,,999.0,,,1.1,,-36.4,,5191.0,no
30.0,technician,married,professional.course,,yes,no,,nov,tue,613.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4153.0,,no
35.0,management,,university.degree,,no,no,telephone,,mon,,1.0,7.0,3.0,failure,-3.4,92649.0,-30.1,0.714,5017.5,no
41.0,,married,basic.9y,,,no,cellular,may,thu,434.0,,,1.0,failure,-1.8,,-46.2,1327.0,5099.1,no
53.0,blue-collar,married,unknown,,unknown,,telephone,jul,thu,747.0,1.0,,0.0,nonexistent,1.4,93918.0,,4962.0,5228.1,no
50.0,admin.,single,basic.9y,no,,,telephone,nov,,,1.0,999.0,0.0,,,93.2,-42.0,4245.0,5195.8,no
34.0,,married,university.degree,no,yes,no,cellular,may,,154.0,2.0,,1.0,failure,-1.8,,-46.2,1281.0,5099.1,no
,,single,university.degree,no,no,no,,may,tue,349.0,1.0,,0.0,nonexistent,1.1,93994.0,,4856.0,,no
47.0,,single,,,yes,yes,,jul,mon,41.0,,999.0,0.0,nonexistent,,93918.0,-42.7,4.96,5228.1,no
40.0,technician,married,professional.course,unknown,no,,cellular,,wed,291.0,2.0,999.0,,,-0.1,93.2,-42.0,4.12,5195.8,no
30.0,technician,,high.school,unknown,,no,telephone,,tue,491.0,1.0,,,,1.4,,-41.8,4961.0,5228.1,no
65.0,retired,married,basic.4y,,,no,telephone,oct,thu,138.0,4.0,999.0,0.0,,-1.1,94601.0,-49.5,0.965,4963.6,no
50.0,admin.,single,,no,yes,,,nov,,,1.0,999.0,1.0,,-0.1,93.2,-42.0,4153.0,,no
,admin.,single,professional.course,no,yes,,cellular,may,mon,74.0,3.0,999.0,1.0,failure,-1.8,92893.0,-46.2,1299.0,5099.1,no
47.0,admin.,divorced,professional.course,no,no,no,cellular,,mon,104.0,,,,,,93.2,-42.0,4191.0,5195.8,no
56.0,,divorced,,,no,no,telephone,may,mon,86.0,1.0,999.0,0.0,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,no
31.0,,married,professional.course,no,,no,cellular,aug,fri,,3.0,999.0,,nonexistent,1.4,,-36.1,4964.0,,no
,entrepreneur,married,basic.4y,unknown,yes,yes,cellular,,thu,,20.0,,,nonexistent,1.4,93918.0,-42.7,,,no
,admin.,single,university.degree,no,no,no,cellular,,thu,152.0,6.0,999.0,0.0,nonexistent,,93918.0,-42.7,4963.0,5228.1,no
40.0,,married,,no,,yes,,,wed,951.0,2.0,999.0,0.0,,1.1,,-36.4,4858.0,5191.0,no
58.0,retired,married,,,yes,,,jun,tue,137.0,3.0,,0.0,,1.4,94465.0,,4864.0,5228.1,no
32.0,self-employed,married,university.degree,,no,no,,jul,fri,172.0,3.0,999.0,0.0,,1.4,93918.0,-42.7,,,no
44.0,management,married,,,yes,no,,may,tue,254.0,,,,nonexistent,1.1,93994.0,-36.4,4856.0,5191.0,no
33.0,admin.,single,university.degree,,no,no,telephone,may,,,,999.0,,nonexistent,,93994.0,-36.4,4.86,5191.0,no
,,,high.school,no,yes,no,,apr,,399.0,1.0,,0.0,nonexistent,-1.8,93075.0,-47.1,1.41,5099.1,no
28.0,blue-collar,,,,no,no,cellular,may,wed,169.0,2.0,999.0,0.0,,-1.8,92893.0,-46.2,1281.0,,no
32.0,,single,university.degree,,no,,cellular,,thu,14.0,8.0,999.0,0.0,,-1.8,92893.0,,1266.0,,no
39.0,services,,basic.9y,,no,yes,cellular,jul,mon,,,999.0,,nonexistent,1.4,93918.0,-42.7,4.96,5228.1,no
29.0,blue-collar,married,,,no,yes,,may,thu,93.0,,,0.0,nonexistent,,92893.0,-46.2,1266.0,,no
,blue-collar,married,,,,,cellular,,wed,951.0,,,1.0,failure,-1.8,92893.0,-46.2,,5099.1,yes
33.0,,married,high.school,no,yes,no,cellular,,fri,227.0,1.0,,1.0,failure,,92893.0,-46.2,1.25,5099.1,no
,,married,university.degree,unknown,,no,,,,587.0,,999.0,0.0,,,93994.0,,4.86,5191.0,no
35.0,,,professional.course,,,,,,,554.0,,,0.0,nonexistent,,93918.0,,4.96,5228.1,no
49.0,technician,married,,no,yes,,telephone,,wed,418.0,2.0,999.0,0.0,nonexistent,1.1,,,4856.0,5191.0,no
,blue-collar,married,,,yes,no,,may,wed,809.0,1.0,999.0,,failure,-1.8,,,1281.0,5099.1,yes
31.0,admin.,,,,yes,no,cellular,,tue,64.0,,999.0,0.0,nonexistent,1.4,93444.0,,4963.0,5228.1,no
33.0,technician,,,no,no,no,telephone,may,tue,114.0,5.0,,,nonexistent,-1.8,,-46.2,1291.0,5099.1,no
36.0,technician,single,professional.course,no,no,,telephone,jul,thu,,7.0,999.0,0.0,nonexistent,1.4,93918.0,-42.7,4968.0,5228.1,no
,admin.,,,,no,no,cellular,,,176.0,,,0.0,nonexistent,1.4,93444.0,-36.1,,5228.1,no
31.0,admin.,married,,unknown,,no,cellular,jul,tue,177.0,,999.0,0.0,,1.4,,-42.7,4961.0,,no
,technician,,university.degree,no,yes,,cellular,,fri,244.0,,999.0,0.0,nonexistent,-0.1,93.2,-42.0,,5195.8,no
,,married,basic.9y,,yes,no,cellular,jul,,67.0,,999.0,0.0,nonexistent,1.4,93918.0,,4957.0,5228.1,no
,management,single,university.degree,no,,,cellular,jun,,83.0,4.0,999.0,0.0,nonexistent,-2.9,92963.0,-40.8,1.26,5076.2,no
,,,professional.course,no,yes,no,,,thu,128.0,1.0,999.0,0.0,,1.4,93918.0,-42.7,4968.0,5228.1,no
31.0,,divorced,high.school,,no,,cellular,apr,mon,379.0,2.0,999.0,,,,,-47.1,,,no
34.0,housemaid,divorced,,no,no,no,telephone,may,fri,553.0,,999.0,,nonexistent,,93994.0,-36.4,,,yes
,,,,no,yes,no,telephone,,fri,120.0,,,,nonexistent,1.1,93994.0,-36.4,,5191.0,no
38.0,technician,,high.school,no,,,,jun,,,1.0,999.0,,nonexistent,,94055.0,-39.8,0.715,4991.6,no
,,single,,no,,no,,nov,thu,250.0,1.0,999.0,1.0,failure,-0.1,93.2,-42.0,4076.0,5195.8,no
37.0,housemaid,single,basic.9y,,,yes,telephone,,fri,136.0,3.0,,0.0,nonexistent,,,-36.4,4855.0,5191.0,no
45.0,blue-collar,married,,,,yes,cellular,,wed,,1.0,999.0,0.0,nonexistent,1.4,,,4967.0,,no
,,married,university.degree,,yes,no,cellular,apr,mon,155.0,,999.0,0.0,nonexistent,-1.8,93075.0,,1405.0,5099.1,no
54.0,,,,no,yes,,cellular,nov,thu,,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4076.0,5195.8,yes
51.0,,divorced,professional.course,no,yes,,,may,mon,,,999.0,0.0,nonexistent,1.1,93994.0,-36.4,4857.0,,no
30.0,unemployed,single,university.degree,no,,yes,,jul,,266.0,3.0,999.0,0.0,nonexistent,,93918.0,,,5228.1,no
27.0,,single,high.school,no,,no,,,wed,,,,3.0,success,-2.9,92201.0,-31.4,0.879,5076.2,no
,technician,married,,no,,,cellular,,fri,50.0,2.0,,0.0,,1.4,,-42.7,4963.0,5228.1,no
29.0,technician,single,,no,unknown,unknown,telephone,apr,mon,116.0,1.0,999.0,,nonexistent,-1.8,93075.0,-47.1,1405.0,5099.1,no
,,single,,no,no,no,,nov,fri,1480.0,,999.0,0.0,nonexistent,-0.1,93.2,-42.0,,5195.8,yes
,technician,,professional.course,no,yes,no,cellular,may,,,5.0,999.0,,nonexistent,,92893.0,,1291.0,5099.1,no
32.0,,single,,no,no,,telephone,,,,1.0,,0.0,nonexistent,,94465.0,,4967.0,,no
33.0,technician,married,,no,yes,,telephone,may,mon,307.0,4.0,999.0,0.0,nonexistent,,93994.0,-36.4,,,no
53.0,blue-collar,married,basic.9y,,yes,no,telephone,,wed,489.0,,999.0,0.0,,1.1,93994.0,-36.4,,5191.0,no
48.0,technician,married,high.school,no,,no,telephone,may,,360.0,1.0,999.0,,nonexistent,1.1,93994.0,-36.4,,5191.0,no
48.0,,,basic.9y,no,yes,yes,cellular,,wed,51.0,5.0,999.0,,nonexistent,,93918.0,-42.7,,5228.1,no
,services,married,high.school,no,yes,no,telephone,jun,,,,999.0,0.0,,1.4,,-41.8,4961.0,5228.1,no
28.0,,single,,no,no,,,jul,,453.0,,999.0,0.0,nonexistent,1.4,93918.0,,4957.0,5228.1,no
32.0,technician,,university.degree,,no,,cellular,aug,thu,,,,0.0,,1.4,,,4968.0,5228.1,no
,admin.,single,,no,,,telephone,,fri,43.0,,999.0,0.0,,,93.2,-42.0,,5195.8,no
,,,,,,no,telephone,may,,68.0,,999.0,0.0,nonexistent,1.1,,-36.4,4858.0,,no
31.0,blue-collar,married,basic.9y,no,no,,cellular,may,tue,,3.0,999.0,,nonexistent,-1.8,92893.0,-46.2,,,no
,,married,,no,,no,cellular,sep,,,1.0,,1.0,failure,,94199.0,-37.5,0.876,,no
,blue-collar,,unknown,,no,no,telephone,may,wed,85.0,2.0,,,nonexistent,1.1,93994.0,-36.4,4857.0,5191.0,no
36.0,,married,university.degree,no,,no,telephone,,,67.0,,999.0,0.0,nonexistent,1.4,94465.0,-41.8,4958.0,5228.1,no
46.0,,married,,no,,unknown,,,fri,696.0,10.0,999.0,0.0,nonexistent,,,,0.718,,yes
54.0,admin.,married,,no,,no,,mar,mon,47.0,2.0,999.0,0.0,,,92843.0,-50.0,,,no
35.0,,,basic.9y,,,,cellular,jul,mon,448.0,1.0,999.0,0.0,,1.4,93918.0,,,,no
,services,divorced,,unknown,no,no,,,,80.0,,999.0,0.0,nonexistent,,94465.0,,4864.0,,no
40.0,blue-collar,,basic.4y,,no,no,cellular,jul,,724.0,1.0,,0.0,,1.4,93918.0,,,5228.1,yes
30.0,,,high.school,unknown,,no,,,,,5.0,999.0,,nonexistent,1.4,93918.0,-42.7,4961.0,,no
,technician,married,professional.course,unknown,no,yes,cellular,,thu,,3.0,,0.0,nonexistent,,,,4963.0,5228.1,no
,,divorced,,no,yes,,telephone,jun,fri,,4.0,999.0,0.0,nonexistent,1.4,94465.0,,4959.0,,no
50.0,retired,married,,,yes,no,,,fri,695.0,,999.0,0.0,nonexistent,,93918.0,-42.7,4962.0,5228.1,yes
50.0,technician,,professional.course,no,yes,yes,cellular,aug,thu,870.0,2.0,999.0,0.0,nonexistent,1.4,,-36.1,,,no
37.0,,,professional.course,no,yes,yes,cellular,may,wed,,1.0,999.0,0.0,nonexistent,-1.8,92893.0,,1334.0,5099.1,no
30.0,,married,university.degree,unknown,,no,,may,wed,72.0,,999.0,,nonexistent,,93994.0,-36.4,,5191.0,no
49.0,entrepreneur,,basic.4y,unknown,yes,,cellular,may,wed,217.0,,999.0,,,-1.8,,-46.2,1281.0,5099.1,no
30.0,self-employed,single,university.degree,,,,,,wed,587.0,1.0,999.0,,nonexistent,1.4,94465.0,-41.8,4959.0,5228.1,yes
30.0,technician,single,,unknown,,,telephone,jun,,405.0,3.0,999.0,,nonexistent,,94465.0,-41.8,4.96,,no
29.0,,married,,no,,no,telephone,may,,95.0,,999.0,0.0,nonexistent,,,,4857.0,5191.0,no
,self-employed,married,university.degree,no,,,,,tue,,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4153.0,,no
,technician,married,basic.9y,no,,no,,,wed,272.0,3.0,999.0,,,,93369.0,-34.8,0.644,5008.7,yes
46.0,self-employed,married,basic.4y,unknown,no,,telephone,may,thu,,,999.0,0.0,,,93994.0,-36.4,4.86,,no
28.0,,married,unknown,no,no,no,,,,220.0,1.0,999.0,,,1.4,94465.0,,,5228.1,no
,admin.,,university.degree,no,no,no,,jul,,,2.0,999.0,0.0,nonexistent,,93918.0,-42.7,4963.0,5228.1,no
,blue-collar,married,,no,,,,jul,,252.0,4.0,,0.0,nonexistent,1.4,93918.0,,4962.0,,no
34.0,management,single,,,,no,,may,tue,290.0,1.0,999.0,0.0,nonexistent,,93994.0,-36.4,,5191.0,no
30.0,,,basic.9y,no,yes,,cellular,jul,fri,1294.0,2.0,999.0,,nonexistent,1.4,93918.0,-42.7,4963.0,,yes
28.0,admin.,single,university.degree,no,yes,,cellular,mar,,370.0,1.0,9.0,1.0,,,,-34.8,,5008.7,no
53.0,admin.,divorced,high.school,no,,no,,,,,3.0,999.0,0.0,nonexistent,1.4,93918.0,,4961.0,5228.1,no
38.0,,married,,,,no,telephone,may,mon,,,,0.0,,,,,4857.0,,no
,blue-collar,,,unknown,,no,cellular,aug,,,4.0,999.0,,nonexistent,1.4,93444.0,,,5228.1,no
25.0,technician,single,university.degree,,,,cellular,,mon,304.0,3.0,,2.0,failure,-1.8,92893.0,,1299.0,,no
42.0,blue-collar,married,basic.6y,,yes,no,,may,wed,172.0,1.0,999.0,0.0,,-1.8,92893.0,-46.2,,5099.1,no
52.0,services,married,high.school,,no,,,nov,,40.0,,999.0,0.0,nonexistent,-0.1,93.2,-42.0,,5195.8,no
39.0,blue-collar,married,,no,yes,no,cellular,sep,,293.0,1.0,3.0,,,-3.4,92379.0,-29.8,0.803,5017.5,yes
55.0,admin.,,high.school,,yes,yes,telephone,,mon,437.0,1.0,999.0,0.0,,1.1,93994.0,-36.4,4857.0,5191.0,no
37.0,services,,professional.course,no,yes,,cellular,,mon,93.0,3.0,,1.0,failure,-1.8,,-47.1,1405.0,,no
,management,,high.school,unknown,,,,jun,tue,,,999.0,0.0,nonexistent,,94465.0,-41.8,4961.0,5228.1,no
41.0,management,divorced,university.degree,no,no,no,cellular,sep,fri,,5.0,,3.0,,-1.1,94199.0,-37.5,0.879,,yes
46.0,services,,,no,no,no,,apr,wed,,2.0,,,nonexistent,,,,1445.0,5099.1,no
22.0,blue-collar,,basic.9y,no,yes,,telephone,may,,195.0,,,0.0,,1.1,93994.0,-36.4,4857.0,5191.0,no
56.0,retired,married,,,no,,cellular,may,,317.0,1.0,999.0,0.0,nonexistent,,,,,5099.1,no
,blue-collar,married,,no,yes,no,,,,,,,0.0,nonexistent,,93918.0,-42.7,4957.0,5228.1,yes
,,divorced,,no,yes,,telephone,jun,,,,999.0,0.0,,1.4,,-41.8,4.96,5228.1,no
,retired,,,unknown,,no,cellular,aug,,327.0,,,0.0,nonexistent,1.4,93444.0,,4962.0,5228.1,no
29.0,,single,university.degree,no,no,no,telephone,may,thu,22.0,3.0,999.0,0.0,,1.1,,-36.4,,,no
34.0,admin.,,professional.course,no,yes,yes,cellular,may,mon,326.0,,,0.0,nonexistent,-1.8,92893.0,-46.2,1244.0,,no
23.0,,single,basic.4y,unknown,no,yes,cellular,,,208.0,,999.0,0.0,,-1.8,92893.0,,1266.0,5099.1,no
46.0,admin.,single,university.degree,no,yes,no,cellular,,,,5.0,,,nonexistent,,92469.0,-33.6,1048.0,,no
32.0,technician,,high.school,no,yes,,,may,tue,361.0,2.0,999.0,,nonexistent,,,-46.2,1291.0,5099.1,no
39.0,technician,divorced,university.degree,no,no,yes,,oct,mon,2016.0,1.0,,0.0,nonexistent,-0.1,93798.0,-40.4,5.0,5195.8,yes
,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,wed,,2.0,999.0,0.0,,,93994.0,,,5191.0,no
35.0,management,single,university.degree,no,yes,,telephone,jun,mon,68.0,21.0,999.0,0.0,nonexistent,,94465.0,,4865.0,5228.1,no
54.0,,married,professional.course,unknown,yes,no,cellular,apr,,130.0,2.0,,0.0,,-1.8,93075.0,-47.1,,5099.1,no
39.0,unemployed,single,,no,no,,,may,wed,,1.0,999.0,0.0,,,93994.0,,4859.0,5191.0,no
32.0,blue-collar,married,,,,,cellular,,fri,342.0,3.0,999.0,0.0,nonexistent,,93075.0,-47.1,1405.0,,no
,technician,divorced,basic.4y,no,yes,no,telephone,may,,270.0,1.0,999.0,0.0,nonexistent,1.1,93994.0,,4856.0,5191.0,no
,technician,,professional.course,no,yes,no,,jul,fri,154.0,,,0.0,,1.4,93918.0,-42.7,4962.0,5228.1,no
27.0,,single,high.school,unknown,no,no,cellular,,,,6.0,,0.0,,1.4,,-42.7,4.96,5228.1,no
,admin.,married,university.degree,no,yes,no,cellular,may,mon,643.0,,999.0,,nonexistent,,92893.0,-46.2,,,yes
,,divorced,basic.6y,no,yes,yes,telephone,,fri,9.0,,999.0,,,1.4,94465.0,-41.8,4959.0,,no
26.0,,single,university.degree,,yes,no,cellular,jul,tue,369.0,2.0,999.0,,nonexistent,1.4,93918.0,,4961.0,5228.1,no
48.0,management,married,university.degree,no,yes,yes,cellular,,tue,144.0,,999.0,,,1.4,93444.0,,,5228.1,no
,entrepreneur,divorced,university.degree,no,no,,cellular,,,,1.0,,,,,93.2,-42.0,4191.0,5195.8,no
31.0,,married,high.school,,yes,no,,aug,wed,170.0,,,,,1.4,93444.0,-36.1,4965.0,5228.1,no
44.0,admin.,divorced,university.degree,,,,telephone,may,fri,,,999.0,0.0,nonexistent,1.1,93994.0,-36.4,4864.0,5191.0,no
,blue-collar,married,basic.4y,no,no,,cellular,,wed,104.0,4.0,999.0,,nonexistent,-1.8,,-46.2,1281.0,5099.1,no
31.0,blue-collar,,,no,no,no,,,wed,174.0,2.0,999.0,0.0,nonexistent,-2.9,92201.0,-31.4,0.879,5076.2,no
,,,,,yes,,cellular,nov,mon,578.0,,,0.0,,-0.1,93.2,-42.0,4191.0,,no
26.0,blue-collar,,basic.6y,,,yes,,,thu,160.0,1.0,999.0,0.0,nonexistent,1.1,93994.0,-36.4,4.86,5191.0,no
31.0,services,,,no,yes,yes,cellular,aug,tue,242.0,3.0,999.0,,nonexistent,1.4,93444.0,-36.1,4963.0,,no
45.0,unknown,,unknown,,yes,no,cellular,jul,wed,586.0,1.0,999.0,0.0,,1.4,93918.0,-42.7,4957.0,5228.1,yes
,housemaid,married,,,yes,no,,,mon,,,999.0,0.0,,,,-42.7,4.96,5228.1,no
46.0,entrepreneur,divorced,,,,no,telephone,jun,,485.0,3.0,999.0,0.0,nonexistent,1.4,,,4959.0,5228.1,no
